,Model,Method,Rejection Rate,Accuracy,Precision,Recall,F1-Score,AU-ARC
0,Decision_Tree,min,0.0,0.8366481039512066,0.701688555347092,0.5977623867874268,0.6455696202531646,0.8761158861082189
1,Decision_Tree,min,0.05,0.8533147243545011,0.7197839297771775,0.6263219741480611,0.66980835689601,0.8761158861082189
2,Decision_Tree,min,0.1,0.8634354743665291,0.7228490832157969,0.6574727389352149,0.6886126973463218,0.8761158861082189
3,Decision_Tree,min,0.15,0.8792700046794572,0.7551020408163265,0.6611865618298784,0.7050304878048781,0.8761158861082189
4,Decision_Tree,min,0.2,0.8947630096121976,0.7845149253731343,0.6755020080321286,0.7259387138541217,0.8761158861082189
5,Decision_Tree,min,0.25,0.9056036768605268,0.8108108108108109,0.6890459363957597,0.7449856733524355,0.8761158861082189
6,Decision_Tree,min,0.3,0.9149621212121212,0.8225616921269095,0.7014028056112225,0.7571660356949702,0.8761158861082189
7,Decision_Tree,min,0.35000000000000003,0.9273913930246788,0.8496042216358839,0.7268623024830699,0.7834549878345499,0.8761158861082189
8,Decision_Tree,min,0.4,0.9354838709677419,0.8627450980392157,0.7604938271604939,0.8083989501312336,0.8761158861082189
9,Decision_Tree,min,0.45,0.9428778018799711,0.8723076923076923,0.7864077669902912,0.8271334792122538,0.8761158861082189
10,Decision_Tree,min,0.5,0.9448422169185893,0.8657487091222031,0.7946287519747235,0.828665568369028,0.8761158861082189
11,Decision_Tree,min,0.55,0.9463759575721862,0.871031746031746,0.789568345323741,0.8283018867924529,0.8761158861082189
12,Decision_Tree,min,0.6,0.9456413655949619,0.865909090909091,0.7839506172839507,0.8228941684665226,0.8761158861082189
13,Decision_Tree,min,0.65,0.9450757575757576,0.8637532133676092,0.7850467289719626,0.8225214198286414,0.8761158861082189
14,Decision_Tree,min,0.7000000000000001,0.9465311533362792,0.8795180722891566,0.7828418230563002,0.8283687943262411,0.8761158861082189
15,Decision_Tree,min,0.75,0.9443266171792153,0.8681318681318682,0.7745098039215687,0.8186528497409327,0.8761158861082189
16,Decision_Tree,min,0.8,0.9443339960238568,0.8666666666666667,0.7831325301204819,0.8227848101265823,0.8761158861082189
17,Decision_Tree,min,0.85,0.9452296819787986,0.8666666666666667,0.7814207650273224,0.8218390804597702,0.8761158861082189
18,Decision_Tree,min,0.9,0.9483443708609272,0.9083333333333333,0.7956204379562044,0.8482490272373541,0.8761158861082189
