,Method,Rejection Rate,Rejection Threshold,Accuracy,Precision,Recall,F1-Score,AU-ARC
0,avg,0.0,0.0,0.8159639352956776,0.8548621190130624,0.3137986148108684,0.45908028059236167,0.8560148891098388
1,avg,0.0,0.25,0.8529567753911429,0.7615803814713896,0.595631326584976,0.6684603886397609,0.8560148891098388
2,avg,0.0,0.5,0.8590559533280298,0.7670603674540682,0.6228023441662227,0.6874448691561306,0.8560148891098388
3,avg,0.0,0.75,0.8590559533280298,0.7670603674540682,0.6228023441662227,0.6874448691561306,0.8560148891098388
4,avg,0.1,0.0,0.8451679434295816,0.8602941176470589,0.3796236210253082,0.5267897343538946,0.8560148891098388
5,avg,0.1,0.25,0.8856806128461991,0.8042959427207638,0.6560674886437379,0.7226590421729807,0.8560148891098388
6,avg,0.1,0.5,0.88877430760165,0.8133971291866029,0.6619078520441272,0.7298747763864043,0.8560148891098388
7,avg,0.1,0.75,0.88877430760165,0.8133971291866029,0.6619078520441272,0.7298747763864043,0.8560148891098388
8,avg,0.2,0.0,0.8773616175008286,0.8832,0.4528301886792453,0.5986984815618221,0.8560148891098388
9,avg,0.2,0.25,0.9153132250580046,0.860488798370672,0.6931911402789172,0.7678328032712404,0.8560148891098388
10,avg,0.2,0.5,0.917467683128936,0.8674821610601428,0.6981132075471698,0.7736363636363637,0.8560148891098388
11,avg,0.2,0.75,0.917467683128936,0.8674821610601428,0.6981132075471698,0.7736363636363637,0.8560148891098388
12,avg,0.3,0.0,0.9174242424242425,0.9092465753424658,0.5809628008752735,0.7089452603471295,0.8560148891098388
13,avg,0.3,0.25,0.94375,0.8970398970398971,0.762582056892779,0.8243642814902424,0.8560148891098388
14,avg,0.3,0.5,0.9448863636363637,0.8998716302952503,0.7669584245076586,0.8281157708210277,0.8560148891098388
15,avg,0.3,0.75,0.9448863636363637,0.8998716302952503,0.7669584245076586,0.8281157708210277,0.8560148891098388
16,avg,0.4,0.0,0.9513919575784358,0.9508196721311475,0.703030303030303,0.8083623693379791,0.8560148891098388
17,avg,0.4,0.25,0.9628811312417145,0.9408602150537635,0.7954545454545454,0.8620689655172413,0.8560148891098388
18,avg,0.4,0.5,0.9628811312417145,0.9392857142857143,0.796969696969697,0.8622950819672132,0.8560148891098388
