,Method,Rejection Rate,Accuracy,Precision,Recall,F1-Score,AU-ARC
0,avg,0.0,0.8627684964200477,0.7758846657929227,0.630793819925413,0.6958565971201881,0.9096092704368683
1,avg,0.05,0.8741102581995813,0.7917888563049853,0.6360424028268551,0.705421293272371,0.9096092704368683
2,avg,0.1,0.8889216263995285,0.8166259168704156,0.6544741998693664,0.7266134880348079,0.9096092704368683
3,avg,0.15,0.9059429106223678,0.8539325842696629,0.6710816777041942,0.7515451174289246,0.9096092704368683
4,avg,0.2,0.9211136890951276,0.8865096359743041,0.6911519198664441,0.776735459662289,0.9096092704368683
5,avg,0.25,0.9345943079370691,0.9082125603864735,0.7189292543021033,0.8025613660618997,0.9096092704368683
6,avg,0.3,0.9441287878787878,0.9298737727910238,0.7301762114537445,0.8180135718692165,0.9096092704368683
7,avg,0.35000000000000003,0.9528859881705078,0.9340836012861736,0.7535667963683528,0.8341708542713567,0.9096092704368683
8,avg,0.4,0.9619973486522315,0.955719557195572,0.7777777777777778,0.8576158940397351,0.9096092704368683
9,avg,0.45,0.9674620390455532,0.9642857142857143,0.7954939341421143,0.8717948717948718,0.9096092704368683
10,avg,0.5,0.9745425616547335,0.9791666666666666,0.8103448275862069,0.8867924528301887,0.9096092704368683
11,avg,0.55,0.9796700058927519,0.9819494584837545,0.8095238095238095,0.8874388254486134,0.9096092704368683
12,avg,0.6,0.9854159761352337,0.995475113122172,0.8365019011406845,0.9090909090909091,0.9096092704368683
13,avg,0.65,0.9890151515151515,0.9949748743718593,0.8761061946902655,0.9317647058823529,0.9096092704368683
14,avg,0.7000000000000001,0.9907202828104287,0.9942528735632183,0.8963730569948186,0.9427792915531336,0.9096092704368683
15,avg,0.75,0.9946977730646872,1.0,0.9285714285714286,0.9629629629629629,0.9096092704368683
16,avg,0.8,0.9973492379058979,1.0,0.9652173913043478,0.9823008849557522,0.9096092704368683
17,avg,0.85,0.9982332155477032,1.0,0.9761904761904762,0.9879518072289156,0.9096092704368683
18,avg,0.9,1.0,1.0,1.0,1.0,0.9096092704368683
19,avg,0.9500000000000001,1.0,1.0,1.0,1.0,0.9096092704368683
20,median,0.0,0.8627684964200477,0.7758846657929227,0.630793819925413,0.6958565971201881,0.9099088698617489
21,median,0.05,0.8755059316120027,0.7972283005105762,0.6403046280023433,0.7102014294996751,0.9099088698617489
22,median,0.1,0.8901001767825575,0.8181076672104405,0.6572739187418086,0.7289244186046512,0.9099088698617489
23,median,0.15,0.9051630010918733,0.847887323943662,0.6693847294292068,0.748135874067937,0.9099088698617489
24,median,0.2,0.9204507789194564,0.8771186440677966,0.6946308724832215,0.7752808988764045,0.9099088698617489
25,median,0.25,0.932296270107831,0.8963486454652533,0.7206439393939394,0.7989501312335958,0.9099088698617489
26,median,0.3,0.9409090909090909,0.9132176234979973,0.7346938775510204,0.8142857142857143,0.9099088698617489
27,median,0.35000000000000003,0.951662247603508,0.9323076923076923,0.7584480600750939,0.8364389233954451,0.9099088698617489
28,median,0.4,0.9611135660627486,0.9501718213058419,0.79,0.8627145085803433,0.9099088698617489
29,median,0.45,0.9713183899734876,0.9758064516129032,0.8189509306260575,0.890524379024839,0.9099088698617489
30,median,0.5,0.9782551047467515,0.9874055415617129,0.835820895522388,0.9053117782909931,0.9099088698617489
31,median,0.55,0.9826163818503241,0.9937304075235109,0.8475935828877005,0.9148629148629148,0.9099088698617489
32,median,0.6,0.9864103413987405,0.9964788732394366,0.8761609907120743,0.9324546952224053,0.9099088698617489
33,median,0.65,0.9890151515151515,0.9961685823754789,0.9027777777777778,0.9471766848816029,0.9099088698617489
34,median,0.7000000000000001,0.993813521873619,0.9954128440366973,0.9434782608695652,0.96875,0.9099088698617489
35,median,0.75,0.9952279957582184,0.9943181818181818,0.9562841530054644,0.9749303621169917,0.9099088698617489
36,median,0.8,0.9973492379058979,0.9933333333333333,0.9802631578947368,0.9867549668874173,0.9099088698617489
37,median,0.85,0.9982332155477032,0.9925925925925926,0.9925925925925926,0.9925925925925926,0.9099088698617489
38,median,0.9,0.9986754966887417,0.9916666666666667,1.0,0.99581589958159,0.9099088698617489
39,median,0.9500000000000001,0.9973544973544973,0.9902912621359223,1.0,0.9951219512195122,0.9099088698617489
40,min,0.0,0.8627684964200477,0.7758846657929227,0.630793819925413,0.6958565971201881,0.8997041528943566
41,min,0.05,0.8623866015352407,0.7611070648215587,0.6136230182031709,0.6794538361508452,0.8997041528943566
42,min,0.1,0.8677077195050088,0.7658536585365854,0.6069587628865979,0.6772106398274622,0.8997041528943566
