,Method,Rejection Rate,Accuracy,Precision,Recall,F1-Score,AU-ARC
0,avg,0.0,0.8552108194112967,0.760797342192691,0.6100159829515184,0.6771141336487285,0.9094411454274774
1,avg,0.05,0.8702023726448012,0.7802433786685755,0.6363105662580268,0.7009646302250804,0.9094411454274774
2,avg,0.1,0.8874484384207425,0.8105515587529976,0.6580142764438677,0.7263610315186246,0.9094411454274774
3,avg,0.15,0.9021993448759944,0.8352835283528353,0.6763848396501457,0.7474828836085381,0.9094411454274774
4,avg,0.2,0.9161418627775937,0.8634046890927625,0.6948318293683347,0.77,0.9094411454274774
5,avg,0.25,0.9310588651228566,0.8836944127708096,0.729068673565381,0.7989690721649485,0.9094411454274774
6,avg,0.3,0.9441287878787878,0.8983268983268984,0.7636761487964989,0.8255470136014192,0.9094411454274774
7,avg,0.35000000000000003,0.9547215990210075,0.9116766467065869,0.788860103626943,0.8458333333333333,0.9094411454274774
8,avg,0.4,0.9631020768890853,0.9409660107334525,0.796969696969697,0.8630024610336341,0.9094411454274774
9,avg,0.45,0.9701132803085081,0.9508196721311475,0.8226950354609929,0.8821292775665399,0.9094411454274774
10,avg,0.5,0.9779899230973217,0.9675,0.8468271334792122,0.9031505250875146,0.9094411454274774
11,avg,0.55,0.981143193871538,0.9830985915492958,0.8574938574938575,0.916010498687664,0.9094411454274774
12,avg,0.6,0.9870732515744116,0.9904153354632588,0.8959537572254336,0.9408194233687405,0.9094411454274774
13,avg,0.65,0.9916666666666667,0.9963898916967509,0.9292929292929293,0.9616724738675958,0.9094411454274774
14,avg,0.7000000000000001,0.9946973044631021,0.9957627118644068,0.9552845528455285,0.975103734439834,0.9094411454274774
15,avg,0.75,0.9968186638388123,0.995049504950495,0.9757281553398058,0.9852941176470589,0.9094411454274774
16,avg,0.8,0.9966865473823724,0.9941860465116279,0.9771428571428571,0.9855907780979827,0.9094411454274774
17,avg,0.85,0.9973498233215548,0.9928057553956835,0.9857142857142858,0.989247311827957,0.9094411454274774
18,avg,0.9,0.9986754966887417,0.9910714285714286,1.0,0.9955156950672646,0.9094411454274774
19,avg,0.9500000000000001,1.0,1.0,1.0,1.0,0.9094411454274774
20,median,0.0,0.8552108194112967,0.760797342192691,0.6100159829515184,0.6771141336487285,0.9093251434998513
21,median,0.05,0.8713189113747383,0.7790449037776194,0.6410557184750734,0.7033462033462033,0.9093251434998513
22,median,0.1,0.8868591632292281,0.8033306899286281,0.6607958251793868,0.725125268432355,0.9093251434998513
23,median,0.15,0.9012634534394011,0.824468085106383,0.6813186813186813,0.7460890493381468,0.9093251434998513
24,median,0.2,0.917467683128936,0.8569989929506546,0.7050538525269263,0.7736363636363637,0.9093251434998513
25,median,0.25,0.9296446879971716,0.8795871559633027,0.7235849056603774,0.7939958592132506,0.9093251434998513
26,median,0.3,0.9433712121212121,0.9029649595687331,0.7469342251950948,0.8175716900549115,0.9093251434998513
27,median,0.35000000000000003,0.9541097287375077,0.9216,0.7659574468085106,0.8366013071895425,0.9093251434998513
28,median,0.4,0.9639858594785683,0.9395085066162571,0.7914012738853503,0.8591184096802075,0.9093251434998513
29,median,0.45,0.9718004338394793,0.9561200923787528,0.80859375,0.8761904761904762,0.9093251434998513
30,median,0.5,0.979315831344471,0.9752066115702479,0.8368794326241135,0.9007633587786259,0.9093251434998513
31,median,0.55,0.9832056570418385,0.9905362776025236,0.8532608695652174,0.9167883211678832,0.9093251434998513
32,median,0.6,0.9877361617500828,0.9929078014184397,0.8888888888888888,0.9380234505862647,0.9093251434998513
33,median,0.65,0.9901515151515151,0.9959839357429718,0.9084249084249084,0.9501915708812261,0.9093251434998513
34,median,0.7000000000000001,0.9946973044631021,0.9952830188679245,0.9504504504504504,0.9723502304147466,0.9093251434998513
