,Method,Rejection Rate,Accuracy,Precision,Recall,F1-Score,AU-ARC
0,avg,0.0,0.8106449592986851,0.8059133489461359,0.7642976124375347,0.7845540039897406,0.8718065934670635
1,avg,0.05,0.8245452148694964,0.825187969924812,0.7731141766950397,0.7983027731474466,0.8718065934670635
2,avg,0.1,0.8399888687908724,0.8458950201884253,0.784154709918902,0.8138556167044351,0.8718065934670635
3,avg,0.15,0.8531231585150265,0.8608540925266904,0.7996694214876033,0.8291345329905742,0.8718065934670635
4,avg,0.2,0.8670945522855353,0.8770460601446517,0.8141342756183746,0.8444200109950523,0.8718065934670635
5,avg,0.25,0.8804474870596093,0.8927419354838709,0.831081081081081,0.8608087091757387,0.8718065934670635
6,avg,0.3,0.8923076923076924,0.9030612244897959,0.8502802241793435,0.8758762886597938,0.8718065934670635
7,avg,0.35000000000000003,0.9000192641109612,0.910657596371882,0.8618025751072962,0.8855567805953694,0.8718065934670635
8,avg,0.4,0.9069087873095387,0.9188264058679707,0.8703103288559518,0.8939105613701237,0.8718065934670635
9,avg,0.45,0.9205373406193078,0.928347280334728,0.8933064921992954,0.9104898691972301,0.8718065934670635
10,avg,0.5,0.9301277235161532,0.9336677814938684,0.9128065395095368,0.9231193166161477,0.8718065934670635
11,avg,0.55,0.9365609348914858,0.9375743162901308,0.9276470588235294,0.9325842696629213,0.8718065934670635
12,avg,0.6,0.9477144646211647,0.9449423815620999,0.9479768786127167,0.9464571978198141,0.8718065934670635
13,avg,0.65,0.9531305903398927,0.9518900343642611,0.9578146611341632,0.9548431575318855,0.8718065934670635
14,avg,0.7000000000000001,0.9661936560934892,0.9626865671641791,0.9765329295987888,0.9695603156708005,0.8718065934670635
15,avg,0.75,0.970956434651978,0.9693454846727423,0.982367758186398,0.97581317764804,0.8718065934670635
16,avg,0.8,0.9737006887914841,0.9731232622798888,0.9877704609595485,0.9803921568627451,0.8718065934670635
17,avg,0.85,0.9799666110183639,0.9785407725321889,0.9956331877729258,0.987012987012987,0.8718065934670635
18,avg,0.9,0.9887359198998749,0.987688098495212,1.0,0.993805918788713,0.8718065934670635
