,Method,Rejection Rate,Accuracy,Precision,Recall,F1-Score,AU-ARC
0,avg,0.0,0.9940740740740741,0.9940665531825492,0.9941219263785829,0.9940934438021077,0.9498128806905114
1,avg,0.05,0.9992205767731879,0.9992559523809524,0.9992006394884093,0.9992274004573897,0.9498128806905114
2,avg,0.1,1.0,1.0,1.0,1.0,0.9498128806905114
3,avg,0.15,1.0,1.0,1.0,1.0,0.9498128806905114
4,avg,0.2,1.0,1.0,1.0,1.0,0.9498128806905114
5,avg,0.25,1.0,1.0,1.0,1.0,0.9498128806905114
6,avg,0.3,1.0,1.0,1.0,1.0,0.9498128806905114
7,avg,0.35000000000000003,1.0,1.0,1.0,1.0,0.9498128806905114
8,avg,0.4,1.0,1.0,1.0,1.0,0.9498128806905114
9,avg,0.45,1.0,1.0,1.0,1.0,0.9498128806905114
10,avg,0.5,1.0,1.0,1.0,1.0,0.9498128806905114
11,avg,0.55,1.0,1.0,1.0,1.0,0.9498128806905114
12,avg,0.6,1.0,1.0,1.0,1.0,0.9498128806905114
13,avg,0.65,1.0,1.0,1.0,1.0,0.9498128806905114
14,avg,0.7000000000000001,1.0,1.0,1.0,1.0,0.9498128806905114
15,avg,0.75,1.0,1.0,1.0,1.0,0.9498128806905114
16,avg,0.8,1.0,1.0,1.0,1.0,0.9498128806905114
17,avg,0.85,1.0,1.0,1.0,1.0,0.9498128806905114
18,avg,0.9,1.0,1.0,1.0,1.0,0.9498128806905114
19,avg,0.9500000000000001,1.0,1.0,1.0,1.0,0.9498128806905114
20,median,0.0,0.9940740740740741,0.9940665531825492,0.9941219263785829,0.9940934438021077,0.9498518518518518
21,median,0.05,1.0,1.0,1.0,1.0,0.9498518518518518
22,median,0.1,1.0,1.0,1.0,1.0,0.9498518518518518
23,median,0.15,1.0,1.0,1.0,1.0,0.9498518518518518
24,median,0.2,1.0,1.0,1.0,1.0,0.9498518518518518
25,median,0.25,1.0,1.0,1.0,1.0,0.9498518518518518
26,median,0.3,1.0,1.0,1.0,1.0,0.9498518518518518
27,median,0.35000000000000003,1.0,1.0,1.0,1.0,0.9498518518518518
28,median,0.4,1.0,1.0,1.0,1.0,0.9498518518518518
29,median,0.45,1.0,1.0,1.0,1.0,0.9498518518518518
30,median,0.5,1.0,1.0,1.0,1.0,0.9498518518518518
31,median,0.55,1.0,1.0,1.0,1.0,0.9498518518518518
32,median,0.6,1.0,1.0,1.0,1.0,0.9498518518518518
33,median,0.65,1.0,1.0,1.0,1.0,0.9498518518518518
34,median,0.7000000000000001,1.0,1.0,1.0,1.0,0.9498518518518518
35,median,0.75,1.0,1.0,1.0,1.0,0.9498518518518518
36,median,0.8,1.0,1.0,1.0,1.0,0.9498518518518518
37,median,0.85,1.0,1.0,1.0,1.0,0.9498518518518518
38,median,0.9,1.0,1.0,1.0,1.0,0.9498518518518518
39,median,0.9500000000000001,1.0,1.0,1.0,1.0,0.9498518518518518
40,min,0.0,0.9940740740740741,0.9940665531825492,0.9941219263785829,0.9940934438021077,0.9443393259330335
41,min,0.05,0.9945440374123149,0.9945054025626315,0.994621578099839,0.994560894028958,0.9443393259330335
42,min,0.1,0.9950617283950617,0.9949824544291778,0.9952013893421788,0.995085189658505,0.9443393259330335
43,min,0.15,0.9947735191637631,0.9946953176158194,0.9949060171282395,0.99479309056004,0.9443393259330335
44,min,0.2,0.9944444444444445,0.994326865406784,0.9945988120406725,0.994454322631804,0.9443393259330335
45,min,0.25,0.9940769990128332,0.9939652551805181,0.9942591455789737,0.9941025668173077,0.9443393259330335
46,min,0.3,0.9957671957671957,0.9957220578769328,0.9958287781768963,0.9957737880678881,0.9443393259330335
47,min,0.35000000000000003,0.9954441913439636,0.9953938488175827,0.9955060083535375,0.9954480443293682,0.9443393259330335
48,min,0.4,0.9962962962962963,0.9962017446717569,0.9964273235499651,0.9963080714518564,0.9443393259330335
49,min,0.45,0.9959623149394348,0.995809990662932,0.9960966513377265,0.9959457097859472,0.9443393259330335
50,min,0.5,0.9955555555555555,0.9953560149296582,0.9957323405009751,0.9955350582463609,0.9443393259330335
