,Method,Rejection Rate,Accuracy,Precision,Recall,F1-Score,AU-ARC
0,avg,0.0,0.9948148148148148,0.9948277311196024,0.994888209903487,0.9948571657188027,0.9498313992090298
1,avg,0.05,0.9992205767731879,0.9992609016999262,0.9991967871485944,0.9992279498229863,0.9498313992090298
2,avg,0.1,1.0,1.0,1.0,1.0,0.9498313992090298
3,avg,0.15,1.0,1.0,1.0,1.0,0.9498313992090298
4,avg,0.2,1.0,1.0,1.0,1.0,0.9498313992090298
5,avg,0.25,1.0,1.0,1.0,1.0,0.9498313992090298
6,avg,0.3,1.0,1.0,1.0,1.0,0.9498313992090298
7,avg,0.35000000000000003,1.0,1.0,1.0,1.0,0.9498313992090298
8,avg,0.4,1.0,1.0,1.0,1.0,0.9498313992090298
9,avg,0.45,1.0,1.0,1.0,1.0,0.9498313992090298
10,avg,0.5,1.0,1.0,1.0,1.0,0.9498313992090298
11,avg,0.55,1.0,1.0,1.0,1.0,0.9498313992090298
12,avg,0.6,1.0,1.0,1.0,1.0,0.9498313992090298
13,avg,0.65,1.0,1.0,1.0,1.0,0.9498313992090298
14,avg,0.7000000000000001,1.0,1.0,1.0,1.0,0.9498313992090298
15,avg,0.75,1.0,1.0,1.0,1.0,0.9498313992090298
16,avg,0.8,1.0,1.0,1.0,1.0,0.9498313992090298
17,avg,0.85,1.0,1.0,1.0,1.0,0.9498313992090298
18,avg,0.9,1.0,1.0,1.0,1.0,0.9498313992090298
19,avg,0.9500000000000001,1.0,1.0,1.0,1.0,0.9498313992090298
20,median,0.0,0.9948148148148148,0.9948277311196024,0.994888209903487,0.9948571657188027,0.9498703703703705
21,median,0.05,1.0,1.0,1.0,1.0,0.9498703703703705
22,median,0.1,1.0,1.0,1.0,1.0,0.9498703703703705
23,median,0.15,1.0,1.0,1.0,1.0,0.9498703703703705
24,median,0.2,1.0,1.0,1.0,1.0,0.9498703703703705
25,median,0.25,1.0,1.0,1.0,1.0,0.9498703703703705
26,median,0.3,1.0,1.0,1.0,1.0,0.9498703703703705
27,median,0.35000000000000003,1.0,1.0,1.0,1.0,0.9498703703703705
28,median,0.4,1.0,1.0,1.0,1.0,0.9498703703703705
29,median,0.45,1.0,1.0,1.0,1.0,0.9498703703703705
30,median,0.5,1.0,1.0,1.0,1.0,0.9498703703703705
31,median,0.55,1.0,1.0,1.0,1.0,0.9498703703703705
32,median,0.6,1.0,1.0,1.0,1.0,0.9498703703703705
33,median,0.65,1.0,1.0,1.0,1.0,0.9498703703703705
34,median,0.7000000000000001,1.0,1.0,1.0,1.0,0.9498703703703705
35,median,0.75,1.0,1.0,1.0,1.0,0.9498703703703705
36,median,0.8,1.0,1.0,1.0,1.0,0.9498703703703705
37,median,0.85,1.0,1.0,1.0,1.0,0.9498703703703705
38,median,0.9,1.0,1.0,1.0,1.0,0.9498703703703705
39,median,0.9500000000000001,1.0,1.0,1.0,1.0,0.9498703703703705
