,Method,Rejection Rate,Accuracy,Precision,Recall,F1-Score,AU-ARC
0,avg,0.0,0.997037037037037,0.9969728407161612,0.9969452915265723,0.9969556060637655,0.949925925925926
1,avg,0.05,1.0,1.0,1.0,1.0,0.949925925925926
2,avg,0.1,1.0,1.0,1.0,1.0,0.949925925925926
3,avg,0.15,1.0,1.0,1.0,1.0,0.949925925925926
4,avg,0.2,1.0,1.0,1.0,1.0,0.949925925925926
5,avg,0.25,1.0,1.0,1.0,1.0,0.949925925925926
6,avg,0.3,1.0,1.0,1.0,1.0,0.949925925925926
7,avg,0.35000000000000003,1.0,1.0,1.0,1.0,0.949925925925926
8,avg,0.4,1.0,1.0,1.0,1.0,0.949925925925926
9,avg,0.45,1.0,1.0,1.0,1.0,0.949925925925926
10,avg,0.5,1.0,1.0,1.0,1.0,0.949925925925926
11,avg,0.55,1.0,1.0,1.0,1.0,0.949925925925926
12,avg,0.6,1.0,1.0,1.0,1.0,0.949925925925926
13,avg,0.65,1.0,1.0,1.0,1.0,0.949925925925926
14,avg,0.7000000000000001,1.0,1.0,1.0,1.0,0.949925925925926
15,avg,0.75,1.0,1.0,1.0,1.0,0.949925925925926
16,avg,0.8,1.0,1.0,1.0,1.0,0.949925925925926
17,avg,0.85,1.0,1.0,1.0,1.0,0.949925925925926
18,avg,0.9,1.0,1.0,1.0,1.0,0.949925925925926
19,avg,0.9500000000000001,1.0,1.0,1.0,1.0,0.949925925925926
20,median,0.0,0.997037037037037,0.9969728407161612,0.9969452915265723,0.9969556060637655,0.949925925925926
21,median,0.05,1.0,1.0,1.0,1.0,0.949925925925926
22,median,0.1,1.0,1.0,1.0,1.0,0.949925925925926
23,median,0.15,1.0,1.0,1.0,1.0,0.949925925925926
24,median,0.2,1.0,1.0,1.0,1.0,0.949925925925926
25,median,0.25,1.0,1.0,1.0,1.0,0.949925925925926
26,median,0.3,1.0,1.0,1.0,1.0,0.949925925925926
27,median,0.35000000000000003,1.0,1.0,1.0,1.0,0.949925925925926
28,median,0.4,1.0,1.0,1.0,1.0,0.949925925925926
29,median,0.45,1.0,1.0,1.0,1.0,0.949925925925926
30,median,0.5,1.0,1.0,1.0,1.0,0.949925925925926
31,median,0.55,1.0,1.0,1.0,1.0,0.949925925925926
32,median,0.6,1.0,1.0,1.0,1.0,0.949925925925926
33,median,0.65,1.0,1.0,1.0,1.0,0.949925925925926
34,median,0.7000000000000001,1.0,1.0,1.0,1.0,0.949925925925926
35,median,0.75,1.0,1.0,1.0,1.0,0.949925925925926
36,median,0.8,1.0,1.0,1.0,1.0,0.949925925925926
37,median,0.85,1.0,1.0,1.0,1.0,0.949925925925926
38,median,0.9,1.0,1.0,1.0,1.0,0.949925925925926
39,median,0.9500000000000001,1.0,1.0,1.0,1.0,0.949925925925926
40,min,0.0,0.997037037037037,0.9969728407161612,0.9969452915265723,0.9969556060637655,0.9468848048705133
41,min,0.05,0.9976617303195635,0.9975960421795884,0.9975864344843738,0.9975902739974597,0.9468848048705133
42,min,0.1,0.9975308641975309,0.9974467491294745,0.997440258154544,0.9974424176021848,0.9468848048705133
43,min,0.15,0.9973867595818815,0.9973068928002488,0.9972972579188157,0.9973008660176846,0.9468848048705133
44,min,0.2,0.9972222222222222,0.9971260058979357,0.9971039844509232,0.9971136124618637,0.9468848048705133
45,min,0.25,0.9970384995064165,0.9969260673289394,0.9969135216243424,0.9969182188349537,0.9468848048705133
46,min,0.3,0.9968253968253968,0.9966777408637874,0.996681383370125,0.9966777316964816,0.9468848048705133
47,min,0.35000000000000003,0.9965831435079726,0.9964284799918074,0.9964200375490698,0.9964221366692589,0.9468848048705133
48,min,0.4,0.9975308641975309,0.9974259974259975,0.9974651457541192,0.9974357457048741,0.9468848048705133
49,min,0.45,0.9973082099596231,0.9972337482710927,0.9971631205673758,0.9971866096866098,0.9468848048705133
50,min,0.5,0.9985185185185185,0.9984496124031007,0.9984423676012462,0.9984423590980969,0.9468848048705133
51,min,0.55,0.9983552631578947,0.9983249581239532,0.99822695035461,0.9982714805485586,0.9468848048705133
52,min,0.6,0.9981481481481481,0.998158379373849,0.998015873015873,0.9980816140902138,0.9468848048705133
53,min,0.65,0.9978858350951374,0.9978768577494691,0.9977777777777778,0.9978202100719118,0.9468848048705133
54,min,0.7000000000000001,0.9975308641975309,0.9974358974358974,0.9973544973544973,0.9973849774646588,0.9468848048705133
55,min,0.75,0.9970414201183432,0.9967948717948718,0.9969418960244649,0.9968535957315762,0.9468848048705133
56,min,0.8,0.9962962962962963,0.9959839357429718,0.9961685823754789,0.9960530157061949,0.9468848048705133
