,Method,Rejection Rate,Accuracy,Precision,Recall,F1-Score,AU-ARC
0,avg,0.0,0.997037037037037,0.9969728407161612,0.9969452915265723,0.9969556060637655,0.949925925925926
1,avg,0.05,1.0,1.0,1.0,1.0,0.949925925925926
2,avg,0.1,1.0,1.0,1.0,1.0,0.949925925925926
3,avg,0.15,1.0,1.0,1.0,1.0,0.949925925925926
4,avg,0.2,1.0,1.0,1.0,1.0,0.949925925925926
5,avg,0.25,1.0,1.0,1.0,1.0,0.949925925925926
6,avg,0.3,1.0,1.0,1.0,1.0,0.949925925925926
7,avg,0.35000000000000003,1.0,1.0,1.0,1.0,0.949925925925926
8,avg,0.4,1.0,1.0,1.0,1.0,0.949925925925926
9,avg,0.45,1.0,1.0,1.0,1.0,0.949925925925926
10,avg,0.5,1.0,1.0,1.0,1.0,0.949925925925926
11,avg,0.55,1.0,1.0,1.0,1.0,0.949925925925926
12,avg,0.6,1.0,1.0,1.0,1.0,0.949925925925926
13,avg,0.65,1.0,1.0,1.0,1.0,0.949925925925926
14,avg,0.7000000000000001,1.0,1.0,1.0,1.0,0.949925925925926
15,avg,0.75,1.0,1.0,1.0,1.0,0.949925925925926
16,avg,0.8,1.0,1.0,1.0,1.0,0.949925925925926
17,avg,0.85,1.0,1.0,1.0,1.0,0.949925925925926
18,avg,0.9,1.0,1.0,1.0,1.0,0.949925925925926
19,avg,0.9500000000000001,1.0,1.0,1.0,1.0,0.949925925925926
20,median,0.0,0.997037037037037,0.9969728407161612,0.9969452915265723,0.9969556060637655,0.949925925925926
21,median,0.05,1.0,1.0,1.0,1.0,0.949925925925926
22,median,0.1,1.0,1.0,1.0,1.0,0.949925925925926
23,median,0.15,1.0,1.0,1.0,1.0,0.949925925925926
24,median,0.2,1.0,1.0,1.0,1.0,0.949925925925926
25,median,0.25,1.0,1.0,1.0,1.0,0.949925925925926
26,median,0.3,1.0,1.0,1.0,1.0,0.949925925925926
27,median,0.35000000000000003,1.0,1.0,1.0,1.0,0.949925925925926
28,median,0.4,1.0,1.0,1.0,1.0,0.949925925925926
29,median,0.45,1.0,1.0,1.0,1.0,0.949925925925926
30,median,0.5,1.0,1.0,1.0,1.0,0.949925925925926
31,median,0.55,1.0,1.0,1.0,1.0,0.949925925925926
32,median,0.6,1.0,1.0,1.0,1.0,0.949925925925926
33,median,0.65,1.0,1.0,1.0,1.0,0.949925925925926
34,median,0.7000000000000001,1.0,1.0,1.0,1.0,0.949925925925926
35,median,0.75,1.0,1.0,1.0,1.0,0.949925925925926
36,median,0.8,1.0,1.0,1.0,1.0,0.949925925925926
37,median,0.85,1.0,1.0,1.0,1.0,0.949925925925926
38,median,0.9,1.0,1.0,1.0,1.0,0.949925925925926
39,median,0.9500000000000001,1.0,1.0,1.0,1.0,0.949925925925926
40,min,0.0,0.997037037037037,0.9969728407161612,0.9969452915265723,0.9969556060637655,0.9476722074778848
41,min,0.05,0.9992205767731879,0.999198717948718,0.999194847020934,0.9991958135742595,0.9476722074778848
42,min,0.1,0.9991769547325103,0.9991474850809889,0.9991452991452991,0.9991452977404632,0.9476722074778848
43,min,0.15,0.9991289198606271,0.9991015274034142,0.9990990990990992,0.9990990974539155,0.9476722074778848
44,min,0.2,0.9990740740740741,0.9990421455938697,0.9990310077519379,0.9990351823344819,0.9476722074778848
45,min,0.25,0.9990128331688055,0.9989711934156379,0.9989680082559339,0.9989680057830016,0.9476722074778848
46,min,0.3,0.9989417989417989,0.9988998899889988,0.9988962472406181,0.9988962442151045,0.9476722074778848
47,min,0.35000000000000003,0.9988610478359908,0.9988137603795967,0.9988095238095238,0.9988095200133503,0.9476722074778848
48,min,0.4,0.9987654320987654,0.9987080103359173,0.9987228607918263,0.9987129555435464,0.9476722074778848
49,min,0.45,0.9986541049798116,0.99860529986053,0.9985815602836879,0.9985904559264176,0.9476722074778848
50,min,0.5,0.9985185185185185,0.9984423676012462,0.9984496124031007,0.9984423590980969,0.9476722074778848
51,min,0.55,0.9983552631578947,0.9983164983164983,0.9982174688057041,0.9982624630943088,0.9476722074778848
52,min,0.6,0.9981481481481481,0.9981785063752276,0.9979919678714859,0.9980797086454496,0.9476722074778848
53,min,0.65,0.9978858350951374,0.9978768577494691,0.9977777777777778,0.9978202100719118,0.9476722074778848
54,min,0.7000000000000001,0.9975308641975309,0.9973958333333334,0.9973753280839895,0.9973752874008629,0.9476722074778848
55,min,0.75,0.9970414201183432,0.9968253968253968,0.9969135802469135,0.9968547160713622,0.9476722074778848
56,min,0.8,0.9962962962962963,0.9961240310077519,0.9961685823754789,0.9961238999876055,0.9476722074778848
