,Method,Rejection Rate,Accuracy,Precision,Recall,F1-Score,AU-ARC
0,avg,0.0,0.7459791863765374,0.5145631067961165,0.7557932263814616,0.612274368231047,0.836009145366924
1,avg,0.05,0.759581881533101,0.5341055341055341,0.7742537313432836,0.6321401370906321,0.836009145366924
2,avg,0.1,0.766158696794535,0.5423023578363384,0.7727272727272727,0.6373268133659332,0.836009145366924
3,avg,0.15,0.778519755147468,0.5577211394302849,0.783157894736842,0.6514886164623468,0.836009145366924
4,avg,0.2,0.7943262411347518,0.5754098360655737,0.7977272727272727,0.6685714285714286,0.836009145366924
5,avg,0.25,0.8127364438839849,0.6032608695652174,0.8102189781021898,0.6915887850467289,0.836009145366924
6,avg,0.3,0.8263513513513514,0.6150793650793651,0.8310991957104558,0.7069555302166477,0.836009145366924
7,avg,0.35000000000000003,0.84,0.6331877729257642,0.847953216374269,0.725,0.836009145366924
8,avg,0.4,0.8518518518518519,0.6381909547738693,0.8523489932885906,0.7298850574712644,0.836009145366924
9,avg,0.45,0.8710232158211522,0.6608187134502924,0.8692307692307693,0.7508305647840532,0.836009145366924
10,avg,0.5,0.8902554399243141,0.6917562724014337,0.8654708520179372,0.7689243027888446,0.836009145366924
11,avg,0.55,0.9044117647058824,0.7161572052401747,0.8631578947368421,0.7828162291169452,0.836009145366924
12,avg,0.6,0.925531914893617,0.7485714285714286,0.8733333333333333,0.8061538461538461,0.836009145366924
13,avg,0.65,0.9459459459459459,0.782258064516129,0.8818181818181818,0.8290598290598291,0.836009145366924
14,avg,0.7000000000000001,0.9606299212598425,0.810126582278481,0.8648648648648649,0.8366013071895425,0.836009145366924
15,avg,0.75,0.9678638941398866,0.8372093023255814,0.782608695652174,0.8089887640449438,0.836009145366924
16,avg,0.8,0.983451536643026,0.9166666666666666,0.6470588235294118,0.7586206896551724,0.836009145366924
17,avg,0.85,0.9874213836477987,1.0,0.2,0.3333333333333333,0.836009145366924
18,avg,0.9,0.9858490566037735,0.0,0.0,0.0,0.836009145366924
19,avg,0.9500000000000001,0.9905660377358491,0.0,0.0,0.0,0.836009145366924
20,median,0.0,0.7459791863765374,0.5145631067961165,0.7557932263814616,0.612274368231047,0.8350068101914407
21,median,0.05,0.7541065206570433,0.5273189326556544,0.7728119180633147,0.6268882175226587,0.8350068101914407
22,median,0.1,0.766684182869154,0.5445945945945946,0.7901960784313725,0.6448,0.8350068101914407
23,median,0.15,0.7757373400111297,0.5518248175182482,0.7974683544303798,0.6522864538395168,0.8350068101914407
24,median,0.2,0.7907801418439716,0.5694006309148265,0.8167420814479638,0.671003717472119,0.8350068101914407
25,median,0.25,0.8095838587641866,0.5906735751295337,0.8402948402948403,0.6937119675456389,0.8350068101914407
26,median,0.3,0.8209459459459459,0.6049618320610687,0.8453333333333334,0.7052280311457174,0.8350068101914407
27,median,0.35000000000000003,0.84,0.6369426751592356,0.8595988538681948,0.7317073170731707,0.8350068101914407
28,median,0.4,0.8534278959810875,0.6536585365853659,0.8589743589743589,0.7423822714681441,0.8350068101914407
29,median,0.45,0.8658641444539983,0.6570605187319885,0.8603773584905661,0.7450980392156863,0.8350068101914407
30,median,0.5,0.8902554399243141,0.6917562724014337,0.8654708520179372,0.7689243027888446,0.8350068101914407
31,median,0.55,0.907563025210084,0.7219730941704036,0.8609625668449198,0.7853658536585366,0.8350068101914407
32,median,0.6,0.9243498817966903,0.7456647398843931,0.8657718120805369,0.8012422360248447,0.8350068101914407
33,median,0.65,0.9432432432432433,0.7522935779816514,0.845360824742268,0.7961165048543689,0.8350068101914407
