,Method,Rejection Rate,Accuracy,Precision,Recall,F1-Score,AU-ARC
0,avg,0.0,0.993,0.9946559786239145,0.9913448735019973,0.9929976658886296,0.9497528752436648
1,avg,0.05,0.9992982456140351,1.0,0.9985984583041345,0.9992987377279102,0.9497528752436648
2,avg,0.1,0.9992592592592593,1.0,0.9985141158989599,0.9992565055762082,0.9497528752436648
3,avg,0.15,1.0,1.0,1.0,1.0,0.9497528752436648
4,avg,0.2,1.0,1.0,1.0,1.0,0.9497528752436648
5,avg,0.25,1.0,1.0,1.0,1.0,0.9497528752436648
6,avg,0.3,1.0,1.0,1.0,1.0,0.9497528752436648
7,avg,0.35000000000000003,1.0,1.0,1.0,1.0,0.9497528752436648
8,avg,0.4,1.0,1.0,1.0,1.0,0.9497528752436648
9,avg,0.45,1.0,1.0,1.0,1.0,0.9497528752436648
10,avg,0.5,1.0,1.0,1.0,1.0,0.9497528752436648
11,avg,0.55,1.0,1.0,1.0,1.0,0.9497528752436648
12,avg,0.6,1.0,1.0,1.0,1.0,0.9497528752436648
13,avg,0.65,1.0,1.0,1.0,1.0,0.9497528752436648
14,avg,0.7000000000000001,1.0,1.0,1.0,1.0,0.9497528752436648
15,avg,0.75,1.0,1.0,1.0,1.0,0.9497528752436648
16,avg,0.8,1.0,1.0,1.0,1.0,0.9497528752436648
17,avg,0.85,1.0,1.0,1.0,1.0,0.9497528752436648
18,avg,0.9,1.0,1.0,1.0,1.0,0.9497528752436648
19,avg,0.9500000000000001,1.0,0.0,0.0,0.0,0.9497528752436648
20,median,0.0,0.993,0.9946559786239145,0.9913448735019973,0.9929976658886296,0.9497528752436648
21,median,0.05,0.9992982456140351,1.0,0.9986033519553073,0.9993011879804332,0.9497528752436648
22,median,0.1,0.9992592592592593,1.0,0.9985261606484893,0.9992625368731564,0.9497528752436648
23,median,0.15,1.0,1.0,1.0,1.0,0.9497528752436648
24,median,0.2,1.0,1.0,1.0,1.0,0.9497528752436648
25,median,0.25,1.0,1.0,1.0,1.0,0.9497528752436648
26,median,0.3,1.0,1.0,1.0,1.0,0.9497528752436648
27,median,0.35000000000000003,1.0,1.0,1.0,1.0,0.9497528752436648
28,median,0.4,1.0,1.0,1.0,1.0,0.9497528752436648
29,median,0.45,1.0,1.0,1.0,1.0,0.9497528752436648
30,median,0.5,1.0,1.0,1.0,1.0,0.9497528752436648
31,median,0.55,1.0,1.0,1.0,1.0,0.9497528752436648
32,median,0.6,1.0,1.0,1.0,1.0,0.9497528752436648
33,median,0.65,1.0,1.0,1.0,1.0,0.9497528752436648
34,median,0.7000000000000001,1.0,1.0,1.0,1.0,0.9497528752436648
35,median,0.75,1.0,1.0,1.0,1.0,0.9497528752436648
36,median,0.8,1.0,1.0,1.0,1.0,0.9497528752436648
37,median,0.85,1.0,1.0,1.0,1.0,0.9497528752436648
38,median,0.9,1.0,1.0,1.0,1.0,0.9497528752436648
39,median,0.9500000000000001,1.0,1.0,1.0,1.0,0.9497528752436648
40,min,0.0,0.993,0.9946559786239145,0.9913448735019973,0.9929976658886296,0.9480877673410182
41,min,0.05,0.9978947368421053,0.9978991596638656,0.9978991596638656,0.9978991596638656,0.9480877673410182
42,min,0.1,0.9977777777777778,0.9977908689248896,0.9977908689248896,0.9977908689248896,0.9480877673410182
43,min,0.15,0.9984313725490196,0.9984387197501952,0.9984387197501952,0.9984387197501952,0.9480877673410182
44,min,0.2,0.9983333333333333,0.9983319432860718,0.9983319432860718,0.9983319432860718,0.9480877673410182
45,min,0.25,0.9982222222222222,0.9982253771073647,0.9982253771073647,0.9982253771073647,0.9480877673410182
46,min,0.3,0.9980952380952381,0.9980897803247374,0.9980897803247374,0.9980897803247374,0.9480877673410182
47,min,0.35000000000000003,0.997948717948718,0.9979274611398964,0.9979274611398964,0.9979274611398964,0.9480877673410182
48,min,0.4,0.9977777777777778,0.997709049255441,0.997709049255441,0.997709049255441,0.9480877673410182
49,min,0.45,0.9975757575757576,0.9975124378109452,0.9975124378109452,0.9975124378109452,0.9480877673410182
50,min,0.5,0.9973333333333333,0.9972789115646259,0.9972789115646259,0.9972789115646259,0.9480877673410182
51,min,0.55,0.9977777777777778,0.9984756097560976,0.9969558599695586,0.9977151561309977,0.9480877673410182
52,min,0.6,0.9975,0.9982788296041308,0.9965635738831615,0.9974204643164231,0.9480877673410182
53,min,0.65,0.9971428571428571,0.998019801980198,0.9960474308300395,0.9970326409495549,0.9480877673410182
54,min,0.7000000000000001,0.9977777777777778,0.9977116704805492,0.9977116704805492,0.9977116704805492,0.9480877673410182
55,min,0.75,0.9973333333333333,0.9971910112359551,0.9971910112359551,0.9971910112359551,0.9480877673410182
56,min,0.8,0.9983333333333333,1.0,0.9965635738831615,0.9982788296041308,0.9480877673410182
57,min,0.85,1.0,1.0,1.0,1.0,0.9480877673410182
58,min,0.9,1.0,1.0,1.0,1.0,0.9480877673410182
59,min,0.9500000000000001,1.0,1.0,1.0,1.0,0.9480877673410182
60,max,0.0,0.993,0.9946559786239145,0.9913448735019973,0.9929976658886296,0.9438240679398575
61,max,0.05,0.9926315789473684,0.9943820224719101,0.9909027291812457,0.9926393270241851,0.9438240679398575
62,max,0.1,0.9925925925925926,0.994060876020787,0.9911176905995559,0.9925871015567087,0.9438240679398575
63,max,0.15,0.9933333333333333,0.99528672427337,0.9913928012519562,0.9933359466875735,0.9438240679398575
64,max,0.2,0.9933333333333333,0.9950124688279302,0.9917149958574979,0.9933609958506224,0.9438240679398575
65,max,0.25,0.9928888888888889,0.9946428571428572,0.9911032028469751,0.9928698752228164,0.9438240679398575
66,max,0.3,0.9923809523809524,0.994291151284491,0.990521327014218,0.9924026590693258,0.9438240679398575
67,max,0.35000000000000003,0.9923076923076923,0.9948665297741273,0.9897854954034729,0.9923195084485407,0.9438240679398575
68,max,0.4,0.9927777777777778,0.9955604883462819,0.9900662251655629,0.9928057553956835,0.9438240679398575
69,max,0.45,0.9927272727272727,0.99644128113879,0.9893992932862191,0.9929078014184397,0.9438240679398575
70,max,0.5,0.992,0.9960835509138382,0.9883419689119171,0.9921976592977894,0.9438240679398575
71,max,0.55,0.9933333333333333,0.9985315712187959,0.9883720930232558,0.9934258582907232,0.9438240679398575
72,max,0.6,0.9925,0.9983633387888707,0.9870550161812298,0.9926769731489016,0.9438240679398575
73,max,0.65,0.9942857142857143,1.0,0.9889705882352942,0.9944547134935305,0.9438240679398575
74,max,0.7000000000000001,0.9966666666666667,1.0,0.9935897435897436,0.9967845659163987,0.9438240679398575
75,max,0.75,0.9973333333333333,1.0,0.9948849104859335,0.9974358974358974,0.9438240679398575
76,max,0.8,0.9966666666666667,1.0,0.9935275080906149,0.9967532467532467,0.9438240679398575
77,max,0.85,0.9955555555555555,1.0,0.9915611814345991,0.9957627118644068,0.9438240679398575
78,max,0.9,0.9933333333333333,1.0,0.9870967741935484,0.9935064935064936,0.9438240679398575
79,max,0.9500000000000001,0.9866666666666667,1.0,0.9743589743589743,0.987012987012987,0.9438240679398575
