,Method,Rejection Rate,Accuracy,Precision,Recall,F1-Score,AU-ARC
0,avg,0.0,0.8558889335092651,0.8505728352426567,0.6858856607425059,0.7345977740031614,0.896159656017744
1,avg,0.05,0.8710748792270532,0.8793756596314376,0.702600507295143,0.75433622992296,0.896159656017744
2,avg,0.1,0.8850713921468638,0.8957338851336344,0.7199678039756032,0.7706743941414773,0.896159656017744
3,avg,0.15,0.8995748127151245,0.9113463138837579,0.7412233378913587,0.7902485972733023,0.896159656017744
4,avg,0.2,0.9112943707422015,0.9227577986529949,0.7529891746114371,0.8024007481101751,0.896159656017744
5,avg,0.25,0.9209882208964357,0.9263497076393578,0.7553805811197846,0.8049787431830201,0.896159656017744
6,avg,0.3,0.929683658416653,0.9292877505718975,0.7567417574405931,0.8047492304563643,0.896159656017744
7,avg,0.35000000000000003,0.936104492101315,0.940541618556712,0.7600236208881869,0.8107069112430716,0.896159656017744
8,avg,0.4,0.9438760875800746,0.9480511864841452,0.7646215422534157,0.8177977818704144,0.896159656017744
9,avg,0.45,0.950250312891114,0.9625755608762638,0.7678827123362263,0.8197125955888798,0.896159656017744
10,avg,0.5,0.955598898577329,0.9724030483007942,0.7563021965359346,0.8153000632435387,0.896159656017744
11,avg,0.55,0.9618816930137685,0.9818493766815225,0.768242297468038,0.8223539413998847,0.896159656017744
12,avg,0.6,0.9650078875663273,0.983444297446279,0.7601467140292252,0.8150901080603326,0.896159656017744
13,avg,0.65,0.9693492870021307,0.9864509197049138,0.7384590676492735,0.7886615888122899,0.896159656017744
14,avg,0.7000000000000001,0.9709369024856597,0.9873678970545713,0.7227113866142408,0.7637381236884472,0.896159656017744
15,avg,0.75,0.974070674621386,0.8455460873618366,0.7127819796349654,0.7431885701675511,0.896159656017744
16,avg,0.8,0.9764840837396043,0.8464024194924623,0.7240312339392745,0.7417703680833088,0.896159656017744
17,avg,0.85,0.9866156787762906,0.8495561248412927,0.7314537417671384,0.7507164613321338,0.896159656017744
18,avg,0.9,0.9908256880733946,0.8534095047697123,0.7511580675827499,0.7783506683256868,0.896159656017744
