,Method,Rejection Rate,Accuracy,Precision,Recall,F1-Score,AU-ARC
0,avg,0.0,0.7014925373134329,0.7213114754098361,0.6567164179104478,0.6875,0.78364866385592
1,avg,0.05,0.7109375,0.7368421052631579,0.65625,0.6942148760330579,0.78364866385592
2,avg,0.1,0.7272727272727273,0.7592592592592593,0.6721311475409836,0.7130434782608696,0.78364866385592
3,avg,0.15,0.7368421052631579,0.78,0.6724137931034483,0.7222222222222222,0.78364866385592
4,avg,0.2,0.7407407407407407,0.7755102040816326,0.6909090909090909,0.7307692307692307,0.78364866385592
5,avg,0.25,0.7524752475247525,0.7727272727272727,0.6938775510204082,0.7311827956989247,0.78364866385592
6,avg,0.3,0.7446808510638298,0.7857142857142857,0.6875,0.7333333333333333,0.78364866385592
7,avg,0.35000000000000003,0.7840909090909091,0.8461538461538461,0.717391304347826,0.7764705882352941,0.78364866385592
8,avg,0.4,0.8148148148148148,0.8823529411764706,0.7317073170731707,0.8,0.78364866385592
9,avg,0.45,0.8243243243243243,0.875,0.7567567567567568,0.8115942028985508,0.78364866385592
10,avg,0.5,0.8507462686567164,0.8709677419354839,0.8181818181818182,0.84375,0.78364866385592
11,avg,0.55,0.8524590163934426,0.8888888888888888,0.8,0.8421052631578947,0.78364866385592
12,avg,0.6,0.8518518518518519,0.8695652173913043,0.8,0.8333333333333334,0.78364866385592
13,avg,0.65,0.851063829787234,0.8571428571428571,0.8181818181818182,0.8372093023255814,0.78364866385592
14,avg,0.7000000000000001,0.8536585365853658,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.78364866385592
15,avg,0.75,0.8823529411764706,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.78364866385592
16,avg,0.8,0.9629629629629629,1.0,0.9230769230769231,0.96,0.78364866385592
17,avg,0.85,0.9523809523809523,1.0,0.9090909090909091,0.9523809523809523,0.78364866385592
18,avg,0.9,0.9285714285714286,1.0,0.875,0.9333333333333333,0.78364866385592
19,avg,0.9500000000000001,1.0,1.0,1.0,1.0,0.78364866385592
20,median,0.0,0.7014925373134329,0.7213114754098361,0.6567164179104478,0.6875,0.7868709952926533
21,median,0.05,0.6953125,0.7192982456140351,0.640625,0.6776859504132231,0.7868709952926533
22,median,0.1,0.7272727272727273,0.7407407407407407,0.6779661016949152,0.7079646017699115,0.7868709952926533
23,median,0.15,0.7631578947368421,0.7843137254901961,0.7142857142857143,0.7476635514018691,0.7868709952926533
24,median,0.2,0.7685185185185185,0.78,0.7358490566037735,0.7572815533980582,0.7868709952926533
25,median,0.25,0.7821782178217822,0.8043478260869565,0.74,0.7708333333333334,0.7868709952926533
26,median,0.3,0.776595744680851,0.7906976744186046,0.7391304347826086,0.7640449438202247,0.7868709952926533
27,median,0.35000000000000003,0.8181818181818182,0.85,0.7727272727272727,0.8095238095238095,0.7868709952926533
28,median,0.4,0.8148148148148148,0.8421052631578947,0.7804878048780488,0.810126582278481,0.7868709952926533
29,median,0.45,0.8243243243243243,0.875,0.7567567567567568,0.8115942028985508,0.7868709952926533
30,median,0.5,0.8656716417910447,0.875,0.8484848484848485,0.8615384615384616,0.7868709952926533
31,median,0.55,0.8524590163934426,0.8571428571428571,0.8275862068965517,0.8421052631578947,0.7868709952926533
32,median,0.6,0.8518518518518519,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7868709952926533
33,median,0.65,0.851063829787234,0.8260869565217391,0.8636363636363636,0.8444444444444444,0.7868709952926533
34,median,0.7000000000000001,0.8536585365853658,0.85,0.85,0.85,0.7868709952926533
35,median,0.75,0.8823529411764706,0.9333333333333333,0.8235294117647058,0.875,0.7868709952926533
36,median,0.8,0.9259259259259259,1.0,0.8333333333333334,0.9090909090909091,0.7868709952926533
37,median,0.85,0.9047619047619048,1.0,0.8333333333333334,0.9090909090909091,0.7868709952926533
38,median,0.9,0.9285714285714286,1.0,0.9,0.9473684210526315,0.7868709952926533
39,median,0.9500000000000001,1.0,1.0,1.0,1.0,0.7868709952926533
40,min,0.0,0.7014925373134329,0.7213114754098361,0.6567164179104478,0.6875,0.7368791356876061
41,min,0.05,0.7109375,0.7288135593220338,0.671875,0.6991869918699187,0.7368791356876061
42,min,0.1,0.71900826446281,0.7407407407407407,0.6666666666666666,0.7017543859649122,0.7368791356876061
43,min,0.15,0.7192982456140351,0.7450980392156863,0.6666666666666666,0.7037037037037037,0.7368791356876061
44,min,0.2,0.7222222222222222,0.75,0.6666666666666666,0.7058823529411765,0.7368791356876061
45,min,0.25,0.7326732673267327,0.7727272727272727,0.6666666666666666,0.7157894736842105,0.7368791356876061
46,min,0.3,0.7553191489361702,0.8292682926829268,0.68,0.7472527472527473,0.7368791356876061
47,min,0.35000000000000003,0.7613636363636364,0.8205128205128205,0.6956521739130435,0.7529411764705882,0.7368791356876061
48,min,0.4,0.7654320987654321,0.8571428571428571,0.6818181818181818,0.759493670886076,0.7368791356876061
49,min,0.45,0.7837837837837838,0.8823529411764706,0.7142857142857143,0.7894736842105263,0.7368791356876061
50,min,0.5,0.7910447761194029,0.9,0.7105263157894737,0.7941176470588235,0.7368791356876061
51,min,0.55,0.7868852459016393,0.8846153846153846,0.696969696969697,0.7796610169491526,0.7368791356876061
52,min,0.6,0.7962962962962963,0.875,0.7241379310344828,0.7924528301886793,0.7368791356876061
53,min,0.65,0.8085106382978723,0.8636363636363636,0.76,0.8085106382978723,0.7368791356876061
54,min,0.7000000000000001,0.8292682926829268,0.8823529411764706,0.75,0.8108108108108109,0.7368791356876061
55,min,0.75,0.8529411764705882,0.8666666666666667,0.8125,0.8387096774193549,0.7368791356876061
56,min,0.8,0.8518518518518519,0.9230769230769231,0.8,0.8571428571428571,0.7368791356876061
57,min,0.85,0.8571428571428571,0.9,0.8181818181818182,0.8571428571428571,0.7368791356876061
58,min,0.9,0.7857142857142857,0.8571428571428571,0.75,0.8,0.7368791356876061
59,min,0.9500000000000001,0.7142857142857143,1.0,0.6666666666666666,0.8,0.7368791356876061
60,max,0.0,0.7014925373134329,0.7213114754098361,0.6567164179104478,0.6875,0.7791046779996518
61,max,0.05,0.703125,0.7068965517241379,0.6612903225806451,0.6833333333333333,0.7791046779996518
62,max,0.1,0.7272727272727273,0.7192982456140351,0.7068965517241379,0.7130434782608696,0.7791046779996518
63,max,0.15,0.7368421052631579,0.7307692307692307,0.7037037037037037,0.7169811320754716,0.7791046779996518
64,max,0.2,0.7314814814814815,0.723404255319149,0.68,0.7010309278350515,0.7791046779996518
65,max,0.25,0.7425742574257426,0.75,0.6875,0.717391304347826,0.7791046779996518
66,max,0.3,0.776595744680851,0.8048780487804879,0.717391304347826,0.7586206896551724,0.7791046779996518
67,max,0.35000000000000003,0.7840909090909091,0.8108108108108109,0.7142857142857143,0.759493670886076,0.7791046779996518
68,max,0.4,0.7777777777777778,0.8181818181818182,0.6923076923076923,0.75,0.7791046779996518
69,max,0.45,0.7972972972972973,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.7791046779996518
70,max,0.5,0.8059701492537313,0.8518518518518519,0.71875,0.7796610169491526,0.7791046779996518
71,max,0.55,0.8360655737704918,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.7791046779996518
72,max,0.6,0.8518518518518519,0.88,0.8148148148148148,0.8461538461538461,0.7791046779996518
73,max,0.65,0.851063829787234,0.9,0.782608695652174,0.8372093023255814,0.7791046779996518
74,max,0.7000000000000001,0.8536585365853658,0.8823529411764706,0.7894736842105263,0.8333333333333334,0.7791046779996518
75,max,0.75,0.9117647058823529,1.0,0.8125,0.896551724137931,0.7791046779996518
76,max,0.8,0.9629629629629629,1.0,0.9166666666666666,0.9565217391304348,0.7791046779996518
77,max,0.85,0.9523809523809523,1.0,0.8888888888888888,0.9411764705882353,0.7791046779996518
78,max,0.9,0.9285714285714286,1.0,0.875,0.9333333333333333,0.7791046779996518
79,max,0.9500000000000001,1.0,1.0,1.0,1.0,0.7791046779996518
