,Model,Method,Rejection Rate,Accuracy,Precision,Recall,F1-Score,AU-ARC
0,Decision_Tree,min,0.0,0.7200373283562191,0.3822744260544581,0.43158529234478604,0.40543601359003395,0.6969835642215786
1,Decision_Tree,min,0.05,0.7294414818972775,0.3909952606635071,0.4230769230769231,0.4064039408866995,0.6969835642215786
2,Decision_Tree,min,0.1,0.7373722411494593,0.39763779527559057,0.41478439425051333,0.40603015075376886,0.6969835642215786
3,Decision_Tree,min,0.15,0.7379234629861983,0.39538138558432473,0.41180758017492713,0.40342734737593716,0.6969835642215786
4,Decision_Tree,min,0.2,0.7400433261123146,0.3997005988023952,0.413312693498452,0.4063926940639269,0.6969835642215786
5,Decision_Tree,min,0.25,0.7392463562033417,0.4,0.4088669950738916,0.4043848964677223,0.6969835642215786
6,Decision_Tree,min,0.3,0.7402399542944201,0.40223944875107664,0.41072999120492526,0.40644038294168844,0.6969835642215786
7,Decision_Tree,min,0.35000000000000003,0.7383100902379,0.4005524861878453,0.41037735849056606,0.40540540540540543,0.6969835642215786
8,Decision_Tree,min,0.4,0.7376138635858698,0.39641434262948205,0.4090441932168551,0.4026302478502782,0.6969835642215786
9,Decision_Tree,min,0.45,0.7360639844886088,0.39787234042553193,0.4169453734671126,0.40718562874251496,0.6969835642215786
10,Decision_Tree,min,0.5,0.7342042122100774,0.39649122807017545,0.41341463414634144,0.4047761194029851,0.6969835642215786
11,Decision_Tree,min,0.55,0.7292654028436019,0.39363057324840767,0.41365461847389556,0.40339425587467365,0.6969835642215786
12,Decision_Tree,min,0.6,0.7317560813062313,0.39568345323741005,0.4166666666666667,0.4059040590405904,0.6969835642215786
13,Decision_Tree,min,0.65,0.7315308453922316,0.39057239057239057,0.40347826086956523,0.39692044482463645,0.6969835642215786
14,Decision_Tree,min,0.7000000000000001,0.7312305641936917,0.38922155688622756,0.39473684210526316,0.39195979899497485,0.6969835642215786
15,Decision_Tree,min,0.75,0.7329424307036247,0.40093240093240096,0.41346153846153844,0.40710059171597635,0.6969835642215786
16,Decision_Tree,min,0.8,0.7288474350433045,0.38439306358381503,0.40672782874617736,0.3952451708766716,0.6969835642215786
17,Decision_Tree,min,0.85,0.7229129662522202,0.3660377358490566,0.4024896265560166,0.383399209486166,0.6969835642215786
18,Decision_Tree,min,0.9,0.7323568575233023,0.3764705882352941,0.4025157232704403,0.3890577507598784,0.6969835642215786
19,Decision_Tree,min,0.9500000000000001,0.7367021276595744,0.3522727272727273,0.4246575342465753,0.38509316770186336,0.6969835642215786
0,SGD,min,0.0,0.6960405279296094,0.38866977411258513,0.6534056660638939,0.48741007194244607,0.732972748680263
1,SGD,min,0.05,0.7065674992983441,0.4046887009992314,0.6601880877742947,0.5017869907076483,0.732972748680263
2,SGD,min,0.1,0.7126351651607169,0.4152334152334152,0.6644823066841415,0.5110887096774194,0.732972748680263
3,SGD,min,0.15,0.7206712672521958,0.431657848324515,0.6655336505778382,0.523669430328965,0.732972748680263
4,SGD,min,0.2,0.7273787702049659,0.44860255802937,0.6673713883016209,0.5365439093484419,0.732972748680263
5,SGD,min,0.25,0.7355136864557412,0.46615384615384614,0.6703539823008849,0.5499092558983666,0.732972748680263
6,SGD,min,0.3,0.7476671110264711,0.4932508436445444,0.6740968485780169,0.5696654758038324,0.732972748680263
7,SGD,min,0.35000000000000003,0.7567678424938474,0.5176470588235295,0.672566371681416,0.5850244926522044,0.732972748680263
8,SGD,min,0.4,0.7713841368584758,0.5539518900343643,0.6795952782462057,0.6103748580083301,0.732972748680263
9,SGD,min,0.45,0.7784779447406689,0.581640331075997,0.6834659593280283,0.6284552845528455,0.732972748680263
10,SGD,min,0.5,0.7824580111970141,0.6070261437908496,0.6892393320964749,0.6455256298870548,0.732972748680263
11,SGD,min,0.55,0.7852488151658767,0.621384750219106,0.7075848303393214,0.6616892207186188,0.732972748680263
12,SGD,min,0.6,0.7870709763412196,0.6268382352941176,0.7453551912568306,0.6809785322016975,0.732972748680263
13,SGD,min,0.65,0.7920792079207921,0.6411764705882353,0.7841726618705036,0.7055016181229773,0.732972748680263
14,SGD,min,0.7000000000000001,0.7978676143936029,0.6641870350690755,0.8180628272251309,0.7331378299120235,0.732972748680263
15,SGD,min,0.75,0.8011727078891258,0.6760048721071864,0.8383685800604229,0.7484828051247472,0.732972748680263
