,Method,Rejection Rate,Selection Threshold,Accuracy,Precision,Recall,F1-Score,AU-ARC
0,avg,0.0,0.0,0.7836288494867351,0.5107913669064749,0.5135623869801085,0.5121731289449954,0.7780714522177445
1,avg,0.0,0.25,0.7940274630049327,0.537598944591029,0.4912597950572634,0.5133858267716536,0.7780714522177445
2,avg,0.0,0.5,0.8141581122516998,0.615923009623797,0.4243520192887282,0.502498215560314,0.7780714522177445
3,avg,0.0,0.75,0.8068257565657913,0.5844051446945338,0.4382157926461724,0.5008611780916293,0.7780714522177445
4,avg,0.1,0.0,0.8123241001333136,0.5616554054054054,0.4706298655343241,0.5121293800539084,0.7780714522177445
5,avg,0.1,0.25,0.8185454006813805,0.5840787119856887,0.462137296532201,0.5160015804030028,0.7780714522177445
6,avg,0.1,0.5,0.829358613538735,0.6335721596724667,0.43807501769285206,0.5179916317991632,0.7780714522177445
7,avg,0.1,0.75,0.8241741964153458,0.613,0.4338287331917905,0.5080812266887692,0.7780714522177445
8,avg,0.2,0.0,0.8353607732044659,0.6167023554603854,0.47761194029850745,0.5383177570093458,0.7780714522177445
9,avg,0.2,0.25,0.8381936343942676,0.6298342541436464,0.472636815920398,0.5400284225485552,0.7780714522177445
10,avg,0.2,0.5,0.8440259956673888,0.65807962529274,0.4660033167495854,0.545631067961165,0.7780714522177445
11,avg,0.2,0.75,0.8403599400099984,0.6455399061032864,0.4560530679933665,0.5344995140913509,0.7780714522177445
12,avg,0.3,0.0,0.8482193867834699,0.6429495472186287,0.48821218074656186,0.5549972082635399,0.7780714522177445
13,avg,0.3,0.25,0.8495524661969148,0.6492146596858639,0.48722986247544203,0.5566778900112234,0.7780714522177445
14,avg,0.3,0.5,0.8525995048562178,0.6648648648648648,0.48330058939096265,0.5597269624573379,0.7780714522177445
15,avg,0.3,0.75,0.8506951056941535,0.657258064516129,0.48035363457760316,0.5550510783200908,0.7780714522177445
16,avg,0.4,0.0,0.8606976227504999,0.6635802469135802,0.5125148986889154,0.5783456624075319,0.7780714522177445
17,avg,0.4,0.25,0.8615863141524106,0.6671826625386997,0.5137067938021455,0.5804713804713805,0.7780714522177445
18,avg,0.4,0.5,0.864030215507665,0.6787401574803149,0.5137067938021455,0.5848032564450475,0.7780714522177445
19,avg,0.4,0.75,0.8620306598533659,0.670846394984326,0.5101311084624554,0.5795531482735274,0.7780714522177445
20,avg,0.5,0.0,0.8770994401492935,0.6914498141263941,0.5577211394302849,0.6174273858921162,0.7780714522177445
21,avg,0.5,0.25,0.8776326312983205,0.6933085501858736,0.5592203898050975,0.6190871369294606,0.7780714522177445
22,avg,0.5,0.5,0.8781658224473474,0.6958955223880597,0.5592203898050975,0.6201163757273483,0.7780714522177445
23,avg,0.5,0.75,0.877899226872834,0.6938775510204082,0.56071964017991,0.6202321724709784,0.7780714522177445
24,avg,0.6,0.0,0.8880373208930357,0.7168539325842697,0.6030245746691871,0.6550308008213552,0.7780714522177445
25,avg,0.6,0.25,0.8883705431522826,0.7174887892376681,0.6049149338374291,0.6564102564102564,0.7780714522177445
