,Method,Rejection Rate,Accuracy,Precision,Recall,F1-Score,AU-ARC
0,avg,0.0,0.8142914278096254,0.6125211505922166,0.43640747438215793,0.509679690249912,0.8249819637133333
1,avg,0.05,0.8226213864720741,0.6210526315789474,0.4278180619644034,0.5066354410616706,0.8249819637133333
2,avg,0.1,0.8295067397422604,0.6388308977035491,0.4318983768525053,0.5153684210526316,0.8249819637133333
3,avg,0.15,0.8351631116687579,0.6442953020134228,0.4400305576776165,0.5229232864275988,0.8249819637133333
4,avg,0.2,0.8408598566905515,0.6558752997601919,0.45020576131687245,0.5339189848706686,0.8249819637133333
5,avg,0.25,0.8458940632776395,0.6641025641025641,0.46126447016918964,0.5444035733053074,0.8249819637133333
6,avg,0.3,0.8486002666158827,0.6684782608695652,0.47171620325982744,0.5531197301854974,0.8249819637133333
7,avg,0.35000000000000003,0.8566447908121411,0.6779911373707533,0.48829787234042554,0.5677179962894249,0.8249819637133333
8,avg,0.4,0.862697178404799,0.6789727126805778,0.5029726516052319,0.5778688524590164,0.8249819637133333
9,avg,0.45,0.8700920988851187,0.6853146853146853,0.5240641711229946,0.593939393939394,0.8249819637133333
10,avg,0.5,0.8765662490002666,0.6915708812260536,0.5444947209653092,0.6092827004219409,0.8249819637133333
11,avg,0.55,0.8835900473933649,0.7040169133192389,0.568259385665529,0.6288951841359773,0.8249819637133333
12,avg,0.6,0.882705764745085,0.7002341920374707,0.5717017208413002,0.6294736842105263,0.8249819637133333
13,avg,0.65,0.8869002284843869,0.7094240837696335,0.5929978118161926,0.6460071513706794,0.8249819637133333
14,avg,0.7000000000000001,0.8920479786761439,0.7082066869300911,0.6131578947368421,0.6572637517630465,0.8249819637133333
15,avg,0.75,0.8955223880597015,0.7022058823529411,0.6241830065359477,0.6608996539792388,0.8249819637133333
16,avg,0.8,0.9040639573617588,0.7066666666666667,0.6708860759493671,0.6883116883116883,0.8249819637133333
17,avg,0.85,0.9067495559502664,0.7016574585635359,0.7134831460674157,0.7075208913649025,0.8249819637133333
18,avg,0.9,0.9054593874833555,0.7253521126760564,0.762962962962963,0.7436823104693141,0.8249819637133333
19,avg,0.9500000000000001,0.8936170212765957,0.7444444444444445,0.7976190476190477,0.7701149425287356,0.8249819637133333
20,median,0.0,0.8142914278096254,0.6125211505922166,0.43640747438215793,0.509679690249912,0.8392811310430356
21,median,0.05,0.8230423800168397,0.6260623229461756,0.4339005235602094,0.5125628140703518,0.8392811310430356
22,median,0.1,0.8311361279810399,0.6386554621848739,0.43304843304843305,0.5161290322580645,0.8392811310430356
23,median,0.15,0.8387703889585947,0.6517754868270332,0.440061871616396,0.5253924284395198,0.8392811310430356
24,median,0.2,0.8456923846025662,0.6615969581749049,0.4419983065198984,0.5299492385786801,0.8392811310430356
25,median,0.25,0.8538926413082119,0.6685878962536023,0.4393939393939394,0.5302857142857142,0.8392811310430356
26,median,0.3,0.8590744620072367,0.6814449917898193,0.43184183142559834,0.5286624203821656,0.8392811310430356
27,median,0.35000000000000003,0.8638228055783429,0.6895238095238095,0.41946697566628044,0.521613832853026,0.8392811310430356
28,median,0.4,0.8711397467229505,0.6986607142857143,0.4129287598944591,0.5190713101160862,0.8392811310430356
29,median,0.45,0.8778477944740669,0.6989247311827957,0.3987730061349693,0.5078125,0.8392811310430356
30,median,0.5,0.8850973073846974,0.7064516129032258,0.39177101967799643,0.5040276179516686,0.8392811310430356
31,median,0.55,0.8936611374407583,0.7230769230769231,0.3957894736842105,0.5115646258503401,0.8392811310430356
32,median,0.6,0.9010329890036655,0.7357512953367875,0.36597938144329895,0.48881239242685026,0.8392811310430356
33,median,0.65,0.9074638233054074,0.75,0.3573667711598746,0.4840764331210191,0.8392811310430356
34,median,0.7000000000000001,0.9124833407374501,0.7727272727272727,0.33073929961089493,0.46321525885558584,0.8392811310430356
35,median,0.75,0.9216417910447762,0.7866666666666666,0.3105263157894737,0.44528301886792454,0.8392811310430356
36,median,0.8,0.9280479680213192,0.7948717948717948,0.2366412213740458,0.36470588235294116,0.8392811310430356
37,median,0.85,0.9431616341030196,0.9166666666666666,0.2619047619047619,0.4074074074074074,0.8392811310430356
38,median,0.9,0.9440745672436751,1.0,0.17647058823529413,0.3,0.8392811310430356
39,median,0.9500000000000001,0.9547872340425532,1.0,0.15,0.2608695652173913,0.8392811310430356
40,min,0.0,0.8142914278096254,0.6125211505922166,0.43640747438215793,0.509679690249912,0.7157444482478308
41,min,0.05,0.8098512489475161,0.6123833757421544,0.445679012345679,0.5158985351911397,0.7157444482478308
42,min,0.1,0.805510294771145,0.6132879045996593,0.4559848005066498,0.523065746458409,0.7157444482478308
43,min,0.15,0.8022271016311167,0.6147260273972602,0.4695879659908437,0.5324434556915091,0.7157444482478308
44,min,0.2,0.7990334944175971,0.6156491831470335,0.48542372881355933,0.5428354814253222,0.7157444482478308
45,min,0.25,0.7938144329896907,0.6153184165232358,0.5007002801120448,0.5521235521235521,0.7157444482478308
46,min,0.3,0.7878499333460294,0.6153846153846154,0.5155684286748733,0.5610717100078803,0.7157444482478308
47,min,0.35000000000000003,0.7813781788351107,0.6155866900175131,0.5285714285714286,0.5687702265372169,0.7157444482478308
48,min,0.4,0.776049766718507,0.6182462356067316,0.5474509803921569,0.5806988352745425,0.7157444482478308
49,min,0.45,0.7641783809985458,0.6176470588235294,0.5602263540824576,0.5875370919881305,0.7157444482478308
50,min,0.5,0.7549986670221275,0.6155938349954669,0.5783645655877342,0.5963987703118138,0.7157444482478308
51,min,0.55,0.7485189573459715,0.6179463459759482,0.605072463768116,0.6114416475972541,0.7157444482478308
52,min,0.6,0.7374208597134289,0.6210826210826211,0.6270373921380633,0.6240458015267175,0.7157444482478308
53,min,0.65,0.7258187357197258,0.6217264791464597,0.6601441812564367,0.6403596403596403,0.7157444482478308
54,min,0.7000000000000001,0.7134606841403821,0.6233502538071066,0.6914414414414415,0.6556326748531767,0.7157444482478308
55,min,0.75,0.6998933901918977,0.624731182795699,0.730817610062893,0.673623188405797,0.7157444482478308
56,min,0.8,0.692871419053964,0.6303827751196173,0.7761413843888071,0.6957095709570957,0.7157444482478308
57,min,0.85,0.6740674955595026,0.6395193591455274,0.8315972222222222,0.7230188679245283,0.7157444482478308
58,min,0.9,0.681757656458056,0.6582064297800339,0.9131455399061033,0.7649950835791544,0.7157444482478308
59,min,0.9500000000000001,0.7180851063829787,0.7043478260869566,0.9838056680161943,0.8209459459459459,0.7157444482478308
60,max,0.0,0.8142914278096254,0.6125211505922166,0.43640747438215793,0.509679690249912,0.8268273494258142
61,max,0.05,0.8243053606511367,0.62970498474059,0.4107498341074983,0.4971887550200803,0.8268273494258142
62,max,0.1,0.8326173900162939,0.6451612903225806,0.3932993445010925,0.48868778280542985,0.8268273494258142
63,max,0.15,0.8387703889585947,0.6524725274725275,0.38,0.48028311425682507,0.8268273494258142
64,max,0.2,0.8453591068155307,0.6567398119122257,0.37145390070921985,0.47451868629671573,0.8268273494258142
65,max,0.25,0.8512264486313544,0.6509433962264151,0.3460381143430291,0.4518664047151277,0.8268273494258142
66,max,0.3,0.8577413825937916,0.649890590809628,0.33597285067873306,0.4429530201342282,0.8268273494258142
67,max,0.35000000000000003,0.8621821164889254,0.6430379746835443,0.3235668789808917,0.43050847457627117,0.8268273494258142
68,max,0.4,0.8682514996667408,0.6497005988023952,0.31313131313131315,0.4225900681596884,0.8268273494258142
69,max,0.45,0.8759088705768299,0.6881720430107527,0.31118314424635335,0.42857142857142855,0.8268273494258142
70,max,0.5,0.8802985870434551,0.6932773109243697,0.3049907578558225,0.42362002567394097,0.8268273494258142
71,max,0.55,0.8856635071090048,0.696969696969697,0.2974137931034483,0.4169184290030212,0.8268273494258142
72,max,0.6,0.8913695434855048,0.7083333333333334,0.3005050505050505,0.4219858156028369,0.8268273494258142
73,max,0.65,0.8987052551408987,0.7121212121212122,0.2919254658385093,0.41409691629955947,0.8268273494258142
74,max,0.7000000000000001,0.9053753887161262,0.7422680412371134,0.27692307692307694,0.40336134453781514,0.8268273494258142
75,max,0.75,0.902452025586354,0.6951219512195121,0.2651162790697674,0.3838383838383838,0.8268273494258142
76,max,0.8,0.9020652898067955,0.7183098591549296,0.28651685393258425,0.40963855421686746,0.8268273494258142
77,max,0.85,0.8934280639431617,0.6607142857142857,0.26811594202898553,0.38144329896907214,0.8268273494258142
78,max,0.9,0.8881491344873502,0.7021276595744681,0.32038834951456313,0.44,0.8268273494258142
79,max,0.9500000000000001,0.851063829787234,0.6666666666666666,0.30303030303030304,0.4166666666666667,0.8268273494258142
