,Method,Rejection Rate,Rejection Threshold,Accuracy,Precision,Recall,F1-Score,AU-ARC
0,avg,0.0,0.0,0.7372350353286229,0.3993548387096774,0.3731163351416516,0.38578996572140856,0.7462978220571092
1,avg,0.0,0.25,0.7829622716971071,0.509929532351057,0.4798071127185051,0.49440993788819876,0.7462978220571092
2,avg,0.0,0.5,0.7836288494867351,0.5107913669064749,0.5135623869801085,0.5121731289449954,0.7462978220571092
3,avg,0.0,0.75,0.7836288494867351,0.5107913669064749,0.5135623869801085,0.5121731289449954,0.7462978220571092
4,avg,0.1,0.0,0.7515923566878981,0.4142538975501114,0.38589211618257263,0.3995703544575725,0.7462978220571092
5,avg,0.1,0.25,0.804029032735891,0.5475638051044084,0.4896265560165975,0.5169769989047097,0.7462978220571092
6,avg,0.1,0.5,0.804769663753518,0.5469208211143695,0.5159059474412172,0.5309608540925267,0.7462978220571092
7,avg,0.1,0.75,0.804769663753518,0.5469208211143695,0.5159059474412172,0.5309608540925267,0.7462978220571092
8,avg,0.2,0.0,0.764205965672388,0.4388551604509974,0.39717425431711145,0.41697569015245156,0.7462978220571092
9,avg,0.2,0.25,0.8221963006165639,0.5933273219116321,0.5164835164835165,0.5522450692404532,0.7462978220571092
10,avg,0.2,0.5,0.8226962172971172,0.5909878682842288,0.5353218210361067,0.5617792421746294,0.7462978220571092
11,avg,0.2,0.75,0.8226962172971172,0.5909878682842288,0.5353218210361067,0.5617792421746294,0.7462978220571092
12,avg,0.3,0.0,0.7747095791277852,0.4638255698711596,0.42162162162162165,0.44171779141104295,0.7462978220571092
13,avg,0.3,0.25,0.8358407922300514,0.6267893660531697,0.5522522522522523,0.5871647509578544,0.7462978220571092
14,avg,0.3,0.5,0.8379356313083223,0.6296296296296297,0.5666666666666667,0.5964912280701754,0.7462978220571092
15,avg,0.3,0.75,0.8379356313083223,0.6296296296296297,0.5666666666666667,0.5964912280701754,0.7462978220571092
16,avg,0.4,0.0,0.7800488780271051,0.4751131221719457,0.4439746300211416,0.45901639344262296,0.7462978220571092
17,avg,0.4,0.25,0.8460342146189735,0.6472642607683353,0.587737843551797,0.6160664819944598,0.7462978220571092
18,avg,0.4,0.5,0.8469229060208843,0.646188850967008,0.6004228329809725,0.6224657534246575,0.7462978220571092
19,avg,0.4,0.75,0.8469229060208843,0.646188850967008,0.6004228329809725,0.6224657534246575,0.7462978220571092
20,avg,0.5,0.0,0.7872567315382565,0.4980340760157274,0.4779874213836478,0.4878048780487805,0.7462978220571092
21,avg,0.5,0.25,0.8563049853372434,0.6702127659574468,0.6339622641509434,0.6515837104072398,0.7462978220571092
22,avg,0.5,0.5,0.8557717941882165,0.6657963446475196,0.6415094339622641,0.6534272901985907,0.7462978220571092
23,avg,0.5,0.75,0.8557717941882165,0.6657963446475196,0.6415094339622641,0.6534272901985907,0.7462978220571092
24,avg,0.6,0.0,0.7990669776741086,0.5515625,0.5276532137518685,0.5393430099312452,0.7462978220571092
25,avg,0.6,0.25,0.8687104298567144,0.7049180327868853,0.7070254110612855,0.7059701492537314,0.7462978220571092
26,avg,0.6,0.5,0.8690436521159614,0.7041420118343196,0.7115097159940209,0.7078066914498141,0.7462978220571092
27,avg,0.6,0.75,0.8690436521159614,0.7041420118343196,0.7115097159940209,0.7078066914498141,0.7462978220571092
28,avg,0.7000000000000001,0.0,0.8023100844069303,0.5988483685220729,0.5693430656934306,0.5837231057062675,0.7462978220571092
29,avg,0.7000000000000001,0.25,0.8658374055975122,0.7135416666666666,0.75,0.7313167259786477,0.7462978220571092
30,avg,0.7000000000000001,0.5,0.8645046645935139,0.7098445595854922,0.75,0.7293700088731144,0.7462978220571092
31,avg,0.7000000000000001,0.75,0.8645046645935139,0.7098445595854922,0.75,0.7293700088731144,0.7462978220571092
32,avg,0.8,0.0,0.8081279147235176,0.6674757281553398,0.6455399061032864,0.6563245823389021,0.7462978220571092
33,avg,0.8,0.25,0.871419053964024,0.7494646680942184,0.8215962441314554,0.7838745800671892,0.7462978220571092
34,avg,0.8,0.5,0.871419053964024,0.7494646680942184,0.8215962441314554,0.7838745800671892,0.7462978220571092
35,avg,0.8,0.75,0.871419053964024,0.7494646680942184,0.8215962441314554,0.7838745800671892,0.7462978220571092
36,avg,0.9,0.0,0.8082556591211718,0.7587412587412588,0.7431506849315068,0.7508650519031141,0.7462978220571092
37,avg,0.9,0.25,0.8801597869507324,0.8005952380952381,0.9212328767123288,0.856687898089172,0.7462978220571092
38,avg,0.9,0.5,0.8801597869507324,0.8005952380952381,0.9212328767123288,0.856687898089172,0.7462978220571092
39,avg,0.9,0.75,0.8801597869507324,0.8005952380952381,0.9212328767123288,0.856687898089172,0.7462978220571092
40,median,0.0,0.0,0.7372350353286229,0.3993548387096774,0.3731163351416516,0.38578996572140856,0.7499388805894155
41,median,0.0,0.25,0.7829622716971071,0.509929532351057,0.4798071127185051,0.49440993788819876,0.7499388805894155
42,median,0.0,0.5,0.7836288494867351,0.5107913669064749,0.5135623869801085,0.5121731289449954,0.7499388805894155
43,median,0.0,0.75,0.7836288494867351,0.5107913669064749,0.5135623869801085,0.5121731289449954,0.7499388805894155
44,median,0.1,0.0,0.750111094652644,0.4174041297935103,0.3868762816131237,0.40156083717630364,0.7499388805894155
45,median,0.1,0.25,0.8012146348689083,0.5449814126394052,0.5010252904989747,0.5220797720797721,0.7499388805894155
46,median,0.1,0.5,0.8021033920900608,0.5450035435861091,0.5256322624743678,0.535142658315936,0.7499388805894155
47,median,0.1,0.75,0.8021033920900608,0.5450035435861091,0.5256322624743678,0.535142658315936,0.7499388805894155
48,median,0.2,0.0,0.7623729378436928,0.4401378122308355,0.39704739704739705,0.41748366013071897,0.7499388805894155
