,Method,Rejection Rate,Accuracy,Precision,Recall,F1-Score,AU-ARC
0,avg,0.0,0.7854952672976936,0.5158428390367554,0.49065702230259195,0.5029348161878282,0.8038239034500986
1,avg,0.05,0.7951164748807185,0.532258064516129,0.4890463917525773,0.5097380792478173,0.8038239034500986
2,avg,0.1,0.8046215375499925,0.5482889733840304,0.49861687413554634,0.5222745382107932,0.8038239034500986
3,avg,0.15,0.8132057716436637,0.5740281224152192,0.5065693430656935,0.5381930981000388,0.8038239034500986
4,avg,0.2,0.8215297450424929,0.5903829029385574,0.5204081632653061,0.5531914893617021,0.8038239034500986
5,avg,0.25,0.829008176324209,0.6113744075829384,0.5388471177944862,0.5728241563055062,0.8038239034500986
6,avg,0.3,0.8354599123976385,0.625,0.5540540540540541,0.5873925501432665,0.8038239034500986
7,avg,0.35000000000000003,0.8406480721903199,0.6341991341991342,0.5717073170731707,0.6013340174448435,0.8038239034500986
8,avg,0.4,0.8458120417684959,0.6461716937354989,0.5887949260042283,0.6161504424778761,0.8038239034500986
9,avg,0.45,0.8499757634512846,0.6555965559655597,0.6112385321100917,0.6326409495548961,0.8038239034500986
10,avg,0.5,0.8565715809117569,0.6706507304116865,0.6352201257861635,0.6524547803617571,0.8038239034500986
11,avg,0.55,0.8616706161137441,0.6888260254596889,0.6634877384196185,0.6759195003469812,0.8038239034500986
12,avg,0.6,0.8687104298567144,0.7049180327868853,0.7070254110612855,0.7059701492537314,0.8038239034500986
13,avg,0.65,0.8697638994668697,0.7117834394904459,0.7351973684210527,0.7233009708737864,0.8038239034500986
14,avg,0.7000000000000001,0.8658374055975122,0.7135416666666666,0.75,0.7313167259786477,0.8038239034500986
15,avg,0.75,0.8672707889125799,0.7267552182163188,0.7848360655737705,0.7546798029556651,0.8038239034500986
16,avg,0.8,0.871419053964024,0.7494646680942184,0.8215962441314554,0.7838745800671892,0.8038239034500986
17,avg,0.85,0.8694493783303731,0.7542997542997543,0.867231638418079,0.8068331143232589,0.8038239034500986
18,avg,0.9,0.8801597869507324,0.8005952380952381,0.9212328767123288,0.856687898089172,0.8038239034500986
19,avg,0.9500000000000001,0.875,0.8073394495412844,0.9723756906077348,0.8822055137844611,0.8038239034500986
20,median,0.0,0.7854952672976936,0.5158428390367554,0.49065702230259195,0.5029348161878282,0.8093480441322
21,median,0.05,0.7928711759753018,0.5284831846259437,0.4939063502245029,0.5106100795755968,0.8093480441322
22,median,0.1,0.8023996444971115,0.5475313190862195,0.5078605604921395,0.5269503546099291,0.8093480441322
23,median,0.15,0.8125784190715182,0.5685963521015067,0.5241228070175439,0.5454545454545454,0.8093480441322
24,median,0.2,0.8191968005332445,0.5854483925549916,0.5376845376845377,0.5605508302956662,0.8093480441322
25,median,0.25,0.8254532527550658,0.6005410279531109,0.5526970954356847,0.5756266205704408,0.8093480441322
26,median,0.3,0.8354599123976385,0.6290480863591756,0.5687666370896185,0.5973904939422181,0.8093480441322
27,median,0.35000000000000003,0.8422887612797375,0.640625,0.591915303176131,0.6153076538269134,0.8093480441322
28,median,0.4,0.8495889802266163,0.6521252796420581,0.6143308746048473,0.6326641345632121,0.8093480441322
29,median,0.45,0.8540959767329133,0.6642424242424242,0.6277205040091638,0.6454652532391049,0.8093480441322
30,median,0.5,0.8592375366568915,0.678477690288714,0.64625,0.6619718309859155,0.8093480441322
31,median,0.55,0.8637440758293838,0.6915351506456241,0.6629986244841816,0.6769662921348315,0.8093480441322
32,median,0.6,0.870376541152949,0.7083333333333334,0.6965098634294385,0.7023718439173681,0.8093480441322
33,median,0.65,0.8716679360243716,0.7133220910623946,0.7169491525423729,0.7151310228233305,0.8093480441322
34,median,0.7000000000000001,0.8769435806308308,0.7288135593220338,0.7442307692307693,0.736441484300666,0.8093480441322
35,median,0.75,0.8789978678038379,0.7399577167019028,0.7709251101321586,0.7551240560949298,0.8093480441322
36,median,0.8,0.8874083944037309,0.7580246913580246,0.8121693121693122,0.7841634738186463,0.8093480441322
37,median,0.85,0.8969804618117229,0.7801204819277109,0.8576158940397351,0.8170347003154574,0.8093480441322
38,median,0.9,0.9027962716378163,0.7922077922077922,0.8798076923076923,0.8337129840546698,0.8093480441322
39,median,0.9500000000000001,0.9042553191489362,0.7950819672131147,0.8981481481481481,0.8434782608695652,0.8093480441322
40,min,0.0,0.7854952672976936,0.5158428390367554,0.49065702230259195,0.5029348161878282,0.7484967384255253
41,min,0.05,0.7927308447937131,0.5196568977841315,0.4745430809399478,0.4960764244285227,0.7484967384255253
42,min,0.1,0.7908458006221301,0.5173688100517368,0.47978067169294036,0.49786628733997157,0.7484967384255253
43,min,0.15,0.7906210790464241,0.5151033386327504,0.471959213401311,0.4925883694412771,0.7484967384255253
44,min,0.2,0.7907015497417097,0.5148936170212766,0.4686289697908598,0.4906731549067315,0.7484967384255253
45,min,0.25,0.7927479559189478,0.5244690674053555,0.46595570139458575,0.4934839270199826,0.7484967384255253
46,min,0.3,0.7924204913349838,0.5237623762376238,0.4648506151142355,0.4925512104283054,0.7484967384255253
47,min,0.35000000000000003,0.7908121410992617,0.5216473072861668,0.4655984919886899,0.49203187250996017,0.7484967384255253
48,min,0.4,0.7920462119528994,0.5219907407407407,0.46303901437371664,0.49075081610446136,0.7484967384255253
49,min,0.45,0.790838584585555,0.5216316440049443,0.46993318485523383,0.4944346807264206,0.7484967384255253
50,min,0.5,0.7912556651559585,0.5251017639077341,0.4719512195121951,0.49710982658959535,0.7484967384255253
51,min,0.55,0.7908767772511849,0.5299401197604791,0.4745308310991957,0.5007072135785007,0.7484967384255253
52,min,0.6,0.789403532155948,0.5238095238095238,0.4666666666666667,0.4935897435897436,0.7484967384255253
53,min,0.65,0.7871287128712872,0.515748031496063,0.45565217391304347,0.4838411819021237,0.7484967384255253
54,min,0.7000000000000001,0.7894269213682807,0.5233644859813084,0.4534412955465587,0.48590021691973967,0.7484967384255253
55,min,0.75,0.7857142857142857,0.5191256830601093,0.4567307692307692,0.4859335038363171,0.7484967384255253
56,min,0.8,0.7801465689540307,0.4948453608247423,0.44036697247706424,0.46601941747572817,0.7484967384255253
57,min,0.85,0.7788632326820604,0.48148148148148145,0.4315352697095436,0.4551422319474836,0.7484967384255253
58,min,0.9,0.7762982689747004,0.46808510638297873,0.41509433962264153,0.44,0.7484967384255253
59,min,0.9500000000000001,0.7686170212765957,0.39705882352941174,0.3698630136986301,0.3829787234042553,0.7484967384255253
60,max,0.0,0.7854952672976936,0.5158428390367554,0.49065702230259195,0.5029348161878282,0.7718360199624718
61,max,0.05,0.78529329216952,0.520158625247852,0.49465744814582024,0.5070876288659794,0.7718360199624718
