,Rejection Rate,BM Selection Threshold,Method,Accuracy,Precision,Recall,F1-Score,AU-ARC
0,0.0,0.0,avg,0.9951466265636749,0.9951507209114709,0.9951469068731753,0.9951464581948991,0.8998166868910492
1,0.0,0.25,avg,0.9982227083190922,0.998223086032599,0.9982227783700992,0.9982226496169201,0.8998166868910492
2,0.0,0.5,avg,0.9983594230637775,0.9983602018049719,0.9983594837699624,0.9983594318357724,0.8998166868910492
3,0.0,0.75,avg,0.9982910656914348,0.9982914381913758,0.9982911310700309,0.9982909507498856,0.8998166868910492
4,0.1,0.0,avg,0.999848105111263,0.9998409886485721,0.9998487939194928,0.9998448249166283,0.8998166868910492
5,0.1,0.25,avg,0.999848105111263,0.9998409886485721,0.9998487939194928,0.9998448249166283,0.8998166868910492
6,0.1,0.5,avg,0.999848105111263,0.9998409886485721,0.9998487939194928,0.9998448249166283,0.8998166868910492
7,0.1,0.75,avg,0.999848105111263,0.9998409886485721,0.9998487939194928,0.9998448249166283,0.8998166868910492
8,0.2,0.0,avg,0.9999145591250854,0.9998902064119455,0.9999194068343005,0.9999047555829731,0.8998166868910492
9,0.2,0.25,avg,0.9999145591250854,0.9998902064119455,0.9999194068343005,0.9999047555829731,0.8998166868910492
10,0.2,0.5,avg,0.9999145591250854,0.9998902064119455,0.9999194068343005,0.9999047555829731,0.8998166868910492
11,0.2,0.75,avg,0.9999145591250854,0.9998902064119455,0.9999194068343005,0.9999047555829731,0.8998166868910492
12,0.3,0.0,avg,0.9999023532858119,0.9998563837426396,0.9998881806999887,0.9998721910500566,0.8998166868910492
13,0.3,0.25,avg,0.9999023532858119,0.9998563837426396,0.9998881806999887,0.9998721910500566,0.8998166868910492
14,0.3,0.5,avg,0.9999023532858119,0.9998563837426396,0.9998881806999887,0.9998721910500566,0.8998166868910492
15,0.3,0.75,avg,0.9999023532858119,0.9998563837426396,0.9998881806999887,0.9998721910500566,0.8998166868910492
16,0.4,0.0,avg,0.9998860788334473,0.9997924449979244,0.9996462681287585,0.9997188931925775,0.8998166868910492
17,0.4,0.25,avg,0.9998860788334473,0.9997924449979244,0.9996462681287585,0.9997188931925775,0.8998166868910492
18,0.4,0.5,avg,0.9998860788334473,0.9997924449979244,0.9996462681287585,0.9997188931925775,0.8998166868910492
19,0.4,0.75,avg,0.9998860788334473,0.9997924449979244,0.9996462681287585,0.9997188931925775,0.8998166868910492
20,0.5,0.0,avg,0.9998632946001367,0.9996462681287585,0.9986225895316804,0.99912882677045,0.8998166868910492
21,0.5,0.25,avg,0.9998632946001367,0.9996462681287585,0.9986225895316804,0.99912882677045,0.8998166868910492
22,0.5,0.5,avg,0.9998632946001367,0.9996462681287585,0.9986225895316804,0.99912882677045,0.8998166868910492
23,0.5,0.75,avg,0.9998632946001367,0.9996462681287585,0.9986225895316804,0.99912882677045,0.8998166868910492
24,0.6,0.0,avg,1.0,1.0,1.0,1.0,0.8998166868910492
25,0.6,0.25,avg,1.0,1.0,1.0,1.0,0.8998166868910492
26,0.6,0.5,avg,1.0,1.0,1.0,1.0,0.8998166868910492
27,0.6,0.75,avg,1.0,1.0,1.0,1.0,0.8998166868910492
28,0.7000000000000001,0.0,avg,1.0,1.0,1.0,1.0,0.8998166868910492
29,0.7000000000000001,0.25,avg,1.0,1.0,1.0,1.0,0.8998166868910492
30,0.7000000000000001,0.5,avg,1.0,1.0,1.0,1.0,0.8998166868910492
31,0.7000000000000001,0.75,avg,1.0,1.0,1.0,1.0,0.8998166868910492
32,0.8,0.0,avg,1.0,1.0,1.0,1.0,0.8998166868910492
33,0.8,0.25,avg,1.0,1.0,1.0,1.0,0.8998166868910492
34,0.8,0.5,avg,1.0,1.0,1.0,1.0,0.8998166868910492
35,0.8,0.75,avg,1.0,1.0,1.0,1.0,0.8998166868910492
36,0.9,0.0,avg,1.0,1.0,1.0,1.0,0.8998166868910492
37,0.9,0.25,avg,1.0,1.0,1.0,1.0,0.8998166868910492
38,0.9,0.5,avg,1.0,1.0,1.0,1.0,0.8998166868910492
