,Method,Rejection Rate,Selection Threshold,Accuracy,Precision,Recall,F1-Score,AU-ARC
0,avg,0.0,0.0,0.9952149839360175,0.9952199206255553,0.9952152595731067,0.9952149085653836,0.8998149779567407
1,avg,0.0,0.25,0.9981543509467496,0.9981548858491451,0.9981544256701678,0.9981541936572967,0.8998149779567407
2,avg,0.0,0.5,0.9983594230637775,0.9983597914324623,0.9983594837699624,0.9983593806746495,0.8998149779567407
3,avg,0.0,0.75,0.9981543509467496,0.9981548350369537,0.9981544256701674,0.9981542709402874,0.8998149779567407
4,avg,0.1,0.0,0.999848105111263,0.9998406774154076,0.999849022131815,0.9998447833676196,0.8998149779567407
5,avg,0.1,0.25,0.999848105111263,0.9998406774154076,0.999849022131815,0.9998447833676196,0.8998149779567407
6,avg,0.1,0.5,0.999848105111263,0.9998406774154076,0.999849022131815,0.9998447833676196,0.8998149779567407
7,avg,0.1,0.75,0.999848105111263,0.9998406774154076,0.999849022131815,0.9998447833676196,0.8998149779567407
8,avg,0.2,0.0,0.9999145591250854,0.9998896734333628,0.9999189758548048,0.9999042730893369,0.8998149779567407
9,avg,0.2,0.25,0.9999145591250854,0.9998896734333628,0.9999189758548048,0.9999042730893369,0.8998149779567407
10,avg,0.2,0.5,0.9999145591250854,0.9998896734333628,0.9999189758548048,0.9999042730893369,0.8998149779567407
11,avg,0.2,0.75,0.9999145591250854,0.9998896734333628,0.9999189758548048,0.9999042730893369,0.8998149779567407
12,avg,0.3,0.0,0.9999023532858119,0.9998575092618981,0.9998862214131301,0.9998717738361923,0.8998149779567407
13,avg,0.3,0.25,0.9999023532858119,0.9998575092618981,0.9998862214131301,0.9998717738361923,0.8998149779567407
14,avg,0.3,0.5,0.9999023532858119,0.9998575092618981,0.9998862214131301,0.9998717738361923,0.8998149779567407
15,avg,0.3,0.75,0.9999023532858119,0.9998575092618981,0.9998862214131301,0.9998717738361923,0.8998149779567407
16,avg,0.4,0.0,0.9998860788334473,0.9997933884297521,0.9996682149966822,0.9997303809097584,0.8998149779567407
17,avg,0.4,0.25,0.9998860788334473,0.9997933884297521,0.9996682149966822,0.9997303809097584,0.8998149779567407
18,avg,0.4,0.5,0.9998860788334473,0.9997933884297521,0.9996682149966822,0.9997303809097584,0.8998149779567407
19,avg,0.4,0.75,0.9998860788334473,0.9997933884297521,0.9996682149966822,0.9997303809097584,0.8998149779567407
20,avg,0.5,0.0,0.9998632946001367,0.9996462681287585,0.9988344988344988,0.999236279032544,0.8998149779567407
21,avg,0.5,0.25,0.9998632946001367,0.9996462681287585,0.9988344988344988,0.999236279032544,0.8998149779567407
22,avg,0.5,0.5,0.9998632946001367,0.9996462681287585,0.9988344988344988,0.999236279032544,0.8998149779567407
23,avg,0.5,0.75,0.9998632946001367,0.9996462681287585,0.9988344988344988,0.999236279032544,0.8998149779567407
24,avg,0.6,0.0,1.0,1.0,1.0,1.0,0.8998149779567407
25,avg,0.6,0.25,1.0,1.0,1.0,1.0,0.8998149779567407
26,avg,0.6,0.5,1.0,1.0,1.0,1.0,0.8998149779567407
27,avg,0.6,0.75,1.0,1.0,1.0,1.0,0.8998149779567407
28,avg,0.7000000000000001,0.0,1.0,1.0,1.0,1.0,0.8998149779567407
29,avg,0.7000000000000001,0.25,1.0,1.0,1.0,1.0,0.8998149779567407
30,avg,0.7000000000000001,0.5,1.0,1.0,1.0,1.0,0.8998149779567407
31,avg,0.7000000000000001,0.75,1.0,1.0,1.0,1.0,0.8998149779567407
32,avg,0.8,0.0,1.0,1.0,1.0,1.0,0.8998149779567407
33,avg,0.8,0.25,1.0,1.0,1.0,1.0,0.8998149779567407
34,avg,0.8,0.5,1.0,1.0,1.0,1.0,0.8998149779567407
35,avg,0.8,0.75,1.0,1.0,1.0,1.0,0.8998149779567407
36,avg,0.9,0.0,1.0,1.0,1.0,1.0,0.8998149779567407
37,avg,0.9,0.25,1.0,1.0,1.0,1.0,0.8998149779567407
38,avg,0.9,0.5,1.0,1.0,1.0,1.0,0.8998149779567407
39,avg,0.9,0.75,1.0,1.0,1.0,1.0,0.8998149779567407
40,median,0.0,0.0,0.9952149839360175,0.9952199206255553,0.9952152595731067,0.9952149085653836,0.8998735388611662
