,Method,Rejection Rate,Accuracy,Precision,Recall,F1-Score,AU-ARC
0,avg,0.0,0.9982910656914348,0.9982915410554292,0.9982911310700309,0.9982910535746434,0.9498781427741882
1,avg,0.05,0.9997121888041445,0.9997129621975237,0.9997134902846035,0.9997131420627976,0.9498781427741882
2,avg,0.1,0.9997721576668945,0.9997701955271626,0.9997779070382958,0.9997739573118524,0.9498781427741882
3,avg,0.15,0.9998391636509851,0.999825767955539,0.9998425846684689,0.9998340998987975,0.9498781427741882
4,avg,0.2,0.9999145591250854,0.9998916458987973,0.9999189758548048,0.9999052605093103,0.9498781427741882
5,avg,0.25,0.9999088589135983,0.9998792707956053,0.9999120801828731,0.9998956141123759,0.9498781427741882
6,avg,0.3,0.9999023532858119,0.9998588368153585,0.9998876278233509,0.9998731427302855,0.9498781427741882
7,avg,0.35000000000000003,0.999894836470712,0.9998278236914601,0.9998106060606061,0.9998190345303501,0.9498781427741882
8,avg,0.4,0.9998860788334473,0.9997957099080694,0.9996776273372018,0.9997362674248312,0.9498781427741882
9,avg,0.45,0.9998757146408153,0.9997349589186324,0.9994096812278631,0.9995711651813793,0.9498781427741882
10,avg,0.5,0.9998632946001367,0.9996420901932713,0.9988913525498891,0.9992629676442796,0.9498781427741882
11,avg,0.55,0.9998481166464156,0.9995112414467253,0.9978354978354979,0.9986596717671962,0.9498781427741882
12,avg,0.6,1.0,1.0,1.0,1.0,0.9498781427741882
13,avg,0.65,1.0,1.0,1.0,1.0,0.9498781427741882
14,avg,0.7000000000000001,1.0,1.0,1.0,1.0,0.9498781427741882
15,avg,0.75,1.0,1.0,1.0,1.0,0.9498781427741882
16,avg,0.8,1.0,1.0,1.0,1.0,0.9498781427741882
17,avg,0.85,1.0,1.0,1.0,1.0,0.9498781427741882
18,avg,0.9,1.0,1.0,1.0,1.0,0.9498781427741882
19,avg,0.9500000000000001,1.0,1.0,1.0,1.0,0.9498781427741882
20,median,0.0,0.9982910656914348,0.9982915410554292,0.9982911310700309,0.9982910535746434,0.9499536790023377
21,median,0.05,0.9999280472010361,0.999925606308585,0.9999299621795769,0.9999277555234294,0.9499536790023377
22,median,0.1,1.0,1.0,1.0,1.0,0.9499536790023377
23,median,0.15,1.0,1.0,1.0,1.0,0.9499536790023377
24,median,0.2,1.0,1.0,1.0,1.0,0.9499536790023377
25,median,0.25,1.0,1.0,1.0,1.0,0.9499536790023377
26,median,0.3,1.0,1.0,1.0,1.0,0.9499536790023377
27,median,0.35000000000000003,1.0,1.0,1.0,1.0,0.9499536790023377
28,median,0.4,1.0,1.0,1.0,1.0,0.9499536790023377
29,median,0.45,1.0,1.0,1.0,1.0,0.9499536790023377
30,median,0.5,1.0,1.0,1.0,1.0,0.9499536790023377
31,median,0.55,1.0,1.0,1.0,1.0,0.9499536790023377
32,median,0.6,1.0,1.0,1.0,1.0,0.9499536790023377
33,median,0.65,1.0,1.0,1.0,1.0,0.9499536790023377
34,median,0.7000000000000001,1.0,1.0,1.0,1.0,0.9499536790023377
35,median,0.75,1.0,1.0,1.0,1.0,0.9499536790023377
36,median,0.8,1.0,1.0,1.0,1.0,0.9499536790023377
37,median,0.85,1.0,1.0,1.0,1.0,0.9499536790023377
38,median,0.9,1.0,1.0,1.0,1.0,0.9499536790023377
39,median,0.9500000000000001,1.0,1.0,1.0,1.0,0.9499536790023377
40,min,0.0,0.9982910656914348,0.9982915410554292,0.9982911310700309,0.9982910535746434,0.9495152538112488
41,min,0.05,0.9983450856238307,0.9983372131154241,0.9983162242272926,0.9983263392795916,0.9495152538112488
42,min,0.1,0.9984810511126301,0.9984729333697053,0.9984174903663462,0.9984448377773165,0.9495152538112488
43,min,0.15,0.9985524728588661,0.9985380272016543,0.9984288537582603,0.9984829632300031,0.9495152538112488
