,Method,Rejection Rate,Rejection Threshold,Accuracy,Precision,Recall,F1-Score,AU-ARC
0,avg,0.0,0.0,0.9537904162963976,0.9609804612812908,0.9537916718741241,0.9554507870069205,0.8977174219949574
1,avg,0.0,0.25,0.9951466265636749,0.9951501536816116,0.9951469068731753,0.9951462274204068,0.8977174219949574
2,avg,0.0,0.5,0.9950099118189897,0.9950142580774078,0.9950102014733119,0.9950094924382769,0.8977174219949574
3,avg,0.0,0.75,0.9950099118189897,0.9950154799106762,0.9950102014733119,0.9950098500615536,0.8977174219949574
4,avg,0.1,0.0,0.9770638718007139,0.9794393482194117,0.9759643857392303,0.9771354256498278,0.8977174219949574
5,avg,0.1,0.25,0.9985569985569985,0.9984972546067616,0.9984722123498417,0.9984844506220623,0.8977174219949574
6,avg,0.1,0.5,0.9985569985569985,0.9984929173159731,0.9984775066520926,0.9984845129676727,0.8977174219949574
7,avg,0.1,0.75,0.9985569985569985,0.9984929173159731,0.9984775066520926,0.9984845129676727,0.8977174219949574
8,avg,0.2,0.0,0.9868421052631579,0.9872465100619167,0.9855929023699239,0.9862550880806491,0.8977174219949574
9,avg,0.2,0.25,0.9997436773752563,0.9997439803357381,0.9996852465310074,0.9997143650638317,0.8977174219949574
10,avg,0.2,0.5,0.9997436773752563,0.9997439803357381,0.9996852465310074,0.9997143650638317,0.8977174219949574
11,avg,0.2,0.75,0.9997436773752563,0.9997439803357381,0.9996852465310074,0.9997143650638317,0.8977174219949574
12,avg,0.3,0.0,0.9923835562933307,0.9916431060627072,0.9912682977213609,0.9914088885625808,0.8977174219949574
13,avg,0.3,0.25,1.0,1.0,1.0,1.0,0.8977174219949574
14,avg,0.3,0.5,1.0,1.0,1.0,1.0,0.8977174219949574
15,avg,0.3,0.75,1.0,1.0,1.0,1.0,0.8977174219949574
16,avg,0.4,0.0,0.9954431533378901,0.9937791299922231,0.9943234856429068,0.9940304667689209,0.8977174219949574
17,avg,0.4,0.25,1.0,1.0,1.0,1.0,0.8977174219949574
18,avg,0.4,0.5,1.0,1.0,1.0,1.0,0.8977174219949574
19,avg,0.4,0.75,1.0,1.0,1.0,1.0,0.8977174219949574
20,avg,0.5,0.0,0.9975393028024607,0.9958027563642537,0.9962446311437869,0.9960089258058012,0.8977174219949574
21,avg,0.5,0.25,1.0,1.0,1.0,1.0,0.8977174219949574
22,avg,0.5,0.5,1.0,1.0,1.0,1.0,0.8977174219949574
23,avg,0.5,0.75,1.0,1.0,1.0,1.0,0.8977174219949574
24,avg,0.6,0.0,0.9977785372522214,0.9952872394264911,0.9958100862856274,0.9955287676498048,0.8977174219949574
25,avg,0.6,0.25,1.0,1.0,1.0,1.0,0.8977174219949574
26,avg,0.6,0.5,1.0,1.0,1.0,1.0,0.8977174219949574
27,avg,0.6,0.75,1.0,1.0,1.0,1.0,0.8977174219949574
28,avg,0.7000000000000001,0.0,0.9986329460013671,0.9911518776789713,0.9965529778635456,0.9936741355172777,0.8977174219949574
29,avg,0.7000000000000001,0.25,1.0,1.0,1.0,1.0,0.8977174219949574
30,avg,0.7000000000000001,0.5,1.0,1.0,1.0,1.0,0.8977174219949574
31,avg,0.7000000000000001,0.75,1.0,1.0,1.0,1.0,0.8977174219949574
32,avg,0.8,0.0,0.9989747095010253,0.9842171717171717,0.9932281473527426,0.9879202017924217,0.8977174219949574
33,avg,0.8,0.25,1.0,1.0,1.0,1.0,0.8977174219949574
34,avg,0.8,0.5,1.0,1.0,1.0,1.0,0.8977174219949574
35,avg,0.8,0.75,1.0,1.0,1.0,1.0,0.8977174219949574
36,avg,0.9,0.0,0.9993164730006835,0.9800000000000001,0.95,0.9555555555555555,0.8977174219949574
37,avg,0.9,0.25,1.0,1.0,1.0,1.0,0.8977174219949574
38,avg,0.9,0.5,1.0,1.0,1.0,1.0,0.8977174219949574
39,avg,0.9,0.75,1.0,1.0,1.0,1.0,0.8977174219949574
40,median,0.0,0.0,0.9537904162963976,0.9609804612812908,0.9537916718741241,0.9554507870069205,0.8978353371833614
41,median,0.0,0.25,0.9951466265636749,0.9951501536816116,0.9951469068731753,0.9951462274204068,0.8978353371833614
42,median,0.0,0.5,0.9950099118189897,0.9950142580774078,0.9950102014733119,0.9950094924382769,0.8978353371833614
43,median,0.0,0.75,0.9950099118189897,0.9950154799106762,0.9950102014733119,0.9950098500615536,0.8978353371833614
44,median,0.1,0.0,0.9788106630211894,0.9807730557493827,0.9778802417802107,0.9788494472700002,0.8978353371833614
45,median,0.1,0.25,0.998936735778841,0.9988747071807192,0.99885894665484,0.9988667198531044,0.8978353371833614
46,median,0.1,0.5,0.9990126832232096,0.9989537371372688,0.9989432779080023,0.9989483250472655,0.8978353371833614
47,median,0.1,0.75,0.9990126832232096,0.9989537371372688,0.9989432779080023,0.9989483250472655,0.8978353371833614
48,median,0.2,0.0,0.9875256322624744,0.9878937945796559,0.986515137866293,0.9870566998556659,0.8978353371833614
49,median,0.2,0.25,0.9996582365003418,0.999628213510515,0.9996047164520891,0.9996162482780325,0.8978353371833614
50,median,0.2,0.5,0.9996582365003418,0.999628213510515,0.9996047164520891,0.9996162482780325,0.8978353371833614
51,median,0.2,0.75,0.9996582365003418,0.999628213510515,0.9996047164520891,0.9996162482780325,0.8978353371833614
52,median,0.3,0.0,0.9934576701493995,0.9930860425944044,0.9924580795452407,0.9927271113898984,0.8978353371833614
53,median,0.3,0.25,0.9998047065716239,0.999766469705376,0.9997745164809604,0.9997704123935134,0.8978353371833614
54,median,0.3,0.5,0.9998047065716239,0.999766469705376,0.9997745164809604,0.9997704123935134,0.8978353371833614
55,median,0.3,0.75,0.9998047065716239,0.999766469705376,0.9997745164809604,0.9997704123935134,0.8978353371833614
56,median,0.4,0.0,0.9954431533378901,0.9945751738917891,0.9941342944694797,0.9943326947955495,0.8978353371833614
57,median,0.4,0.25,0.9998860788334473,0.9998670919723551,0.999847723465814,0.9998572952852091,0.8978353371833614
58,median,0.4,0.5,0.9998860788334473,0.9998670919723551,0.999847723465814,0.9998572952852091,0.8978353371833614
59,median,0.4,0.75,0.9998860788334473,0.9998670919723551,0.999847723465814,0.9998572952852091,0.8978353371833614
60,median,0.5,0.0,0.9974025974025974,0.9958041416783678,0.9967638697616361,0.9962635997161834,0.8978353371833614
61,median,0.5,0.25,0.9998632946001367,0.9998231340643792,0.9998044965786902,0.9998136239909755,0.8978353371833614
62,median,0.5,0.5,0.9998632946001367,0.9998231340643792,0.9998044965786902,0.9998136239909755,0.8978353371833614
63,median,0.5,0.75,0.9998632946001367,0.9998231340643792,0.9998044965786902,0.9998136239909755,0.8978353371833614
64,median,0.6,0.0,0.9979494190020506,0.9956510298898528,0.9969046278959804,0.9962468594501267,0.8978353371833614
65,median,0.6,0.25,1.0,1.0,1.0,1.0,0.8978353371833614
66,median,0.6,0.5,1.0,1.0,1.0,1.0,0.8978353371833614
67,median,0.6,0.75,1.0,1.0,1.0,1.0,0.8978353371833614
68,median,0.7000000000000001,0.0,0.999088630667578,0.995698889016272,0.9982133976494226,0.9969249160758943,0.8978353371833614
