,Method,Rejection Rate,Accuracy,Precision,Recall,F1-Score,AU-ARC
0,avg,0.0,0.9949415544466471,0.9949445293732986,0.9949418487733802,0.9949410149488821,0.9496361008542663
1,avg,0.05,0.9978414160310836,0.99780923958255,0.9978066919534595,0.9978068657126269,0.9496361008542663
2,avg,0.1,0.9984810511126301,0.9984154068947714,0.9983952359815866,0.998404865307597,0.9496361008542663
3,avg,0.15,0.9992762364294331,0.9992344837358105,0.9991921922317171,0.9992131289205968,0.9496361008542663
4,avg,0.2,0.9997436773752563,0.9997439803357381,0.9996852465310074,0.9997143650638317,0.9496361008542663
5,avg,0.25,0.9999088589135983,0.9999031852066995,0.9998916458987973,0.9998973574570457,0.9496361008542663
6,avg,0.3,1.0,1.0,1.0,1.0,0.9496361008542663
7,avg,0.35000000000000003,1.0,1.0,1.0,1.0,0.9496361008542663
8,avg,0.4,1.0,1.0,1.0,1.0,0.9496361008542663
9,avg,0.45,1.0,1.0,1.0,1.0,0.9496361008542663
10,avg,0.5,1.0,1.0,1.0,1.0,0.9496361008542663
11,avg,0.55,1.0,1.0,1.0,1.0,0.9496361008542663
12,avg,0.6,1.0,1.0,1.0,1.0,0.9496361008542663
13,avg,0.65,1.0,1.0,1.0,1.0,0.9496361008542663
14,avg,0.7000000000000001,1.0,1.0,1.0,1.0,0.9496361008542663
15,avg,0.75,1.0,1.0,1.0,1.0,0.9496361008542663
16,avg,0.8,1.0,1.0,1.0,1.0,0.9496361008542663
17,avg,0.85,1.0,1.0,1.0,1.0,0.9496361008542663
18,avg,0.9,1.0,1.0,1.0,1.0,0.9496361008542663
19,avg,0.9500000000000001,1.0,1.0,1.0,1.0,0.9496361008542663
20,median,0.0,0.9949415544466471,0.9949445293732986,0.9949418487733802,0.9949410149488821,0.9495909226081284
21,median,0.05,0.9976975104331558,0.9976385311380138,0.9976383680134391,0.9976373441610284,0.9495909226081284
22,median,0.1,0.9988607883344726,0.9987905793503056,0.9987800325134258,0.9987851235437479,0.9495909226081284
23,median,0.15,0.9992762364294331,0.9992166330345409,0.999198805971145,0.9992075928781836,0.9495909226081284
24,median,0.2,0.9996582365003418,0.999628213510515,0.9996047164520891,0.9996162482780325,0.9495909226081284
25,median,0.25,0.999635435654393,0.999595541197431,0.9995582313878522,0.9995766179561745,0.9495909226081284
26,median,0.3,0.9998047065716239,0.999766469705376,0.9997745164809604,0.9997704123935134,0.9495909226081284
27,median,0.35000000000000003,0.999789672941424,0.9997382059929886,0.9997487532029204,0.9997433758094558,0.9495909226081284
28,median,0.4,0.9998860788334473,0.9998670919723551,0.999847723465814,0.9998572952852091,0.9495909226081284
29,median,0.45,0.9998757146408153,0.999846696305381,0.9998251748251747,0.9998357867487143,0.9495909226081284
30,median,0.5,0.9998632946001367,0.9998231340643792,0.9998044965786902,0.9998136239909755,0.9495909226081284
31,median,0.55,1.0,1.0,1.0,1.0,0.9495909226081284
32,median,0.6,1.0,1.0,1.0,1.0,0.9495909226081284
33,median,0.65,1.0,1.0,1.0,1.0,0.9495909226081284
34,median,0.7000000000000001,1.0,1.0,1.0,1.0,0.9495909226081284
35,median,0.75,1.0,1.0,1.0,1.0,0.9495909226081284
36,median,0.8,1.0,1.0,1.0,1.0,0.9495909226081284
37,median,0.85,1.0,1.0,1.0,1.0,0.9495909226081284
38,median,0.9,1.0,1.0,1.0,1.0,0.9495909226081284
39,median,0.9500000000000001,1.0,1.0,1.0,1.0,0.9495909226081284
40,min,0.0,0.9949415544466471,0.9949445293732986,0.9949418487733802,0.9949410149488821,0.9459449397797124
41,min,0.05,0.9956108792632034,0.9955944783642307,0.9955781505613253,0.9955841939791177,0.9459449397797124
42,min,0.1,0.9955191007822587,0.9954983823724978,0.9954772892275792,0.9954855142416114,0.9459449397797124
43,min,0.15,0.9955770004020909,0.9955518308150896,0.9955366105614251,0.9955425993151288,0.9459449397797124
44,min,0.2,0.9956425153793574,0.9956148614442221,0.9956020211719288,0.9956057807442189,0.9459449397797124
45,min,0.25,0.9954429456799125,0.9954126835403507,0.9954003121943692,0.995402935052629,0.9459449397797124
46,min,0.3,0.9954106044331609,0.9953849659640657,0.9953920347015554,0.9953852773682854,0.9459449397797124
47,min,0.35000000000000003,0.995267641182038,0.9952465237453105,0.9952495734300186,0.9952444702426444,0.9459449397797124
48,min,0.4,0.9953292321713374,0.995297286687067,0.9953109363909078,0.9953004253291001,0.9459449397797124
49,min,0.45,0.9951528709917972,0.9951257168947063,0.9951343665126796,0.9951268821059663,0.9459449397797124
50,min,0.5,0.995352016404648,0.9953187571096297,0.9953144278903941,0.9953150539181356,0.9459449397797124
51,min,0.55,0.9949878493317132,0.9949362568492905,0.9949347530041933,0.9949337267272486,0.9459449397797124
52,min,0.6,0.9953861927546138,0.9953471547513216,0.9953405667499148,0.9953419614605363,0.9459449397797124
53,min,0.65,0.9957039640695177,0.9956639672111041,0.9956424248687742,0.9956513162416276,0.9459449397797124
54,min,0.7000000000000001,0.9956709956709957,0.9956420286346515,0.9955700740408603,0.9956040453439058,0.9459449397797124
55,min,0.75,0.9956260251503554,0.9956617752762927,0.9955491923267107,0.9956016095057177,0.9459449397797124
56,min,0.8,0.9958988380041012,0.9959751352119258,0.995860237066881,0.9959103615063513,0.9459449397797124
57,min,0.85,0.9972665148063782,0.9973070498836635,0.9971910843445649,0.9972417604951036,0.9459449397797124
58,min,0.9,0.9972658920027341,0.9972695932107327,0.9972917891677391,0.9972695044434197,0.9459449397797124
59,min,0.9500000000000001,0.9986338797814208,0.9986013986013986,0.9988913525498891,0.998737553880941,0.9459449397797124
60,max,0.0,0.9949415544466471,0.9949445293732986,0.9949418487733802,0.9949410149488821,0.9462160809783422
61,max,0.05,0.995826737660095,0.9957563535027302,0.9957580684713814,0.9957552183611281,0.9462160809783422
62,max,0.1,0.9955950482266271,0.9957381669119435,0.9957377114704332,0.9957359326814661,0.9462160809783422
63,max,0.15,0.9953357458785685,0.9956925549733718,0.9956981270021784,0.9956933095433825,0.9462160809783422
64,max,0.2,0.995557074504443,0.9955457226499725,0.9953558664255716,0.9954481748746548,0.9462160809783422
65,max,0.25,0.9957163689391177,0.9947032858335983,0.9934912697731348,0.9940884549979819,0.9462160809783422
66,max,0.3,0.995605897861537,0.9946724972339741,0.9930842445350184,0.9938666537533709,0.9462160809783422
67,max,0.35000000000000003,0.9960037858870544,0.9935503334250768,0.9925951551336059,0.9930664288134655,0.9462160809783422
68,max,0.4,0.9966962861699704,0.9069877451161481,0.9023882657442545,0.9046355478789603,0.9462160809783422
69,max,0.45,0.9966442953020134,0.906966841266495,0.9023555647103034,0.9046082409562488,0.9462160809783422
70,max,0.5,0.9969924812030075,0.9072564224904692,0.9026210254783655,0.9048858065056872,0.9462160809783422
71,max,0.55,0.9971142162818954,0.9075667377373637,0.9023243558556643,0.904889526612148,0.9462160809783422
72,max,0.6,0.9967532467532467,0.8982361865758393,0.8923082712592955,0.8952089974961268,0.9462160809783422
73,max,0.65,0.9966803358719,0.898424774427016,0.8923631664573952,0.8953296687981587,0.9462160809783422
74,max,0.7000000000000001,0.9961266803372066,0.8982988271808401,0.8754729860311803,0.8857544324931135,0.9462160809783422
75,max,0.75,0.9953526517222526,0.8982435905670704,0.8749931502826506,0.8854823054391139,0.9462160809783422
76,max,0.8,0.9948735475051265,0.8985699968899242,0.875929640975625,0.8861025681121827,0.9462160809783422
77,max,0.85,0.9954441913439636,0.9970940827014406,0.9933757334899412,0.9951703616224311,0.9462160809783422
78,max,0.9,0.9952153110047847,0.9950375808229791,0.9890763745836894,0.991943609566155,0.9462160809783422
79,max,0.9500000000000001,0.9986338797814208,0.75,0.7496323529411765,0.7498160412067697,0.9462160809783422
