,Method,Rejection Rate,Accuracy,Precision,Recall,F1-Score,AU-ARC
0,avg,0.0,0.7189292543021033,0.7287769784172662,0.6673254281949934,0.6966987620357634,0.7721308864326686
1,avg,0.05,0.7313883299798792,0.740909090909091,0.6805845511482255,0.7094668117519043,0.7721308864326686
2,avg,0.1,0.7391150442477876,0.7498001598721024,0.6886930983847284,0.717948717948718,0.7721308864326686
3,avg,0.15,0.7462518740629686,0.7590870667793744,0.6961240310077519,0.7262434290335624,0.7721308864326686
4,avg,0.2,0.7594583831142971,0.7686170212765957,0.7165289256198347,0.7416595380667237,0.7721308864326686
5,avg,0.25,0.7727272727272727,0.7745454545454545,0.7480245829675154,0.7610540419830282,0.7721308864326686
6,avg,0.3,0.7892580791989076,0.775830258302583,0.7926484448633365,0.7841491841491841,0.7721308864326686
7,avg,0.35000000000000003,0.7990196078431373,0.7850834151128557,0.8072653884964682,0.7960199004975125,0.7721308864326686
8,avg,0.4,0.8061603823685608,0.7906735751295336,0.8239740820734341,0.8069804336329984,0.7721308864326686
9,avg,0.45,0.8215527230590962,0.804661487236404,0.8459743290548425,0.8248009101251422,0.7721308864326686
10,avg,0.5,0.8298279158699808,0.8137603795966786,0.8618090452261307,0.8370957901159244,0.7721308864326686
11,avg,0.55,0.8308563340410474,0.8204134366925064,0.8639455782312925,0.8416169648774022,0.7721308864326686
12,avg,0.6,0.8423566878980892,0.8268698060941828,0.891044776119403,0.8577586206896551,0.7721308864326686
13,avg,0.65,0.8471337579617835,0.8343465045592705,0.9029605263157895,0.8672985781990521,0.7721308864326686
14,avg,0.7000000000000001,0.8535031847133758,0.8421052631578947,0.9168207024029574,0.8778761061946903,0.7721308864326686
15,avg,0.75,0.8598726114649682,0.848605577689243,0.9260869565217391,0.8856548856548857,0.7721308864326686
16,avg,0.8,0.8614649681528662,0.8523809523809524,0.9347258485639687,0.8916562889165629,0.7721308864326686
17,avg,0.85,0.8747346072186837,0.8700906344410876,0.9473684210526315,0.9070866141732283,0.7721308864326686
18,avg,0.9,0.8789808917197452,0.8854625550660793,0.9436619718309859,0.9136363636363637,0.7721308864326686
19,avg,0.9500000000000001,0.8789808917197452,0.8861788617886179,0.956140350877193,0.919831223628692,0.7721308864326686
20,median,0.0,0.7189292543021033,0.7287769784172662,0.6673254281949934,0.6966987620357634,0.7719520467820981
21,median,0.05,0.7317236753856472,0.745398773006135,0.675,0.7084548104956269,0.7719520467820981
22,median,0.1,0.7376991150442478,0.7506092607636068,0.6804123711340206,0.7137891077636153,0.7719520467820981
23,median,0.15,0.75,0.7506092607636068,0.719626168224299,0.7347912524850895,0.7719520467820981
24,median,0.2,0.7634408602150538,0.7664670658682635,0.7362366474938373,0.7510477787091366,0.7719520467820981
25,median,0.25,0.7727272727272727,0.7700631199278629,0.7530864197530864,0.7614801604993312,0.7719520467820981
26,median,0.3,0.7851615839781521,0.7845410628019324,0.765315739868049,0.7748091603053435,0.7719520467820981
27,median,0.35000000000000003,0.7975490196078432,0.7934224049331963,0.7845528455284553,0.7889626980071538,0.7719520467820981
28,median,0.4,0.8093467870419543,0.8002195389681669,0.804635761589404,0.802421574023115,0.7719520467820981
29,median,0.45,0.8174971031286211,0.8058139534883721,0.8240190249702735,0.8148148148148148,0.7719520467820981
30,median,0.5,0.8311026131293817,0.8193069306930693,0.8476312419974392,0.8332284455632474,0.7719520467820981
31,median,0.55,0.8329794762915782,0.8262032085561497,0.8535911602209945,0.8396739130434783,0.7719520467820981
32,median,0.6,0.8407643312101911,0.8313782991202346,0.8696319018404908,0.8500749625187406,0.7719520467820981
33,median,0.65,0.8507734303912647,0.8365695792880259,0.8913793103448275,0.8631051752921536,0.7719520467820981
34,median,0.7000000000000001,0.8535031847133758,0.8411552346570397,0.9031007751937985,0.8710280373831776,0.7719520467820981
35,median,0.75,0.8585987261146497,0.8592750533049041,0.8995535714285714,0.8789531079607416,0.7719520467820981
36,median,0.8,0.8630573248407644,0.8603491271820449,0.92,0.8891752577319587,0.7719520467820981
37,median,0.85,0.8683651804670913,0.8698412698412699,0.9288135593220339,0.898360655737705,0.7719520467820981
38,median,0.9,0.8726114649681529,0.8772727272727273,0.9368932038834952,0.9061032863849765,0.7719520467820981
39,median,0.9500000000000001,0.8853503184713376,0.908256880733945,0.9252336448598131,0.9166666666666666,0.7719520467820981
40,min,0.0,0.7189292543021033,0.7287769784172662,0.6673254281949934,0.6966987620357634,0.7486919958672555
41,min,0.05,0.7276995305164319,0.7316363636363636,0.694271911663216,0.7124645892351275,0.7486919958672555
42,min,0.1,0.7380530973451327,0.7377543330821401,0.7140773158278628,0.7257227575982209,0.7486919958672555
43,min,0.15,0.7440029985007496,0.7470071827613727,0.7188940092165899,0.7326810176125245,0.7486919958672555
44,min,0.2,0.7495021903624054,0.7516447368421053,0.7365028203062046,0.743996743996744,0.7486919958672555
45,min,0.25,0.7553101104502974,0.7615248226950354,0.7367066895368782,0.7489102005231038,0.7486919958672555
46,min,0.3,0.7605826126536186,0.7745664739884393,0.7335766423357665,0.753514526710403,0.7486919958672555
47,min,0.35000000000000003,0.7642156862745098,0.7857142857142857,0.7246804326450345,0.7539641943734016,0.7486919958672555
48,min,0.4,0.7679235262878386,0.7930622009569378,0.7152103559870551,0.7521270561542824,0.7486919958672555
49,min,0.45,0.7734646581691773,0.7965425531914894,0.7156511350059738,0.7539332913782253,0.7486919958672555
50,min,0.5,0.7966857871255577,0.7965425531914894,0.7830065359477124,0.7897165458141068,0.7486919958672555
51,min,0.55,0.802547770700637,0.8046153846153846,0.7748148148148148,0.789433962264151,0.7486919958672555
52,min,0.6,0.8017515923566879,0.8,0.7658119658119659,0.7825327510917031,0.7486919958672555
53,min,0.65,0.8080072793448589,0.8111111111111111,0.7433808553971487,0.7757704569606801,0.7486919958672555
54,min,0.7000000000000001,0.8067940552016986,0.807799442896936,0.7196029776674938,0.7611548556430446,0.7486919958672555
55,min,0.75,0.824203821656051,0.8256227758007118,0.7227414330218068,0.770764119601329,0.7486919958672555
