,Model,Method,Rejection Rate,Accuracy,Precision,Recall,F1-Score,AU-ARC
0,Decision_Tree,min,0.0,0.830950378469302,0.8460837887067395,0.9036964980544747,0.8739416745061148,0.8732910672729643
1,Decision_Tree,min,0.05,0.8426643062624475,0.8553259141494436,0.9131025118805159,0.8832703989492694,0.8732910672729643
2,Decision_Tree,min,0.1,0.8584442887175894,0.868995633187773,0.9229397074562968,0.8951557093425605,0.8732910672729643
3,Decision_Tree,min,0.15,0.8718773188226564,0.8759200841219769,0.9384153210664664,0.9060913705583756,0.8732910672729643
4,Decision_Tree,min,0.2,0.8840998685939553,0.8887212372689551,0.9416466826538769,0.9144187851736852,0.8732910672729643
5,Decision_Tree,min,0.25,0.896551724137931,0.8908313908313908,0.9630407391852163,0.9255297679112008,0.8732910672729643
6,Decision_Tree,min,0.3,0.9048048048048049,0.8997037663986458,0.9637352674524026,0.9306193915517619,0.8732910672729643
7,Decision_Tree,min,0.35000000000000003,0.9117076326002588,0.9036199095022625,0.9708313077297035,0.9360206233887978,0.8732910672729643
8,Decision_Tree,min,0.4,0.9201121233356693,0.9150227617602428,0.9678972712680578,0.9407176287051482,0.8732910672729643
9,Decision_Tree,min,0.45,0.9304281345565749,0.9237618252643295,0.9736070381231672,0.9480296973158195,0.8732910672729643
10,Decision_Tree,min,0.5,0.9432296047098402,0.936183395291202,0.9792611795204148,0.9572378840671524,0.8732910672729643
11,Decision_Tree,min,0.55,0.9462867818776273,0.9408204438466712,0.9810659186535764,0.9605217988328184,0.8732910672729643
12,Decision_Tree,min,0.6,0.9511297950604309,0.9470098410295231,0.9819466248037677,0.9641618497109826,0.8732910672729643
13,Decision_Tree,min,0.65,0.9501501501501501,0.9449378330373002,0.9806451612903225,0.9624604251469923,0.8732910672729643
14,Decision_Tree,min,0.7000000000000001,0.9460406447091801,0.9396462018730489,0.9793926247288504,0.9591078066914498,0.8732910672729643
15,Decision_Tree,min,0.75,0.9545836837678722,0.9473684210526315,0.984375,0.9655172413793104,0.8732910672729643
16,Decision_Tree,min,0.8,0.9558823529411765,0.9510268562401264,0.9820554649265906,0.9662921348314607,0.8732910672729643
17,Decision_Tree,min,0.85,0.9495798319327731,0.9443254817987152,0.9778270509977827,0.9607843137254902,0.8732910672729643
18,Decision_Tree,min,0.9,0.9537815126050421,0.9523809523809523,0.9771986970684039,0.9646302250803859,0.8732910672729643
19,Decision_Tree,min,0.9500000000000001,0.957983193277311,0.9518072289156626,0.9875,0.9693251533742331,0.8732910672729643
0,SGD,min,0.0,0.7945752733389403,0.804040404040404,0.9033722438391699,0.8508169186135288,0.8501100698330738
