,Method,Rejection Rate,Selection Threshold,Accuracy,Precision,Recall,F1-Score,AU-ARC
0,avg,0.0,0.0,0.8660639192598822,0.8557720267519627,0.9542801556420234,0.9023455465276713,0.8557066018253253
1,avg,0.0,0.25,0.8694280908326325,0.8599824612686349,0.9539559014267186,0.9045349730976172,0.8557066018253253
2,avg,0.0,0.5,0.8751051303616485,0.8692170818505338,0.9503891050583657,0.9079925650557621,0.8557066018253253
3,avg,0.0,0.75,0.8742640874684608,0.869500594530321,0.9484435797665369,0.907258064516129,0.8557066018253253
4,avg,0.1,0.0,0.9039943938332166,0.8961783439490446,0.970679544670576,0.9319423745653254,0.8557066018253253
5,avg,0.1,0.25,0.9039943938332166,0.8961783439490446,0.970679544670576,0.9319423745653254,0.8557066018253253
6,avg,0.1,0.5,0.9039943938332166,0.8959261616804584,0.9710244912038634,0.9319649064724383,0.8557066018253253
7,avg,0.1,0.75,0.9042279841158608,0.8972231088413661,0.969644705070714,0.9320291777188329,0.8557066018253253
8,avg,0.2,0.0,0.926412614980289,0.919303234980448,0.9799166350890489,0.9486426999266324,0.8557066018253253
9,avg,0.2,0.25,0.926412614980289,0.919303234980448,0.9799166350890489,0.9486426999266324,0.8557066018253253
10,avg,0.2,0.5,0.926412614980289,0.919303234980448,0.9799166350890489,0.9486426999266324,0.8557066018253253
11,avg,0.2,0.75,0.926149802890933,0.9192745376955903,0.9795377036756348,0.9484498257200513,0.8557066018253253
12,avg,0.3,0.0,0.9402402402402402,0.9348441926345609,0.9838160136286201,0.9587051255447189,0.8557066018253253
13,avg,0.3,0.25,0.9402402402402402,0.9348441926345609,0.9838160136286201,0.9587051255447189,0.8557066018253253
14,avg,0.3,0.5,0.9402402402402402,0.9348441926345609,0.9838160136286201,0.9587051255447189,0.8557066018253253
15,avg,0.3,0.75,0.9402402402402402,0.9348441926345609,0.9838160136286201,0.9587051255447189,0.8557066018253253
16,avg,0.4,0.0,0.9516468114926419,0.9468390804597702,0.9865269461077845,0.966275659824047,0.8557066018253253
17,avg,0.4,0.25,0.9516468114926419,0.9468390804597702,0.9865269461077845,0.966275659824047,0.8557066018253253
18,avg,0.4,0.5,0.9516468114926419,0.9468390804597702,0.9865269461077845,0.966275659824047,0.8557066018253253
19,avg,0.4,0.75,0.9516468114926419,0.9468390804597702,0.9865269461077845,0.966275659824047,0.8557066018253253
20,avg,0.5,0.0,0.9646761984861227,0.9605568445475638,0.9904306220095693,0.9752650176678446,0.8557066018253253
21,avg,0.5,0.25,0.9646761984861227,0.9605568445475638,0.9904306220095693,0.9752650176678446,0.8557066018253253
22,avg,0.5,0.5,0.9646761984861227,0.9605568445475638,0.9904306220095693,0.9752650176678446,0.8557066018253253
23,avg,0.5,0.75,0.9646761984861227,0.9605568445475638,0.9904306220095693,0.9752650176678446,0.8557066018253253
24,avg,0.6,0.0,0.9674198633736206,0.9634769905040176,0.990984222389181,0.977037037037037,0.8557066018253253
25,avg,0.6,0.25,0.9674198633736206,0.9634769905040176,0.990984222389181,0.977037037037037,0.8557066018253253
26,avg,0.6,0.5,0.9674198633736206,0.9634769905040176,0.990984222389181,0.977037037037037,0.8557066018253253
27,avg,0.6,0.75,0.9674198633736206,0.9634769905040176,0.990984222389181,0.977037037037037,0.8557066018253253
28,avg,0.7000000000000001,0.0,0.9838822704975473,0.9798850574712644,0.9980487804878049,0.9888835186080231,0.8557066018253253
29,avg,0.7000000000000001,0.25,0.9838822704975473,0.9798850574712644,0.9980487804878049,0.9888835186080231,0.8557066018253253
30,avg,0.7000000000000001,0.5,0.9838822704975473,0.9798850574712644,0.9980487804878049,0.9888835186080231,0.8557066018253253
31,avg,0.7000000000000001,0.75,0.9838822704975473,0.9798850574712644,0.9980487804878049,0.9888835186080231,0.8557066018253253
32,avg,0.8,0.0,0.9884453781512605,0.9856733524355301,0.9985486211901307,0.9920692141312184,0.8557066018253253
33,avg,0.8,0.25,0.9884453781512605,0.9856733524355301,0.9985486211901307,0.9920692141312184,0.8557066018253253
34,avg,0.8,0.5,0.9884453781512605,0.9856733524355301,0.9985486211901307,0.9920692141312184,0.8557066018253253
35,avg,0.8,0.75,0.9884453781512605,0.9856733524355301,0.9985486211901307,0.9920692141312184,0.8557066018253253
36,avg,0.9,0.0,0.9894957983193278,0.9829931972789115,1.0,0.9914236706689536,0.8557066018253253
37,avg,0.9,0.25,0.9894957983193278,0.9829931972789115,1.0,0.9914236706689536,0.8557066018253253
38,avg,0.9,0.5,0.9894957983193278,0.9829931972789115,1.0,0.9914236706689536,0.8557066018253253
39,avg,0.9,0.75,0.9894957983193278,0.9829931972789115,1.0,0.9914236706689536,0.8557066018253253
40,median,0.0,0.0,0.8660639192598822,0.8557720267519627,0.9542801556420234,0.9023455465276713,0.8566771712414468
41,median,0.0,0.25,0.8694280908326325,0.8599824612686349,0.9539559014267186,0.9045349730976172,0.8566771712414468
42,median,0.0,0.5,0.8751051303616485,0.8692170818505338,0.9503891050583657,0.9079925650557621,0.8566771712414468
43,median,0.0,0.75,0.8742640874684608,0.869500594530321,0.9484435797665369,0.907258064516129,0.8566771712414468
44,median,0.1,0.0,0.905395935529082,0.8970823982045527,0.970853573907009,0.9325112481253125,0.8566771712414468
45,median,0.1,0.25,0.9056295258117262,0.8973701090442592,0.970853573907009,0.9326666666666666,0.8566771712414468
46,median,0.1,0.5,0.9056295258117262,0.8971153846153846,0.9712005551700208,0.9326891036321227,0.8566771712414468
47,median,0.1,0.75,0.905395935529082,0.8973371831889637,0.9705065926439972,0.9324887481246874,0.8566771712414468
