,Method,Rejection Rate,Accuracy,Precision,Recall,F1-Score,AU-ARC
0,avg,0.0,0.8765769554247267,0.8701452712718648,0.9516861219195849,0.9090909090909091,0.9064219560374206
1,avg,0.05,0.888692188537287,0.8799019607843137,0.9627891384512236,0.9194813510485033,0.9064219560374206
2,avg,0.1,0.9030600327026396,0.8944675407739047,0.9705065926439972,0.9309369279414212,0.9064219560374206
3,avg,0.15,0.914419985159535,0.9070080862533693,0.9746560463432296,0.9396160558464224,0.9064219560374206
4,avg,0.2,0.9232588699080158,0.9165180164109882,0.9779215835553864,0.9462246777163904,0.9064219560374206
5,avg,0.25,0.9338379590692458,0.9281095473564093,0.9811017289907519,0.9538702111024238,0.9064219560374206
6,avg,0.3,0.9408408408408409,0.9353796445880452,0.9842753931151721,0.95920480430731,0.9064219560374206
7,avg,0.35000000000000003,0.9469598965071151,0.9415357766143106,0.9862888482632541,0.9633928571428572,0.9064219560374206
8,avg,0.4,0.952697967764541,0.9478425794215268,0.9876482213438735,0.9673360754899588,0.9064219560374206
9,avg,0.45,0.9587155963302753,0.9527518172377986,0.9908207343412527,0.9714134462678666,0.9064219560374206
10,avg,0.5,0.9646761984861227,0.9590443686006825,0.9929328621908127,0.9756944444444444,0.9064219560374206
11,avg,0.55,0.96823914058851,0.9629164047768699,0.9941596365996106,0.9782886334610472,0.9064219560374206
12,avg,0.6,0.9753021544929059,0.969718309859155,0.997103548153512,0.9832202784719742,0.9064219560374206
13,avg,0.65,0.9771771771771772,0.9712689545091779,0.9983593109105825,0.9846278317152104,0.9064219560374206
14,avg,0.7000000000000001,0.9824807288016818,0.9776951672862454,0.9990503323836657,0.9882573978393612,0.9064219560374206
15,avg,0.75,0.9857022708158116,0.9822616407982262,0.9988726042841037,0.9904974846282839,0.9064219560374206
16,avg,0.8,0.9894957983193278,0.9875862068965517,0.99860529986053,0.9930651872399445,0.9064219560374206
17,avg,0.85,0.9929971988795518,0.9906716417910447,1.0,0.9953139643861293,0.9064219560374206
18,avg,0.9,0.9936974789915967,0.9912023460410557,1.0,0.9955817378497791,0.9064219560374206
19,avg,0.9500000000000001,0.9957983193277311,0.9929078014184397,1.0,0.99644128113879,0.9064219560374206
20,median,0.0,0.8765769554247267,0.8701452712718648,0.9516861219195849,0.9090909090909091,0.9065575099130978
21,median,0.05,0.888692188537287,0.8804281345565749,0.9625543296556336,0.9196613959431401,0.9065575099130978
22,median,0.1,0.9051623452464378,0.8955797565663036,0.972183588317107,0.9323107702567522,0.9065575099130978
23,median,0.15,0.9178827603264902,0.9101123595505618,0.9751915359357899,0.9415287072912998,0.9065575099130978
24,median,0.2,0.9272010512483574,0.9204915070473437,0.978110599078341,0.9484267361757587,0.9065575099130978
25,median,0.25,0.9352396972245585,0.9302055060100815,0.9791836734693877,0.9540664147941936,0.9065575099130978
26,median,0.3,0.9417417417417417,0.9362234264276782,0.9820725841714036,0.9586000853606488,0.9065575099130978
27,median,0.35000000000000003,0.9476067270375161,0.9433620299048482,0.9825389334591789,0.9625520110957004,0.9065575099130978
28,median,0.4,0.9533987386124737,0.9489445262641139,0.9852191641182467,0.9667416854213553,0.9065575099130978
29,median,0.45,0.9613914373088684,0.9568230277185501,0.9889807162534435,0.9726361419669466,0.9065575099130978
30,median,0.5,0.9629941126997477,0.9574839836924869,0.9909584086799277,0.9739336492890995,0.9065575099130978
31,median,0.55,0.9677720691265763,0.9627249357326478,0.9927104042412194,0.9774877650897227,0.9065575099130978
32,median,0.6,0.9737256962690489,0.9692857142857143,0.9948680351906158,0.9819102749638206,0.9065575099130978
33,median,0.65,0.975975975975976,0.9717285945072698,0.9958609271523179,0.9836467702371219,0.9065575099130978
34,median,0.7000000000000001,0.9803784162578837,0.9767008387698043,0.9971455756422455,0.9868173258003766,0.9065575099130978
35,median,0.75,0.9848612279226241,0.982202447163515,0.9977401129943503,0.9899103139013453,0.9065575099130978
36,median,0.8,0.9884453781512605,0.9875518672199171,0.9972067039106145,0.9923558026407228,0.9065575099130978
37,median,0.85,0.988795518207283,0.9868421052631579,0.9980988593155894,0.9924385633270322,0.9065575099130978
38,median,0.9,0.9936974789915967,0.9912280701754386,1.0,0.9955947136563876,0.9065575099130978
39,median,0.9500000000000001,0.9957983193277311,0.9931972789115646,1.0,0.9965870307167235,0.9065575099130978
40,min,0.0,0.8765769554247267,0.8701452712718648,0.9516861219195849,0.9090909090909091,0.9013533329192971
41,min,0.05,0.8758574905952644,0.871638141809291,0.9528900768459739,0.9104549082202713,0.9013533329192971
42,min,0.1,0.8820369072646578,0.8754752851711026,0.9610434782608696,0.9162659592107445,0.9013533329192971
