,Method,Rejection Rate,Rejection Threshold,Accuracy,Precision,Recall,F1-Score,AU-ARC
0,avg,0.0,0.0,0.6272077375946173,0.9486652977412731,0.4494163424124514,0.6099009900990099,0.8144706142441656
1,avg,0.0,0.25,0.864592094196804,0.8594578668238068,0.9458495460440985,0.9005866008027169,0.8144706142441656
2,avg,0.0,0.5,0.8660639192598822,0.8557720267519627,0.9542801556420234,0.9023455465276713,0.8144706142441656
3,avg,0.0,0.75,0.8660639192598822,0.8557720267519627,0.9542801556420234,0.9023455465276713,0.8144706142441656
4,avg,0.1,0.0,0.641906096706377,0.9499657299520219,0.4869992972593113,0.6439024390243903,0.8144706142441656
5,avg,0.1,0.25,0.8953515533753796,0.8818471337579618,0.9729444834855938,0.925158703641831,0.8144706142441656
6,avg,0.1,0.5,0.8955851436580238,0.8809145760558907,0.9747013352073085,0.9254378648874062,0.8144706142441656
7,avg,0.1,0.75,0.8955851436580238,0.8809145760558907,0.9747013352073085,0.9254378648874062,0.8144706142441656
8,avg,0.2,0.0,0.6617608409986859,0.9569444444444445,0.5293891663465232,0.6816720257234726,0.8144706142441656
9,avg,0.2,0.25,0.9203679369250986,0.9078014184397163,0.9834805993084902,0.9441268670477595,0.8144706142441656
10,avg,0.2,0.5,0.9201051248357425,0.9074796171570365,0.9834805993084902,0.943952802359882,0.8144706142441656
11,avg,0.2,0.75,0.9201051248357425,0.9074796171570365,0.9834805993084902,0.943952802359882,0.8144706142441656
12,avg,0.3,0.0,0.6816816816816816,0.9643366619115549,0.5723962743437765,0.718384697130712,0.8144706142441656
13,avg,0.3,0.25,0.9384384384384384,0.9281460897181422,0.9898391193903472,0.9580004097521,0.8144706142441656
14,avg,0.3,0.5,0.9384384384384384,0.9281460897181422,0.9898391193903472,0.9580004097521,0.8144706142441656
15,avg,0.3,0.75,0.9384384384384384,0.9281460897181422,0.9898391193903472,0.9580004097521,0.8144706142441656
16,avg,0.4,0.0,0.7109320252277506,0.9673832468495182,0.6255992329817833,0.759825327510917,0.8144706142441656
17,avg,0.4,0.25,0.9548002803083392,0.9482363719651855,0.9923298178331735,0.9697821503865074,0.8144706142441656
18,avg,0.4,0.5,0.9548002803083392,0.9482363719651855,0.9923298178331735,0.9697821503865074,0.8144706142441656
19,avg,0.4,0.75,0.9548002803083392,0.9482363719651855,0.9923298178331735,0.9697821503865074,0.8144706142441656
20,avg,0.5,0.0,0.7703952901597981,0.974703557312253,0.7057813394390383,0.8187250996015937,0.8144706142441656
21,avg,0.5,0.25,0.9655172413793104,0.9591836734693877,0.9954207212364052,0.9769662921348314,0.8144706142441656
22,avg,0.5,0.5,0.9655172413793104,0.9591836734693877,0.9954207212364052,0.9769662921348314,0.8144706142441656
23,avg,0.5,0.75,0.9655172413793104,0.9591836734693877,0.9954207212364052,0.9769662921348314,0.8144706142441656
24,avg,0.6,0.0,0.8428796636889122,0.9796460176991151,0.8004338394793926,0.8810187027457222,0.8144706142441656
25,avg,0.6,0.25,0.9716237519705728,0.9663157894736842,0.9956616052060737,0.9807692307692307,0.8144706142441656
26,avg,0.6,0.5,0.9716237519705728,0.9663157894736842,0.9956616052060737,0.9807692307692307,0.8144706142441656
27,avg,0.6,0.75,0.9716237519705728,0.9663157894736842,0.9956616052060737,0.9807692307692307,0.8144706142441656
28,avg,0.7000000000000001,0.0,0.8955851436580238,0.9810901001112347,0.8698224852071006,0.9221118661787768,0.8144706142441656
