,Method,Rejection Rate,Accuracy,Precision,Recall,F1-Score,AU-ARC
0,avg,0.0,0.8652228763666947,0.8566423357664233,0.9513618677042801,0.9015209709632817,0.9039234967080003
1,avg,0.05,0.880725824297411,0.8687576126674786,0.9635258358662614,0.9136909527622098,0.9039234967080003
2,avg,0.1,0.8948843728100911,0.8810432569974554,0.9732958538299368,0.9248747913188647,0.9039234967080003
3,avg,0.15,0.9087311402423942,0.8954423592493298,0.9791132282887505,0.9354104673551549,0.9039234967080003
4,avg,0.2,0.9201051248357425,0.9074796171570365,0.9834805993084902,0.943952802359882,0.9039234967080003
5,avg,0.25,0.9293523969722456,0.9179775280898876,0.9867149758454107,0.9511059371362048,0.9039234967080003
6,avg,0.3,0.9387387387387387,0.9285146942017474,0.9898391193903472,0.9581967213114754,0.9039234967080003
7,avg,0.35000000000000003,0.9472833117723156,0.9385593220338984,0.9919390953873712,0.9645112127150011,0.9039234967080003
8,avg,0.4,0.9551506657323056,0.9486709440879927,0.9923298178331735,0.9700093720712277,0.9039234967080003
9,avg,0.45,0.9602446483180428,0.9535928143712575,0.9942767950052029,0.9735099337748344,0.9039234967080003
10,avg,0.5,0.9655172413793104,0.9591836734693877,0.9954207212364052,0.9769662921348314,0.9039234967080003
11,avg,0.55,0.9687062120504437,0.963076923076923,0.9955470737913485,0.9790428526743822,0.9039234967080003
12,avg,0.6,0.9716237519705728,0.9663157894736842,0.9956616052060737,0.9807692307692307,0.9039234967080003
13,avg,0.65,0.975975975975976,0.9723577235772358,0.9950083194675541,0.9835526315789473,0.9039234967080003
14,avg,0.7000000000000001,0.9768745620182201,0.9739130434782609,0.9940828402366864,0.9838945827232797,0.9039234967080003
15,avg,0.75,0.9806560134566863,0.9769975786924939,0.9950678175092479,0.9859499083689677,0.9039234967080003
16,avg,0.8,0.9873949579831933,0.9838449111470113,0.9967266775777414,0.9902439024390244,0.9039234967080003
17,avg,0.85,0.9901960784313726,0.9877750611246944,0.9950738916256158,0.9914110429447853,0.9039234967080003
18,avg,0.9,0.9936974789915967,0.9903381642512077,0.9951456310679612,0.9927360774818402,0.9039234967080003
19,avg,0.9500000000000001,1.0,1.0,1.0,1.0,0.9039234967080003
20,median,0.0,0.8652228763666947,0.8566423357664233,0.9513618677042801,0.9015209709632817,0.9045738028075216
21,median,0.05,0.8798406727152025,0.8676559660811629,0.9643217771794009,0.9134385461501674,0.9045738028075216
22,median,0.1,0.8941836019621584,0.8806349206349207,0.9729919326552087,0.9245125812364606,0.9045738028075216
23,median,0.15,0.9077417759089785,0.894474034620506,0.979584396646008,0.9350965721245867,0.9045738028075216
24,median,0.2,0.9159001314060446,0.9028070175438596,0.9835626911314985,0.9414562751555068,0.9045738028075216
25,median,0.25,0.9293523969722456,0.9158249158249159,0.9890909090909091,0.951048951048951,0.9045738028075216
26,median,0.3,0.9387387387387387,0.9279171644763042,0.9902252443688908,0.9580592105263158,0.9045738028075216
27,median,0.35000000000000003,0.9501940491591203,0.9416058394160584,0.9918588873812755,0.966079295154185,0.9045738028075216
28,median,0.4,0.9572529782761037,0.9502113668388915,0.9921530161844041,0.9707293666026872,0.9045738028075216
29,median,0.45,0.9590978593272171,0.9514713474445018,0.9929956896551724,0.9717901397310835,0.9045738028075216
30,median,0.5,0.9646761984861227,0.9581422018348624,0.9934601664684899,0.9754816112084063,0.9045738028075216
31,median,0.55,0.9677720691265763,0.9611147116007777,0.9939678284182306,0.9772652388797364,0.9045738028075216
32,median,0.6,0.9716237519705728,0.9661399548532731,0.9930394431554525,0.9794050343249427,0.9045738028075216
33,median,0.65,0.9765765765765766,0.9733806566104702,0.9918625678119349,0.9825347066726378,0.9045738028075216
34,median,0.7000000000000001,0.9810791871058164,0.9797008547008547,0.9913513513513513,0.9854916711445459,0.9045738028075216
35,median,0.75,0.9865433137089992,0.9879679144385026,0.9906166219839142,0.9892904953145917,0.9045738028075216
36,median,0.8,0.9894957983193278,0.994475138121547,0.9872029250457038,0.9908256880733946,0.9045738028075216
37,median,0.85,0.9929971988795518,0.9972677595628415,0.989159891598916,0.9931972789115646,0.9045738028075216
38,median,0.9,0.9957983193277311,0.9951923076923077,0.9951923076923077,0.9951923076923077,0.9045738028075216
39,median,0.9500000000000001,1.0,1.0,1.0,1.0,0.9045738028075216
