,Model,Method,Rejection Rate,Accuracy,Precision,Recall,F1-Score,AU-ARC
0,Decision_Tree,min,0.0,0.8875509807729656,0.5008183306055647,0.5275862068965518,0.5138539042821159,0.8402320436999784
1,Decision_Tree,min,0.05,0.8874693376941946,0.5,0.5304268846503178,0.5147642133098281,0.8402320436999784
2,Decision_Tree,min,0.1,0.8866112849282555,0.4959349593495935,0.5268714011516314,0.5109353187529083,0.8402320436999784
3,Decision_Tree,min,0.15,0.8851953392734749,0.49762131303520457,0.523,0.5099951243295954,0.8402320436999784
4,Decision_Tree,min,0.2,0.8850588663672776,0.5040160642570282,0.5256544502617801,0.5146078933880062,0.8402320436999784
5,Decision_Tree,min,0.25,0.8860693940963231,0.5064239828693791,0.5302690582959642,0.5180722891566265,0.8402320436999784
6,Decision_Tree,min,0.3,0.8855597170203912,0.4994246260069045,0.5266990291262136,0.5126993502658004,0.8402320436999784
7,Decision_Tree,min,0.35000000000000003,0.8875112040633403,0.5081148564294632,0.5313315926892951,0.5194639438417358,0.8402320436999784
8,Decision_Tree,min,0.4,0.8870367373361385,0.5047106325706595,0.5319148936170213,0.5179558011049724,0.8402320436999784
9,Decision_Tree,min,0.45,0.8862994350282486,0.5116279069767442,0.5333333333333333,0.5222551928783383,0.8402320436999784
10,Decision_Tree,min,0.5,0.8863857059623228,0.5146579804560261,0.5240464344941956,0.5193097781429745,0.8402320436999784
11,Decision_Tree,min,0.55,0.8875943905070118,0.5136116152450091,0.5279850746268657,0.5206991720331187,0.8402320436999784
12,Decision_Tree,min,0.6,0.8878640776699029,0.5071283095723014,0.5309168443496801,0.51875,0.8402320436999784
13,Decision_Tree,min,0.65,0.8884882108183079,0.5058275058275058,0.5331695331695332,0.5191387559808612,0.8402320436999784
14,Decision_Tree,min,0.7000000000000001,0.884789644012945,0.49066666666666664,0.5272206303724928,0.5082872928176796,0.8402320436999784
15,Decision_Tree,min,0.75,0.88,0.48757763975155277,0.521594684385382,0.5040128410914928,0.8402320436999784
16,Decision_Tree,min,0.8,0.8766990291262136,0.4866920152091255,0.5182186234817814,0.5019607843137255,0.8402320436999784
17,Decision_Tree,min,0.85,0.8737864077669902,0.5024875621890548,0.5153061224489796,0.5088161209068011,0.8402320436999784
18,Decision_Tree,min,0.9,0.8796116504854369,0.5182481751824818,0.5503875968992248,0.5338345864661654,0.8402320436999784
19,Decision_Tree,min,0.9500000000000001,0.8776699029126214,0.5256410256410257,0.6119402985074627,0.5655172413793104,0.8402320436999784
0,SGD,min,0.0,0.8571567294620315,0.4318281455501973,0.8491379310344828,0.5725079918628305,0.8814127872060504
1,SGD,min,0.05,0.8740801308258381,0.4592484138604197,0.8835680751173709,0.6043673731535003,0.8814127872060504
2,SGD,min,0.1,0.8896321070234113,0.48980716253443524,0.9016227180527383,0.6347732952516958,0.8814127872060504
3,SGD,min,0.15,0.9032442312085903,0.5144972239358421,0.9328859060402684,0.663220675944334,0.8814127872060504
4,SGD,min,0.2,0.9178298337176842,0.5507042253521127,0.9524969549330086,0.6979027219991075,0.8814127872060504
5,SGD,min,0.25,0.9274987053340238,0.5737051792828686,0.9664429530201343,0.72,0.8814127872060504
6,SGD,min,0.3,0.9353585795533361,0.5947416137805984,0.9718518518518519,0.7379077615298087,0.8814127872060504
7,SGD,min,0.35000000000000003,0.943232745742456,0.6184615384615385,0.9869067103109657,0.7604035308953342,0.8814127872060504
8,SGD,min,0.4,0.9488590386793979,0.6388888888888888,0.9928057553956835,0.7774647887323943,0.8814127872060504
9,SGD,min,0.45,0.9509180790960452,0.6447876447876448,0.9960238568588469,0.7828125,0.8814127872060504
10,SGD,min,0.5,0.9533890075742862,0.6530612244897959,0.9955555555555555,0.7887323943661971,0.8814127872060504
11,SGD,min,0.55,0.9551240560949299,0.6633986928104575,0.9950980392156863,0.796078431372549,0.8814127872060504
12,SGD,min,0.6,0.9555825242718446,0.6767857142857143,0.994750656167979,0.8055260361317748,0.8814127872060504
13,SGD,min,0.65,0.9525658807212205,0.6692759295499021,0.9941860465116279,0.8,0.8814127872060504
14,SGD,min,0.7000000000000001,0.9508090614886732,0.673202614379085,0.9935691318327974,0.8025974025974026,0.8814127872060504
15,SGD,min,0.75,0.9483495145631068,0.6819277108433734,0.9964788732394366,0.8097281831187411,0.8814127872060504
16,SGD,min,0.8,0.9398058252427185,0.6788511749347258,0.9961685823754789,0.8074534161490683,0.8814127872060504
17,SGD,min,0.85,0.9262135922330097,0.6771428571428572,0.9957983193277311,0.8061224489795918,0.8814127872060504
18,SGD,min,0.9,0.9029126213592233,0.6677740863787376,1.0,0.8007968127490039,0.8814127872060504
19,SGD,min,0.9500000000000001,0.8485436893203884,0.6763485477178424,1.0,0.806930693069307,0.8814127872060504
0,Logistic_Regression,min,0.0,0.8564769858224898,0.4308093994778068,0.853448275862069,0.5725853094274147,0.8810807730123025
1,Logistic_Regression,min,0.05,0.8737735077677842,0.4586977648202138,0.8863849765258216,0.6045469100224143,0.8810807730123025
2,Logistic_Regression,min,0.1,0.8896321070234113,0.48982957669048927,0.9036511156186613,0.6352941176470588,0.8810807730123025
3,Logistic_Regression,min,0.15,0.902558830249029,0.51468788249694,0.9334073251942286,0.6635108481262327,0.8810807730123025
4,Logistic_Regression,min,0.2,0.9169802160456366,0.5483193277310925,0.9525547445255474,0.696,0.8810807730123025
5,Logistic_Regression,min,0.25,0.9271103055411704,0.5743670886075949,0.966711051930759,0.7205955334987593,0.8810807730123025
6,Logistic_Regression,min,0.3,0.9346650020807324,0.5936936936936937,0.9705449189985272,0.7367244270542203,0.8810807730123025
7,Logistic_Regression,min,0.35000000000000003,0.9423364206752316,0.6153061224489796,0.9852941176470589,0.757537688442211,0.8810807730123025
8,Logistic_Regression,min,0.4,0.9482116847386308,0.6359447004608295,0.9928057553956835,0.7752808988764045,0.8810807730123025
9,Logistic_Regression,min,0.45,0.9510946327683616,0.645618556701031,0.9960238568588469,0.7834245504300235,0.8810807730123025
10,Logistic_Regression,min,0.5,0.9528063701689649,0.6552217453505007,0.9956521739130435,0.7903364969801553,0.8810807730123025
11,Logistic_Regression,min,0.55,0.9549083063646171,0.6634146341463415,0.9951219512195122,0.7960975609756098,0.8810807730123025
12,Logistic_Regression,min,0.6,0.9550970873786407,0.6726296958855098,0.9947089947089947,0.8025613660618997,0.8810807730123025
13,Logistic_Regression,min,0.65,0.9528432732316228,0.671875,0.9942196531791907,0.8018648018648019,0.8810807730123025
14,Logistic_Regression,min,0.7000000000000001,0.9501618122977347,0.6695652173913044,0.9935483870967742,0.8,0.8810807730123025
15,Logistic_Regression,min,0.75,0.9471844660194175,0.6785714285714286,0.9965034965034965,0.8073654390934845,0.8810807730123025
16,Logistic_Regression,min,0.8,0.9402912621359223,0.6822916666666666,0.9961977186311787,0.8098918083462133,0.8810807730123025
17,Logistic_Regression,min,0.85,0.9275080906148867,0.6782608695652174,0.9957446808510638,0.8068965517241379,0.8810807730123025
18,Logistic_Regression,min,0.9,0.9029126213592233,0.66996699669967,1.0,0.8023715415019763,0.8810807730123025
19,Logistic_Regression,min,0.9500000000000001,0.8466019417475729,0.6762295081967213,1.0,0.8068459657701712,0.8810807730123025
0,KNN,min,0.0,0.8788114196931442,0.4553752535496957,0.3870689655172414,0.418452935694315,0.8325953331530038
1,KNN,min,0.05,0.8782706459525756,0.4514038876889849,0.3796548592188919,0.41243216576221015,0.8325953331530038
