,Rejection Rate,BM Selection Threshold,Method,Accuracy,Precision,Recall,F1-Score,AU-ARC
0,0.0,0.0,avg,0.8976500291318703,0.533974358974359,0.718103448275862,0.6125,0.8766480008974288
1,0.0,0.25,avg,0.9030879782482035,0.56,0.6517241379310345,0.602390438247012,0.8766480008974288
2,0.0,0.5,avg,0.9005632161584773,0.5524691358024691,0.6172413793103448,0.5830618892508144,0.8766480008974288
3,0.0,0.75,avg,0.9000776849873762,0.5509727626459144,0.6103448275862069,0.5791411042944785,0.8766480008974288
4,0.1,0.0,avg,0.9354838709677419,0.5909580193756727,0.7157757496740548,0.6474056603773585,0.8766480008974288
5,0.1,0.25,avg,0.9345128924371561,0.5840336134453782,0.7249022164276402,0.6468877254217569,0.8766480008974288
6,0.1,0.5,avg,0.9332182543963751,0.5774058577405857,0.7196870925684485,0.640742890307603,0.8766480008974288
7,0.1,0.75,avg,0.9323551623691876,0.5732217573221757,0.7144719687092569,0.6360998258850842,0.8766480008974288
8,0.2,0.0,avg,0.9618885787110086,0.6314907872696818,0.8004246284501062,0.7059925093632958,0.8766480008974288
9,0.2,0.25,avg,0.9620099526641582,0.6321070234113713,0.802547770700637,0.7072029934518241,0.8766480008974288
10,0.2,0.5,avg,0.9620099526641582,0.6325503355704698,0.8004246284501062,0.7066541705716963,0.8766480008974288
11,0.2,0.75,avg,0.9622527005704575,0.6337792642140468,0.8046709129511678,0.7090739008419084,0.8766480008974288
12,0.3,0.0,avg,0.9778055208766819,0.6657608695652174,0.8687943262411347,0.7538461538461538,0.8766480008974288
13,0.3,0.25,avg,0.9778055208766819,0.6657608695652174,0.8687943262411347,0.7538461538461538,0.8766480008974288
14,0.3,0.5,avg,0.9778055208766819,0.6657608695652174,0.8687943262411347,0.7538461538461538,0.8766480008974288
15,0.3,0.75,avg,0.9778055208766819,0.6657608695652174,0.8687943262411347,0.7538461538461538,0.8766480008974288
16,0.4,0.0,avg,0.9844635054215892,0.6826086956521739,0.8722222222222222,0.7658536585365854,0.8766480008974288
17,0.4,0.25,avg,0.9844635054215892,0.6826086956521739,0.8722222222222222,0.7658536585365854,0.8766480008974288
18,0.4,0.5,avg,0.9844635054215892,0.6826086956521739,0.8722222222222222,0.7658536585365854,0.8766480008974288
19,0.4,0.75,avg,0.9844635054215892,0.6826086956521739,0.8722222222222222,0.7658536585365854,0.8766480008974288
20,0.5,0.0,avg,0.9947562633521072,0.8,0.9333333333333333,0.8615384615384616,0.8766480008974288
21,0.5,0.25,avg,0.9947562633521072,0.8,0.9333333333333333,0.8615384615384616,0.8766480008974288
22,0.5,0.5,avg,0.9947562633521072,0.8,0.9333333333333333,0.8615384615384616,0.8766480008974288
23,0.5,0.75,avg,0.9947562633521072,0.8,0.9333333333333333,0.8615384615384616,0.8766480008974288
24,0.6,0.0,avg,0.9939320388349514,0.8137254901960784,0.9325842696629213,0.8691099476439791,0.8766480008974288
25,0.6,0.25,avg,0.9939320388349514,0.8137254901960784,0.9325842696629213,0.8691099476439791,0.8766480008974288
