,Method,Rejection Rate,Selection Threshold,Accuracy,Precision,Recall,F1-Score,AU-ARC
0,avg,0.0,0.0,0.8976500291318703,0.533974358974359,0.718103448275862,0.6125,0.8847791580838692
1,avg,0.0,0.25,0.9018255972033404,0.550303848750844,0.7025862068965517,0.617190458159788,0.8847791580838692
2,avg,0.0,0.5,0.9063895902116916,0.5823529411764706,0.5974137931034482,0.5897872340425532,0.8847791580838692
3,avg,0.0,0.75,0.9013400660322393,0.5529411764705883,0.6482758620689655,0.5968253968253968,0.8847791580838692
4,avg,0.1,0.0,0.9386125795662963,0.618421052631579,0.7184713375796178,0.6647024160282852,0.8847791580838692
5,avg,0.1,0.25,0.9390441255798899,0.6211453744493393,0.7184713375796178,0.6662728883638511,0.8847791580838692
6,avg,0.1,0.5,0.9400151041104757,0.6287964004499438,0.7121019108280254,0.6678614097968937,0.8847791580838692
7,avg,0.1,0.75,0.9390441255798899,0.6238738738738738,0.7057324840764331,0.6622833233711894,0.8847791580838692
8,avg,0.2,0.0,0.9700206335720355,0.6963123644251626,0.75,0.7221597300337458,0.8847791580838692
9,avg,0.2,0.25,0.9700206335720355,0.6963123644251626,0.75,0.7221597300337458,0.8847791580838692
10,avg,0.2,0.5,0.9700206335720355,0.6963123644251626,0.75,0.7221597300337458,0.8847791580838692
11,avg,0.2,0.75,0.9700206335720355,0.6963123644251626,0.75,0.7221597300337458,0.8847791580838692
12,avg,0.3,0.0,0.992093216812318,0.8285714285714286,0.6904761904761905,0.7532467532467533,0.8847791580838692
13,avg,0.3,0.25,0.992093216812318,0.8285714285714286,0.6904761904761905,0.7532467532467533,0.8847791580838692
14,avg,0.3,0.5,0.992093216812318,0.8285714285714286,0.6904761904761905,0.7532467532467533,0.8847791580838692
15,avg,0.3,0.75,0.992093216812318,0.8285714285714286,0.6904761904761905,0.7532467532467533,0.8847791580838692
16,avg,0.4,0.0,0.9975724227221233,0.8918918918918919,0.75,0.8148148148148148,0.8847791580838692
17,avg,0.4,0.25,0.9975724227221233,0.8918918918918919,0.75,0.8148148148148148,0.8847791580838692
18,avg,0.4,0.5,0.9975724227221233,0.8918918918918919,0.75,0.8148148148148148,0.8847791580838692
19,avg,0.4,0.75,0.9975724227221233,0.8918918918918919,0.75,0.8148148148148148,0.8847791580838692
20,avg,0.5,0.0,0.9988347251893571,1.0,0.6842105263157895,0.8125,0.8847791580838692
21,avg,0.5,0.25,0.9988347251893571,1.0,0.6842105263157895,0.8125,0.8847791580838692
22,avg,0.5,0.5,0.9988347251893571,1.0,0.6842105263157895,0.8125,0.8847791580838692
23,avg,0.5,0.75,0.9988347251893571,1.0,0.6842105263157895,0.8125,0.8847791580838692
24,avg,0.6,0.0,0.9995145631067961,0.0,0.0,0.0,0.8847791580838692
25,avg,0.6,0.25,0.9995145631067961,0.0,0.0,0.0,0.8847791580838692
26,avg,0.6,0.5,0.9995145631067961,0.0,0.0,0.0,0.8847791580838692
27,avg,0.6,0.75,0.9995145631067961,0.0,0.0,0.0,0.8847791580838692
28,avg,0.7000000000000001,0.0,0.9996763754045307,0.0,0.0,0.0,0.8847791580838692
29,avg,0.7000000000000001,0.25,0.9996763754045307,0.0,0.0,0.0,0.8847791580838692
30,avg,0.7000000000000001,0.5,0.9996763754045307,0.0,0.0,0.0,0.8847791580838692
31,avg,0.7000000000000001,0.75,0.9996763754045307,0.0,0.0,0.0,0.8847791580838692
32,avg,0.8,0.0,1.0,0.0,0.0,0.0,0.8847791580838692
33,avg,0.8,0.25,1.0,0.0,0.0,0.0,0.8847791580838692
34,avg,0.8,0.5,1.0,0.0,0.0,0.0,0.8847791580838692
35,avg,0.8,0.75,1.0,0.0,0.0,0.0,0.8847791580838692
36,avg,0.9,0.0,1.0,0.0,0.0,0.0,0.8847791580838692
37,avg,0.9,0.25,1.0,0.0,0.0,0.0,0.8847791580838692
38,avg,0.9,0.5,1.0,0.0,0.0,0.0,0.8847791580838692
39,avg,0.9,0.75,1.0,0.0,0.0,0.0,0.8847791580838692
40,median,0.0,0.0,0.8976500291318703,0.533974358974359,0.718103448275862,0.6125,0.885009460966199
41,median,0.0,0.25,0.9018255972033404,0.550303848750844,0.7025862068965517,0.617190458159788,0.885009460966199
42,median,0.0,0.5,0.9063895902116916,0.5823529411764706,0.5974137931034482,0.5897872340425532,0.885009460966199
43,median,0.0,0.75,0.9013400660322393,0.5529411764705883,0.6482758620689655,0.5968253968253968,0.885009460966199
44,median,0.1,0.0,0.940338763620671,0.6208853575482406,0.7140992167101827,0.6642380085003036,0.885009460966199
45,median,0.1,0.25,0.94109396914446,0.6255707762557078,0.7154046997389034,0.6674786845310596,0.885009460966199
46,median,0.1,0.5,0.941849174668249,0.63121387283237,0.7127937336814621,0.6695278969957081,0.885009460966199
47,median,0.1,0.75,0.9412018556478584,0.6286379511059371,0.7049608355091384,0.6646153846153846,0.885009460966199
48,median,0.2,0.0,0.9741473479791237,0.7165605095541401,0.6446991404011462,0.6787330316742082,0.885009460966199
49,median,0.2,0.25,0.9741473479791237,0.7165605095541401,0.6446991404011462,0.6787330316742082,0.885009460966199
50,median,0.2,0.5,0.9741473479791237,0.7165605095541401,0.6446991404011462,0.6787330316742082,0.885009460966199
51,median,0.2,0.75,0.9741473479791237,0.7165605095541401,0.6446991404011462,0.6787330316742082,0.885009460966199
52,median,0.3,0.0,0.9926480787904008,0.8809523809523809,0.43529411764705883,0.5826771653543307,0.885009460966199
53,median,0.3,0.25,0.9926480787904008,0.8809523809523809,0.43529411764705883,0.5826771653543307,0.885009460966199
54,median,0.3,0.5,0.9926480787904008,0.8809523809523809,0.43529411764705883,0.5826771653543307,0.885009460966199
55,median,0.3,0.75,0.9926480787904008,0.8809523809523809,0.43529411764705883,0.5826771653543307,0.885009460966199
56,median,0.4,0.0,0.997086907266548,1.0,0.3076923076923077,0.47058823529411764,0.885009460966199
57,median,0.4,0.25,0.997086907266548,1.0,0.3076923076923077,0.47058823529411764,0.885009460966199
58,median,0.4,0.5,0.997086907266548,1.0,0.3076923076923077,0.47058823529411764,0.885009460966199
59,median,0.4,0.75,0.997086907266548,1.0,0.3076923076923077,0.47058823529411764,0.885009460966199
60,median,0.5,0.0,0.9986405127209167,1.0,0.3,0.46153846153846156,0.885009460966199
61,median,0.5,0.25,0.9986405127209167,1.0,0.3,0.46153846153846156,0.885009460966199
62,median,0.5,0.5,0.9986405127209167,1.0,0.3,0.46153846153846156,0.885009460966199
63,median,0.5,0.75,0.9986405127209167,1.0,0.3,0.46153846153846156,0.885009460966199
64,median,0.6,0.0,0.9987864077669902,1.0,0.2857142857142857,0.4444444444444444,0.885009460966199
65,median,0.6,0.25,0.9987864077669902,1.0,0.2857142857142857,0.4444444444444444,0.885009460966199
66,median,0.6,0.5,0.9987864077669902,1.0,0.2857142857142857,0.4444444444444444,0.885009460966199
67,median,0.6,0.75,0.9987864077669902,1.0,0.2857142857142857,0.4444444444444444,0.885009460966199
68,median,0.7000000000000001,0.0,0.998705501618123,1.0,0.2,0.3333333333333333,0.885009460966199
69,median,0.7000000000000001,0.25,0.998705501618123,1.0,0.2,0.3333333333333333,0.885009460966199
70,median,0.7000000000000001,0.5,0.998705501618123,1.0,0.2,0.3333333333333333,0.885009460966199
71,median,0.7000000000000001,0.75,0.998705501618123,1.0,0.2,0.3333333333333333,0.885009460966199
72,median,0.8,0.0,0.9985436893203884,0.0,0.0,0.0,0.885009460966199
73,median,0.8,0.25,0.9985436893203884,0.0,0.0,0.0,0.885009460966199
74,median,0.8,0.5,0.9985436893203884,0.0,0.0,0.0,0.885009460966199
75,median,0.8,0.75,0.9985436893203884,0.0,0.0,0.0,0.885009460966199
76,median,0.9,0.0,0.9990291262135922,0.0,0.0,0.0,0.885009460966199
77,median,0.9,0.25,0.9990291262135922,0.0,0.0,0.0,0.885009460966199
78,median,0.9,0.5,0.9990291262135922,0.0,0.0,0.0,0.885009460966199
79,median,0.9,0.75,0.9990291262135922,0.0,0.0,0.0,0.885009460966199
80,min,0.0,0.0,0.8976500291318703,0.533974358974359,0.718103448275862,0.6125,0.8575569167244154
81,min,0.0,0.25,0.9018255972033404,0.550303848750844,0.7025862068965517,0.617190458159788,0.8575569167244154
82,min,0.0,0.5,0.9063895902116916,0.5823529411764706,0.5974137931034482,0.5897872340425532,0.8575569167244154
83,min,0.0,0.75,0.9013400660322393,0.5529411764705883,0.6482758620689655,0.5968253968253968,0.8575569167244154
84,min,0.1,0.0,0.8894163340166146,0.535048231511254,0.7336860670194003,0.6188174042394943,0.8575569167244154
85,min,0.1,0.25,0.8937317941525516,0.550303848750844,0.718694885361552,0.6233269598470363,0.8575569167244154
86,min,0.1,0.5,0.8988024598122775,0.5823529411764706,0.6111111111111112,0.5963855421686747,0.8575569167244154
87,min,0.1,0.75,0.8931923616355594,0.5529411764705883,0.6631393298059964,0.603047313552526,0.8575569167244154
88,min,0.2,0.0,0.8838451268357811,0.5393700787401575,0.7632311977715878,0.6320645905420992,0.8575569167244154
89,min,0.2,0.25,0.8871222235708217,0.5499660095173351,0.7511606313834726,0.6350078492935636,0.8575569167244154
90,min,0.2,0.5,0.8931909212283045,0.5828427249789739,0.6434540389972145,0.6116504854368932,0.8575569167244154
91,min,0.2,0.75,0.887000849617672,0.5537555228276878,0.6982358402971216,0.6176591375770021,0.8575569167244154
92,min,0.3,0.0,0.9004022749341102,0.5639269406392694,0.8363431151241535,0.6736363636363636,0.8575569167244154
93,min,0.3,0.25,0.9001248439450686,0.5634556574923547,0.8318284424379232,0.6718322698268003,0.8575569167244154
94,min,0.3,0.5,0.904702455264253,0.5890778871978514,0.7426636568848759,0.6570144782825761,0.8575569167244154
95,min,0.3,0.75,0.9001248439450686,0.5679214402618658,0.7832957110609481,0.6584440227703985,0.8575569167244154
96,min,0.4,0.0,0.9446512380644118,0.6238532110091743,0.896421845574388,0.7357032457496137,0.8575569167244154
97,min,0.4,0.25,0.9446512380644118,0.6238532110091743,0.896421845574388,0.7357032457496137,0.8575569167244154
98,min,0.4,0.5,0.9462696229163295,0.6372413793103449,0.8700564971751412,0.7356687898089171,0.8575569167244154
99,min,0.4,0.75,0.9440038841236446,0.6244952893674294,0.8738229755178908,0.728414442700157,0.8575569167244154
100,min,0.5,0.0,0.9976694503787144,0.8775510204081632,0.8775510204081632,0.8775510204081632,0.8575569167244154
101,min,0.5,0.25,0.9976694503787144,0.8775510204081632,0.8775510204081632,0.8775510204081632,0.8575569167244154
102,min,0.5,0.5,0.9976694503787144,0.8775510204081632,0.8775510204081632,0.8775510204081632,0.8575569167244154
103,min,0.5,0.75,0.9976694503787144,0.8775510204081632,0.8775510204081632,0.8775510204081632,0.8575569167244154
104,min,0.6,0.0,0.9995145631067961,0.0,0.0,0.0,0.8575569167244154
105,min,0.6,0.25,0.9995145631067961,0.0,0.0,0.0,0.8575569167244154
106,min,0.6,0.5,0.9995145631067961,0.0,0.0,0.0,0.8575569167244154
107,min,0.6,0.75,0.9995145631067961,0.0,0.0,0.0,0.8575569167244154
108,min,0.7000000000000001,0.0,0.9996763754045307,0.0,0.0,0.0,0.8575569167244154
109,min,0.7000000000000001,0.25,0.9996763754045307,0.0,0.0,0.0,0.8575569167244154
110,min,0.7000000000000001,0.5,0.9996763754045307,0.0,0.0,0.0,0.8575569167244154
111,min,0.7000000000000001,0.75,0.9996763754045307,0.0,0.0,0.0,0.8575569167244154
112,min,0.8,0.0,1.0,0.0,0.0,0.0,0.8575569167244154
113,min,0.8,0.25,1.0,0.0,0.0,0.0,0.8575569167244154
114,min,0.8,0.5,1.0,0.0,0.0,0.0,0.8575569167244154
115,min,0.8,0.75,1.0,0.0,0.0,0.0,0.8575569167244154
116,min,0.9,0.0,1.0,0.0,0.0,0.0,0.8575569167244154
117,min,0.9,0.25,1.0,0.0,0.0,0.0,0.8575569167244154
118,min,0.9,0.5,1.0,0.0,0.0,0.0,0.8575569167244154
119,min,0.9,0.75,1.0,0.0,0.0,0.0,0.8575569167244154
120,max,0.0,0.0,0.8976500291318703,0.533974358974359,0.718103448275862,0.6125,0.8833185417281352
121,max,0.0,0.25,0.9018255972033404,0.550303848750844,0.7025862068965517,0.617190458159788,0.8833185417281352
122,max,0.0,0.5,0.9063895902116916,0.5823529411764706,0.5974137931034482,0.5897872340425532,0.8833185417281352
123,max,0.0,0.75,0.9013400660322393,0.5529411764705883,0.6482758620689655,0.5968253968253968,0.8833185417281352
124,max,0.1,0.0,0.9363469629949294,0.5761006289308176,0.6441631504922645,0.6082337317397079,0.8833185417281352
125,max,0.1,0.25,0.9400151041104757,0.6048714479025711,0.6286919831223629,0.616551724137931,0.8833185417281352
126,max,0.1,0.5,0.9427122666954364,0.6475409836065574,0.5555555555555556,0.5980317940953823,0.8833185417281352
127,max,0.1,0.75,0.9409860826410616,0.6353135313531353,0.5414908579465542,0.5846621108580107,0.8833185417281352
128,max,0.2,0.0,0.9715984949629809,0.6440677966101694,0.5033112582781457,0.5650557620817844,0.8833185417281352
129,max,0.2,0.25,0.9741473479791237,0.7170731707317073,0.4867549668874172,0.5798816568047337,0.8833185417281352
130,max,0.2,0.5,0.9739046000728244,0.7351351351351352,0.4503311258278146,0.5585215605749486,0.8833185417281352
131,max,0.2,0.75,0.9735404782133754,0.7307692307692307,0.44039735099337746,0.5495867768595041,0.8833185417281352
132,max,0.3,0.0,0.9901511998890276,0.7291666666666666,0.3763440860215054,0.49645390070921985,0.8833185417281352
133,max,0.3,0.25,0.9911222083506728,0.8717948717948718,0.3655913978494624,0.5151515151515151,0.8833185417281352
134,max,0.3,0.5,0.9909834928561521,0.868421052631579,0.3548387096774194,0.5038167938931297,0.8833185417281352
135,max,0.3,0.75,0.9909834928561521,0.868421052631579,0.3548387096774194,0.5038167938931297,0.8833185417281352
136,max,0.4,0.0,0.9953066839294384,0.8518518518518519,0.4791666666666667,0.6133333333333333,0.8833185417281352
137,max,0.4,0.25,0.9956303608998219,0.92,0.4791666666666667,0.6301369863013698,0.8833185417281352
138,max,0.4,0.5,0.9956303608998219,0.92,0.4791666666666667,0.6301369863013698,0.8833185417281352
139,max,0.4,0.75,0.9956303608998219,0.92,0.4791666666666667,0.6301369863013698,0.8833185417281352
140,max,0.5,0.0,0.9951446882889882,0.8461538461538461,0.5116279069767442,0.6376811594202898,0.8833185417281352
141,max,0.5,0.25,0.9955331132258691,0.9166666666666666,0.5116279069767442,0.6567164179104478,0.8833185417281352
142,max,0.5,0.5,0.9955331132258691,0.9166666666666666,0.5116279069767442,0.6567164179104478,0.8833185417281352
143,max,0.5,0.75,0.9955331132258691,0.9166666666666666,0.5116279069767442,0.6567164179104478,0.8833185417281352
144,max,0.6,0.0,0.9949029126213592,0.8260869565217391,0.5277777777777778,0.6440677966101694,0.8833185417281352
145,max,0.6,0.25,0.9953883495145631,0.9047619047619048,0.5277777777777778,0.6666666666666666,0.8833185417281352
146,max,0.6,0.5,0.9953883495145631,0.9047619047619048,0.5277777777777778,0.6666666666666666,0.8833185417281352
147,max,0.6,0.75,0.9953883495145631,0.9047619047619048,0.5277777777777778,0.6666666666666666,0.8833185417281352
