,Method,Rejection Rate,Accuracy,Precision,Recall,F1-Score,AU-ARC
0,avg,0.0,0.9059040590405905,0.5762170790103751,0.6224137931034482,0.5984251968503937,0.9353001788628845
1,avg,0.05,0.9236508585445625,0.6056603773584905,0.6611740473738414,0.6322008862629247,0.9353001788628845
2,avg,0.1,0.9408781961376632,0.6417910447761194,0.7031446540880503,0.6710684273709484,0.9353001788628845
3,avg,0.15,0.9555631711217729,0.669710806697108,0.7189542483660131,0.6934594168636722,0.9353001788628845
4,avg,0.2,0.9709916251972327,0.6987951807228916,0.7178217821782178,0.7081807081807082,0.9353001788628845
5,avg,0.25,0.9827809425168307,0.7420814479638009,0.6833333333333333,0.7114967462039046,0.9353001788628845
6,avg,0.3,0.9913996393397142,0.8588235294117647,0.5934959349593496,0.7019230769230769,0.9353001788628845
7,avg,0.35000000000000003,0.9956677621750821,0.9333333333333333,0.6176470588235294,0.7433628318584071,0.9353001788628845
8,avg,0.4,0.9983816151480822,1.0,0.6428571428571429,0.782608695652174,0.9353001788628845
9,avg,0.45,0.9987641242937854,1.0,0.6666666666666666,0.8,0.9353001788628845
10,avg,0.5,0.9990289376577977,1.0,0.6428571428571429,0.782608695652174,0.9353001788628845
11,avg,0.55,0.9991370010787487,0.0,0.0,0.0,0.9353001788628845
12,avg,0.6,0.9992718446601941,0.0,0.0,0.0,0.9353001788628845
13,avg,0.65,0.9994452149791956,0.0,0.0,0.0,0.9353001788628845
14,avg,0.7000000000000001,0.9993527508090615,0.0,0.0,0.0,0.9353001788628845
15,avg,0.75,0.9992233009708738,0.0,0.0,0.0,0.9353001788628845
16,avg,0.8,0.9995145631067961,0.0,0.0,0.0,0.9353001788628845
17,avg,0.85,1.0,0.0,0.0,0.0,0.9353001788628845
18,avg,0.9,1.0,0.0,0.0,0.0,0.9353001788628845
19,avg,0.9500000000000001,1.0,0.0,0.0,0.0,0.9353001788628845
20,median,0.0,0.9059040590405905,0.5762170790103751,0.6224137931034482,0.5984251968503937,0.9353822761738045
21,median,0.05,0.9235486508585445,0.6046948356807512,0.6632337796086509,0.6326129666011788,0.9353822761738045
22,median,0.1,0.9409860826410616,0.6301531213191991,0.6966145833333334,0.6617192331478046,0.9353822761738045
23,median,0.15,0.9593328763993603,0.6833910034602076,0.6954225352112676,0.6893542757417103,0.9353822761738045
24,median,0.2,0.9731763563539264,0.7051282051282052,0.6303724928366762,0.6656580937972768,0.9353822761738045
25,median,0.25,0.9852408078715691,0.768,0.5303867403314917,0.6274509803921569,0.9353822761738045
26,median,0.3,0.9923706478013594,0.9230769230769231,0.3116883116883117,0.46601941747572817,0.9353822761738045
27,median,0.35000000000000003,0.9950702121302659,1.0,0.23255813953488372,0.37735849056603776,0.9353822761738045
28,median,0.4,0.9969250687813562,1.0,0.20833333333333334,0.3448275862068966,0.9353822761738045
29,median,0.45,0.9978813559322034,1.0,0.2,0.3333333333333333,0.9353822761738045
30,median,0.5,0.9980578753155953,1.0,0.23076923076923078,0.375,0.9353822761738045
31,median,0.55,0.9980582524271845,1.0,0.25,0.4,0.9353822761738045
32,median,0.6,0.9980582524271845,1.0,0.2727272727272727,0.42857142857142855,0.9353822761738045
33,median,0.65,0.9980582524271845,1.0,0.2222222222222222,0.36363636363636365,0.9353822761738045
34,median,0.7000000000000001,0.998705501618123,1.0,0.3333333333333333,0.5,0.9353822761738045
35,median,0.75,0.9992233009708738,1.0,0.5,0.6666666666666666,0.9353822761738045
36,median,0.8,1.0,1.0,1.0,1.0,0.9353822761738045
37,median,0.85,1.0,1.0,1.0,1.0,0.9353822761738045
38,median,0.9,1.0,1.0,1.0,1.0,0.9353822761738045
39,median,0.9500000000000001,1.0,1.0,1.0,1.0,0.9353822761738045
40,min,0.0,0.9059040590405905,0.5762170790103751,0.6224137931034482,0.5984251968503937,0.9095396722263515
41,min,0.05,0.902596075224857,0.5762170790103751,0.6311188811188811,0.6024196912807677,0.9095396722263515
42,min,0.1,0.8990182328190743,0.5762170790103751,0.6406388642413487,0.6067226890756302,0.9095396722263515
43,min,0.15,0.8959332876399361,0.5776,0.653393665158371,0.6131634819532908,0.9095396722263515
44,min,0.2,0.8942832868066513,0.5784392598551891,0.6744840525328331,0.6227804244261586,0.9095396722263515
45,min,0.25,0.8970740548938374,0.584297520661157,0.7077077077077077,0.6401086464463558,0.9095396722263515
46,min,0.3,0.9065057566930226,0.5937227550130776,0.766029246344207,0.668958742632613,0.9095396722263515
47,min,0.35000000000000003,0.9254556319091723,0.6222222222222222,0.8313090418353576,0.7117273252455228,0.9095396722263515
48,min,0.4,0.9472406538274801,0.6412315930388219,0.8919925512104283,0.7461059190031153,0.9095396722263515
49,min,0.45,0.9754590395480226,0.6932668329177057,0.9455782312925171,0.8,0.9095396722263515
50,min,0.5,0.9984463002524762,0.9722222222222222,0.8333333333333334,0.8974358974358975,0.9095396722263515
51,min,0.55,0.9991370010787487,0.0,0.0,0.0,0.9095396722263515
52,min,0.6,0.9992718446601941,0.0,0.0,0.0,0.9095396722263515
53,min,0.65,0.9991678224687933,0.0,0.0,0.0,0.9095396722263515
54,min,0.7000000000000001,0.9990291262135922,0.0,0.0,0.0,0.9095396722263515
55,min,0.75,0.9992233009708738,0.0,0.0,0.0,0.9095396722263515
56,min,0.8,1.0,0.0,0.0,0.0,0.9095396722263515
57,min,0.85,1.0,0.0,0.0,0.0,0.9095396722263515
58,min,0.9,1.0,0.0,0.0,0.0,0.9095396722263515
59,min,0.9500000000000001,1.0,0.0,0.0,0.0,0.9095396722263515
60,max,0.0,0.9059040590405905,0.5762170790103751,0.6224137931034482,0.5984251968503937,0.9291925930374695
61,max,0.05,0.9247751430907605,0.6078431372549019,0.5974304068522484,0.6025917926565875,0.9291925930374695
62,max,0.1,0.9422807206818427,0.6365054602184087,0.5746478873239437,0.6039970392301999,0.9291925930374695
63,max,0.15,0.9583047749600183,0.65625,0.5195876288659794,0.5799769850402762,0.9291925930374695
64,max,0.2,0.9737832261196747,0.7409326424870466,0.4627831715210356,0.5697211155378487,0.9291925930374695
65,max,0.25,0.9840756084930088,0.8095238095238095,0.3148148148148148,0.4533333333333333,0.9291925930374695
66,max,0.3,0.9879317519766958,0.8205128205128205,0.2857142857142857,0.423841059602649,0.9291925930374695
67,max,0.35000000000000003,0.9877502240812668,0.8333333333333334,0.2830188679245283,0.4225352112676056,0.9291925930374695
68,max,0.4,0.9878621136106166,0.8235294117647058,0.28865979381443296,0.42748091603053434,0.9291925930374695
69,max,0.45,0.9878177966101694,0.8064516129032258,0.2840909090909091,0.42016806722689076,0.9291925930374695
70,max,0.5,0.9885414643620121,0.8148148148148148,0.2894736842105263,0.42718446601941745,0.9291925930374695
71,max,0.55,0.9885652642934196,0.7894736842105263,0.234375,0.3614457831325301,0.9291925930374695
72,max,0.6,0.9885922330097088,0.7894736842105263,0.25862068965517243,0.38961038961038963,0.9291925930374695
73,max,0.65,0.9889042995839112,0.8,0.24489795918367346,0.375,0.9291925930374695
74,max,0.7000000000000001,0.9893203883495145,0.8461538461538461,0.2619047619047619,0.4,0.9291925930374695
75,max,0.75,0.989126213592233,0.8461538461538461,0.2972972972972973,0.44,0.9291925930374695
76,max,0.8,0.9898058252427184,0.8333333333333334,0.3448275862068966,0.4878048780487805,0.9291925930374695
77,max,0.85,0.9889967637540453,0.8888888888888888,0.3333333333333333,0.48484848484848486,0.9291925930374695
