,Method,Rejection Rate,Accuracy,Precision,Recall,F1-Score,AU-ARC
0,avg,0.0,0.8968731792581084,0.5296610169491526,0.7543103448275862,0.6223328591749644,0.8605509918872702
1,avg,0.1,0.9277160427230553,0.5890736342042755,0.8312849162011173,0.6895273401297498,0.8605509918872702
2,avg,0.2,0.9453817210826556,0.6247464503042597,0.8850574712643678,0.7324613555291319,0.8605509918872702
3,avg,0.3,0.9586627826328201,0.6508563899868248,0.937381404174573,0.7682737169517885,0.8605509918872702
4,avg,0.4,0.9679559799320279,0.6822107081174439,0.9657701711491442,0.7995951417004049,0.8605509918872702
5,avg,0.5,0.9708681297339289,0.6896551724137931,0.9815950920245399,0.810126582278481,0.8605509918872702
6,avg,0.6,0.970631067961165,0.7063291139240506,0.9823943661971831,0.8217967599410898,0.8605509918872702
7,avg,0.7000000000000001,0.9692556634304207,0.7177177177177178,0.9958333333333333,0.8342059336823735,0.8605509918872702
8,avg,0.8,0.9660194174757282,0.7254901960784313,1.0,0.8409090909090909,0.8605509918872702
9,avg,0.9,0.9611650485436893,0.7452229299363057,1.0,0.8540145985401459,0.8605509918872702
10,median,0.0,0.8968731792581084,0.5296610169491526,0.7543103448275862,0.6223328591749644,0.8755551911378434
11,median,0.1,0.9284712482468443,0.5972778222578062,0.8233995584988962,0.6923433874709977,0.8755551911378434
12,median,0.2,0.9530282801310839,0.6370023419203747,0.8760064412238325,0.7376271186440678,0.8755551911378434
13,median,0.3,0.9729504785684561,0.6659877800407332,0.9134078212290503,0.7703180212014135,0.8755551911378434
14,median,0.4,0.9844635054215892,0.6625,0.9137931034482759,0.7681159420289855,0.8755551911378434
15,median,0.5,0.989318314235774,0.6643356643356644,0.9313725490196079,0.7755102040816326,0.8755551911378434
16,median,0.6,0.9919902912621359,0.6881720430107527,0.9411764705882353,0.7950310559006211,0.8755551911378434
17,median,0.7000000000000001,0.9941747572815534,0.7115384615384616,0.925,0.8043478260869565,0.8755551911378434
18,median,0.8,0.9946601941747573,0.7272727272727273,0.9230769230769231,0.8135593220338984,0.8755551911378434
19,median,0.9,0.996116504854369,0.8235294117647058,0.9333333333333333,0.875,0.8755551911378434
20,min,0.0,0.8968731792581084,0.5296610169491526,0.7543103448275862,0.6223328591749644,0.8077002898251947
21,min,0.1,0.8973999352680979,0.527027027027027,0.7565470417070805,0.6212664277180406,0.8077002898251947
22,min,0.2,0.8973176356353927,0.5257575757575758,0.7592997811816192,0.621307072515667,0.8077002898251947
23,min,0.3,0.8970731030656124,0.5300171526586621,0.7610837438423645,0.6248736097067745,0.8077002898251947
24,min,0.4,0.8957760155364946,0.5239043824701195,0.7601156069364162,0.6202830188679245,0.8077002898251947
25,min,0.5,0.8980384540687513,0.518925518925519,0.7643884892086331,0.6181818181818182,0.8077002898251947
26,min,0.6,0.8987864077669903,0.5303951367781155,0.7636761487964989,0.6260089686098654,0.8077002898251947
27,min,0.7000000000000001,0.9,0.5278350515463918,0.7619047619047619,0.6236297198538368,0.8077002898251947
28,min,0.8,0.8961165048543689,0.48632218844984804,0.7804878048780488,0.599250936329588,0.8077002898251947
29,min,0.9,0.8961165048543689,0.5297297297297298,0.8305084745762712,0.6468646864686468,0.8077002898251947
30,max,0.0,0.8968731792581084,0.5296610169491526,0.7543103448275862,0.6223328591749644,0.8640620333229341
31,max,0.1,0.9136907972812601,0.5570328901329601,0.8265835929387332,0.6655518394648829,0.8640620333229341
32,max,0.2,0.9355504308775336,0.6014047410008779,0.8989501312335958,0.7206733298264072,0.8640620333229341
33,max,0.3,0.9531141628519906,0.635280095351609,0.9433628318584071,0.7592592592592593,0.8640620333229341
34,max,0.4,0.9681178184172197,0.6915077989601387,0.9545454545454546,0.8020100502512563,0.8640620333229341
35,max,0.5,0.9759176539133813,0.727710843373494,0.9648562300319489,0.8296703296703297,0.8640620333229341
36,max,0.6,0.9800970873786408,0.75,0.9652173913043478,0.844106463878327,0.8640620333229341
37,max,0.7000000000000001,0.982200647249191,0.7623762376237624,0.9565217391304348,0.8484848484848485,0.8640620333229341
38,max,0.8,0.9839805825242719,0.7435897435897436,0.9666666666666667,0.8405797101449275,0.8640620333229341
39,max,0.9,0.9990291262135922,1.0,0.6666666666666666,0.8,0.8640620333229341
