,Method,Rejection Rate,Rejection Threshold,Accuracy,Precision,Recall,F1-Score,AU-ARC
0,avg,0.0,0.0,0.8978442416003107,0.608433734939759,0.26120689655172413,0.36550060313630883,0.8572035341383697
1,avg,0.0,0.25,0.899592153816275,0.5419440745672437,0.7017241379310345,0.6115702479338843,0.8572035341383697
2,avg,0.0,0.5,0.8976500291318703,0.533974358974359,0.718103448275862,0.6125,0.8572035341383697
3,avg,0.0,0.75,0.8976500291318703,0.533974358974359,0.718103448275862,0.6125,0.8572035341383697
4,avg,0.1,0.0,0.9185456899341893,0.6635514018691588,0.31731843575418994,0.4293272864701436,0.8572035341383697
5,avg,0.1,0.25,0.9278239292264537,0.5930807248764415,0.8044692737430168,0.6827880512091038,0.8572035341383697
6,avg,0.1,0.5,0.9270687237026648,0.5889520714865962,0.8100558659217877,0.6820319849482597,0.8572035341383697
7,avg,0.1,0.75,0.9270687237026648,0.5889520714865962,0.8100558659217877,0.6820319849482597,0.8572035341383697
8,avg,0.2,0.0,0.9317878383298944,0.6810810810810811,0.3620689655172414,0.4727954971857411,0.8572035341383697
9,avg,0.2,0.25,0.9447748513169074,0.6238437821171634,0.8721264367816092,0.7273816656680647,0.8572035341383697
10,avg,0.2,0.5,0.944896225270057,0.623721881390593,0.8764367816091954,0.7287933094384708,0.8572035341383697
11,avg,0.2,0.75,0.944896225270057,0.623721881390593,0.8764367816091954,0.7287933094384708,0.8572035341383697
12,avg,0.3,0.0,0.9461783881259537,0.7220447284345048,0.428842504743833,0.5380952380952381,0.8572035341383697
13,avg,0.3,0.25,0.9588014981273408,0.6517150395778364,0.937381404174573,0.7688715953307393,0.8572035341383697
14,avg,0.3,0.5,0.9586627826328201,0.6508563899868248,0.937381404174573,0.7682737169517885,0.8572035341383697
15,avg,0.3,0.75,0.9586627826328201,0.6508563899868248,0.937381404174573,0.7682737169517885,0.8572035341383697
16,avg,0.4,0.0,0.9543615471759185,0.7360594795539034,0.4841075794621027,0.584070796460177,0.8572035341383697
17,avg,0.4,0.25,0.9681178184172197,0.6833910034602076,0.9657701711491442,0.8004052684903749,0.8572035341383697
18,avg,0.4,0.5,0.9681178184172197,0.6827586206896552,0.9682151589242054,0.8008088978766431,0.8572035341383697
19,avg,0.4,0.75,0.9681178184172197,0.6827586206896552,0.9682151589242054,0.8008088978766431,0.8572035341383697
20,avg,0.5,0.0,0.9570790444746553,0.7292576419213974,0.5122699386503068,0.6018018018018018,0.8572035341383697
21,avg,0.5,0.25,0.9708681297339289,0.6896551724137931,0.9815950920245399,0.810126582278481,0.8572035341383697
22,avg,0.5,0.5,0.9706739172654885,0.6881720430107527,0.9815950920245399,0.809102402022756,0.8572035341383697
23,avg,0.5,0.75,0.9706739172654885,0.6881720430107527,0.9815950920245399,0.809102402022756,0.8572035341383697
24,avg,0.6,0.0,0.9536407766990291,0.7246376811594203,0.528169014084507,0.6109979633401222,0.8572035341383697
25,avg,0.6,0.25,0.9701456310679611,0.7027707808564232,0.9823943661971831,0.8193832599118943,0.8572035341383697
26,avg,0.6,0.5,0.9703883495145631,0.7045454545454546,0.9823943661971831,0.8205882352941176,0.8572035341383697
27,avg,0.6,0.75,0.9703883495145631,0.7045454545454546,0.9823943661971831,0.8205882352941176,0.8572035341383697
28,avg,0.7000000000000001,0.0,0.9501618122977347,0.7311827956989247,0.5666666666666667,0.6384976525821596,0.8572035341383697
29,avg,0.7000000000000001,0.25,0.9689320388349515,0.7155688622754491,0.9958333333333333,0.8327526132404182,0.8572035341383697
30,avg,0.7000000000000001,0.5,0.9692556634304207,0.7177177177177178,0.9958333333333333,0.8342059336823735,0.8572035341383697
31,avg,0.7000000000000001,0.75,0.9692556634304207,0.7177177177177178,0.9958333333333333,0.8342059336823735,0.8572035341383697
32,avg,0.8,0.0,0.9461165048543689,0.743421052631579,0.6108108108108108,0.6706231454005934,0.8572035341383697
33,avg,0.8,0.25,0.9655339805825243,0.72265625,1.0,0.8390022675736961,0.8572035341383697
34,avg,0.8,0.5,0.9660194174757282,0.7254901960784313,1.0,0.8409090909090909,0.8572035341383697
35,avg,0.8,0.75,0.9660194174757282,0.7254901960784313,1.0,0.8409090909090909,0.8572035341383697
36,avg,0.9,0.0,0.9339805825242719,0.7378640776699029,0.6495726495726496,0.6909090909090909,0.8572035341383697
37,avg,0.9,0.25,0.9611650485436893,0.7452229299363057,1.0,0.8540145985401459,0.8572035341383697
38,avg,0.9,0.5,0.9611650485436893,0.7452229299363057,1.0,0.8540145985401459,0.8572035341383697
39,avg,0.9,0.75,0.9611650485436893,0.7452229299363057,1.0,0.8540145985401459,0.8572035341383697
40,median,0.0,0.0,0.8978442416003107,0.608433734939759,0.26120689655172413,0.36550060313630883,0.873738644123911
41,median,0.0,0.25,0.899592153816275,0.5419440745672437,0.7017241379310345,0.6115702479338843,0.873738644123911
42,median,0.0,0.5,0.8976500291318703,0.533974358974359,0.718103448275862,0.6125,0.873738644123911
43,median,0.0,0.75,0.8976500291318703,0.533974358974359,0.718103448275862,0.6125,0.873738644123911
44,median,0.1,0.0,0.9176825979070018,0.672289156626506,0.3079470198675497,0.42240726722180166,0.873738644123911
45,median,0.1,0.25,0.9272844967094617,0.5961857379767828,0.7935982339955849,0.6808712121212122,0.873738644123911
46,median,0.1,0.5,0.9275002697162585,0.5960591133004927,0.8013245033112583,0.6836158192090396,0.873738644123911
47,median,0.1,0.75,0.9275002697162585,0.5960591133004927,0.8013245033112583,0.6836158192090396,0.873738644123911
48,median,0.2,0.0,0.9416191285350164,0.7121212121212122,0.3784219001610306,0.4942166140904311,0.873738644123911
49,median,0.2,0.25,0.9527855322247846,0.6374407582938388,0.8663446054750402,0.7344709897610922,0.873738644123911
50,median,0.2,0.5,0.9525427843184853,0.6356132075471698,0.8679549114331723,0.7338325391422736,0.873738644123911
51,median,0.2,0.75,0.9525427843184853,0.6356132075471698,0.8679549114331723,0.7338325391422736,0.873738644123911
52,median,0.3,0.0,0.9629629629629629,0.7309644670050761,0.4022346368715084,0.518918918918919,0.873738644123911
53,median,0.3,0.25,0.9732279095574976,0.6666666666666666,0.9217877094972067,0.7737397420867527,0.873738644123911
54,median,0.3,0.5,0.9728117630739354,0.6633064516129032,0.9189944134078212,0.7704918032786885,0.873738644123911
55,median,0.3,0.75,0.9728117630739354,0.6633064516129032,0.9189944134078212,0.7704918032786885,0.873738644123911
56,median,0.4,0.0,0.9789609969250688,0.72,0.41379310344827586,0.5255474452554745,0.873738644123911
57,median,0.4,0.25,0.9844635054215892,0.6598360655737705,0.9252873563218391,0.7703349282296651,0.873738644123911
58,median,0.4,0.5,0.9841398284512057,0.6557377049180327,0.9195402298850575,0.7655502392344498,0.873738644123911
59,median,0.4,0.75,0.9841398284512057,0.6557377049180327,0.9195402298850575,0.7655502392344498,0.873738644123911
60,median,0.5,0.0,0.9864051272091668,0.7758620689655172,0.4411764705882353,0.5625,0.873738644123911
61,median,0.5,0.25,0.988929889298893,0.6551724137931034,0.9313725490196079,0.7692307692307693,0.873738644123911
62,median,0.5,0.5,0.9885414643620121,0.6482758620689655,0.9215686274509803,0.7611336032388664,0.873738644123911
63,median,0.5,0.75,0.9885414643620121,0.6482758620689655,0.9215686274509803,0.7611336032388664,0.873738644123911
64,median,0.6,0.0,0.9888349514563107,0.7894736842105263,0.4411764705882353,0.5660377358490566,0.873738644123911
65,median,0.6,0.25,0.9919902912621359,0.6881720430107527,0.9411764705882353,0.7950310559006211,0.873738644123911
66,median,0.6,0.5,0.9912621359223301,0.6702127659574468,0.9264705882352942,0.7777777777777778,0.873738644123911
67,median,0.6,0.75,0.9912621359223301,0.6702127659574468,0.9264705882352942,0.7777777777777778,0.873738644123911
68,median,0.7000000000000001,0.0,0.9902912621359223,0.7272727272727273,0.4,0.5161290322580645,0.873738644123911
69,median,0.7000000000000001,0.25,0.9938511326860842,0.6981132075471698,0.925,0.7956989247311828,0.873738644123911
70,median,0.7000000000000001,0.5,0.9932038834951457,0.6792452830188679,0.9,0.7741935483870968,0.873738644123911
71,median,0.7000000000000001,0.75,0.9932038834951457,0.6792452830188679,0.9,0.7741935483870968,0.873738644123911
72,median,0.8,0.0,0.9902912621359223,0.75,0.34615384615384615,0.47368421052631576,0.873738644123911
73,median,0.8,0.25,0.9936893203883496,0.6857142857142857,0.9230769230769231,0.7868852459016393,0.873738644123911
74,median,0.8,0.5,0.9932038834951457,0.6764705882352942,0.8846153846153846,0.7666666666666667,0.873738644123911
75,median,0.8,0.75,0.9932038834951457,0.6764705882352942,0.8846153846153846,0.7666666666666667,0.873738644123911
76,median,0.9,0.0,0.9864077669902913,0.6666666666666666,0.13333333333333333,0.2222222222222222,0.873738644123911
77,median,0.9,0.25,0.9941747572815534,0.7368421052631579,0.9333333333333333,0.8235294117647058,0.873738644123911
78,median,0.9,0.5,0.9932038834951457,0.7222222222222222,0.8666666666666667,0.7878787878787878,0.873738644123911
79,median,0.9,0.75,0.9932038834951457,0.7222222222222222,0.8666666666666667,0.7878787878787878,0.873738644123911
80,min,0.0,0.0,0.8978442416003107,0.608433734939759,0.26120689655172413,0.36550060313630883,0.8060312756381268
81,min,0.0,0.25,0.899592153816275,0.5419440745672437,0.7017241379310345,0.6115702479338843,0.8060312756381268
82,min,0.0,0.5,0.8976500291318703,0.533974358974359,0.718103448275862,0.6125,0.8060312756381268
83,min,0.0,0.75,0.8976500291318703,0.533974358974359,0.718103448275862,0.6125,0.8060312756381268
84,min,0.1,0.0,0.8971841622613012,0.5995525727069351,0.2571976967370441,0.35997313633310946,0.8060312756381268
85,min,0.1,0.25,0.8983709137986838,0.5373134328358209,0.690978886756238,0.6045340050377834,0.8060312756381268
86,min,0.1,0.5,0.8976157082748948,0.5335740072202166,0.7092130518234165,0.6089822826534816,0.8060312756381268
87,min,0.1,0.75,0.8976157082748948,0.5335740072202166,0.7092130518234165,0.6089822826534816,0.8060312756381268
88,min,0.2,0.0,0.8945260347129506,0.6064356435643564,0.25654450261780104,0.36055923473142015,0.8060312756381268
89,min,0.2,0.25,0.8982886272605899,0.5483071841453344,0.6952879581151833,0.6131117266851339,0.8060312756381268
90,min,0.2,0.5,0.8974390095885423,0.5440705128205128,0.7109947643979058,0.616432137993645,0.8060312756381268
91,min,0.2,0.75,0.8974390095885423,0.5440705128205128,0.7109947643979058,0.616432137993645,0.8060312756381268
92,min,0.3,0.0,0.8959633791094466,0.6033519553072626,0.2621359223300971,0.36548223350253806,0.8060312756381268
93,min,0.3,0.25,0.8970731030656124,0.5385338345864662,0.6953883495145631,0.6069915254237288,0.8060312756381268
94,min,0.3,0.5,0.8961020946039673,0.5341219290263877,0.712378640776699,0.6105044201768071,0.8060312756381268
95,min,0.3,0.75,0.8961020946039673,0.5341219290263877,0.712378640776699,0.6105044201768071,0.8060312756381268
96,min,0.4,0.0,0.8972325619032205,0.6136363636363636,0.2680851063829787,0.37314906219151034,0.8060312756381268
97,min,0.4,0.25,0.8980417543291794,0.5412541254125413,0.6978723404255319,0.6096654275092936,0.8060312756381268
98,min,0.4,0.5,0.8964233694772616,0.5345377258235919,0.7134751773049646,0.6111786148238153,0.8060312756381268
99,min,0.4,0.75,0.8964233694772616,0.5345377258235919,0.7134751773049646,0.6111786148238153,0.8060312756381268
100,min,0.5,0.0,0.8943484171683822,0.6113207547169811,0.26865671641791045,0.37327188940092165,0.8060312756381268
101,min,0.5,0.25,0.8970673917265488,0.5480895915678524,0.6898839137645107,0.6108663729809104,0.8060312756381268
102,min,0.5,0.5,0.8955136919790251,0.5412960609911055,0.7064676616915423,0.6129496402877698,0.8060312756381268
103,min,0.5,0.75,0.8955136919790251,0.5412960609911055,0.7064676616915423,0.6129496402877698,0.8060312756381268
104,min,0.6,0.0,0.8980582524271845,0.6183574879227053,0.27292110874200426,0.378698224852071,0.8060312756381268
105,min,0.6,0.25,0.8983009708737864,0.5422297297297297,0.6844349680170576,0.6050895381715363,0.8060312756381268
106,min,0.6,0.5,0.8973300970873787,0.5374592833876222,0.7036247334754797,0.6094182825484764,0.8060312756381268
107,min,0.6,0.75,0.8973300970873787,0.5374592833876222,0.7036247334754797,0.6094182825484764,0.8060312756381268
108,min,0.7000000000000001,0.0,0.8951456310679612,0.5786163522012578,0.2636103151862464,0.36220472440944884,0.8060312756381268
109,min,0.7000000000000001,0.25,0.8935275080906149,0.5223214285714286,0.670487106017192,0.5872020075282308,0.8060312756381268
110,min,0.7000000000000001,0.5,0.8948220064724919,0.5262008733624454,0.6905444126074498,0.59727385377943,0.8060312756381268
111,min,0.7000000000000001,0.75,0.8948220064724919,0.5262008733624454,0.6905444126074498,0.59727385377943,0.8060312756381268
112,min,0.8,0.0,0.8878640776699029,0.5689655172413793,0.26720647773279355,0.36363636363636365,0.8060312756381268
113,min,0.8,0.25,0.8902912621359224,0.5335463258785943,0.6761133603238867,0.5964285714285714,0.8060312756381268
114,min,0.8,0.5,0.8922330097087379,0.5391849529780565,0.6963562753036437,0.607773851590106,0.8060312756381268
115,min,0.8,0.75,0.8922330097087379,0.5391849529780565,0.6963562753036437,0.607773851590106,0.8060312756381268
116,min,0.9,0.0,0.8844660194174757,0.5862068965517241,0.26356589147286824,0.36363636363636365,0.8060312756381268
117,min,0.9,0.25,0.8883495145631068,0.5421686746987951,0.6976744186046512,0.6101694915254238,0.8060312756381268
118,min,0.9,0.5,0.8922330097087379,0.5542168674698795,0.7131782945736435,0.6237288135593221,0.8060312756381268
119,min,0.9,0.75,0.8922330097087379,0.5542168674698795,0.7131782945736435,0.6237288135593221,0.8060312756381268
120,max,0.0,0.0,0.8978442416003107,0.608433734939759,0.26120689655172413,0.36550060313630883,0.8618256001019766
121,max,0.0,0.25,0.899592153816275,0.5419440745672437,0.7017241379310345,0.6115702479338843,0.8618256001019766
122,max,0.0,0.5,0.8976500291318703,0.533974358974359,0.718103448275862,0.6125,0.8618256001019766
123,max,0.0,0.75,0.8976500291318703,0.533974358974359,0.718103448275862,0.6125,0.8618256001019766
124,max,0.1,0.0,0.9091595641385263,0.6323851203501094,0.3001038421599169,0.4070422535211268,0.8618256001019766
125,max,0.1,0.25,0.9166037328730176,0.5725190839694656,0.778816199376947,0.6599208095028597,0.8618256001019766
126,max,0.1,0.5,0.9146617758118459,0.5633284241531664,0.794392523364486,0.6591986212839294,0.8618256001019766
127,max,0.1,0.75,0.9146617758118459,0.5633284241531664,0.794392523364486,0.6591986212839294,0.8618256001019766
128,max,0.2,0.0,0.9241412792814662,0.6734177215189874,0.34908136482939633,0.45980985306828004,0.8618256001019766
129,max,0.2,0.25,0.9355504308775336,0.6070435588507878,0.8595800524934383,0.7115697990222705,0.8618256001019766
130,max,0.2,0.5,0.9349435611117854,0.6021699819168174,0.8740157480314961,0.7130620985010707,0.8618256001019766
131,max,0.2,0.75,0.9349435611117854,0.6021699819168174,0.8740157480314961,0.7130620985010707,0.8618256001019766
132,max,0.3,0.0,0.9418782077958108,0.728125,0.41238938053097346,0.5265536723163842,0.8618256001019766
133,max,0.3,0.25,0.9535303093355528,0.6416256157635468,0.9221238938053097,0.756717501815541,0.8618256001019766
134,max,0.3,0.5,0.9526980163684283,0.635593220338983,0.9292035398230089,0.7548526240115025,0.8618256001019766
135,max,0.3,0.75,0.9526980163684283,0.635593220338983,0.9292035398230089,0.7548526240115025,0.8618256001019766
136,max,0.4,0.0,0.9537141932351513,0.7844827586206896,0.4354066985645933,0.56,0.8618256001019766
137,max,0.4,0.25,0.9681178184172197,0.6942003514938488,0.9449760765550239,0.8004052684903749,0.8618256001019766
138,max,0.4,0.5,0.9677941414468361,0.6904347826086956,0.9497607655502392,0.7995971802618328,0.8618256001019766
139,max,0.4,0.75,0.9677941414468361,0.6904347826086956,0.9497607655502392,0.7995971802618328,0.8618256001019766
140,max,0.5,0.0,0.9623227811225481,0.825136612021858,0.48242811501597443,0.6088709677419355,0.8618256001019766
141,max,0.5,0.25,0.9765002913187026,0.7330097087378641,0.9648562300319489,0.833103448275862,0.8618256001019766
142,max,0.5,0.5,0.9761118663818217,0.7283653846153846,0.9680511182108626,0.831275720164609,0.8618256001019766
143,max,0.5,0.75,0.9761118663818217,0.7283653846153846,0.9680511182108626,0.831275720164609,0.8618256001019766
144,max,0.6,0.0,0.9657766990291262,0.8248175182481752,0.49130434782608695,0.6158038147138964,0.8618256001019766
145,max,0.6,0.25,0.9803398058252427,0.752542372881356,0.9652173913043478,0.8457142857142858,0.8618256001019766
146,max,0.6,0.5,0.9798543689320388,0.7474747474747475,0.9652173913043478,0.8425047438330171,0.8618256001019766
147,max,0.6,0.75,0.9798543689320388,0.7474747474747475,0.9652173913043478,0.8425047438330171,0.8618256001019766
148,max,0.7000000000000001,0.0,0.9686084142394822,0.8404255319148937,0.4906832298136646,0.6196078431372549,0.8618256001019766
149,max,0.7000000000000001,0.25,0.9825242718446602,0.7661691542288557,0.9565217391304348,0.850828729281768,0.8618256001019766
150,max,0.7000000000000001,0.5,0.982200647249191,0.7623762376237624,0.9565217391304348,0.8484848484848485,0.8618256001019766
151,max,0.7000000000000001,0.75,0.982200647249191,0.7623762376237624,0.9565217391304348,0.8484848484848485,0.8618256001019766
152,max,0.8,0.0,0.9733009708737864,0.8181818181818182,0.5,0.6206896551724138,0.8618256001019766
153,max,0.8,0.25,0.9839805825242719,0.7478260869565218,0.9555555555555556,0.8390243902439024,0.8618256001019766
154,max,0.8,0.5,0.983495145631068,0.7413793103448276,0.9555555555555556,0.8349514563106796,0.8618256001019766
155,max,0.8,0.75,0.983495145631068,0.7413793103448276,0.9555555555555556,0.8349514563106796,0.8618256001019766
156,max,0.9,0.0,0.9970873786407767,0.0,0.0,0.0,0.8618256001019766
157,max,0.9,0.25,0.9990291262135922,1.0,0.6666666666666666,0.8,0.8618256001019766
158,max,0.9,0.5,0.9990291262135922,1.0,0.6666666666666666,0.8,0.8618256001019766
159,max,0.9,0.75,0.9990291262135922,1.0,0.6666666666666666,0.8,0.8618256001019766
