,Method,Rejection Rate,Accuracy,Precision,Recall,F1-Score
0,avg,0.0,0.9010487473295785,0.5485871812543074,0.6862068965517242,0.609728073535044
1,avg,0.05,0.9158830744071954,0.5740181268882175,0.745829244357213,0.6487409304310713
2,avg,0.1,0.9282554752400475,0.5972927241962775,0.788826815642458,0.6798266730861819
3,avg,0.15,0.9369431117203564,0.6093457943925233,0.8295165394402035,0.7025862068965517
4,avg,0.2,0.9446534773637577,0.6247401247401247,0.8635057471264368,0.7249698431845597
5,avg,0.25,0.9520973588814086,0.6336056009334889,0.9065108514190318,0.7458791208791209
6,avg,0.3,0.9586627826328201,0.6516556291390728,0.9335863377609108,0.7675507020280812
7,avg,0.35000000000000003,0.9629518972213923,0.6646433990895296,0.9419354838709677,0.7793594306049823
8,avg,0.4,0.9682796569024114,0.6845753899480069,0.9657701711491442,0.8012170385395537
9,avg,0.45,0.9699858757062146,0.6859344894026975,0.9807162534435262,0.8072562358276644
10,avg,0.5,0.9708681297339289,0.6896551724137931,0.9815950920245399,0.810126582278481
11,avg,0.55,0.9706580366774542,0.6955503512880562,0.9801980198019802,0.8136986301369863
12,avg,0.6,0.9703883495145631,0.7045454545454546,0.9823943661971831,0.8205882352941176
13,avg,0.65,0.970873786407767,0.7134986225895317,0.9961538461538462,0.8314606741573034
14,avg,0.7000000000000001,0.9689320388349515,0.7155688622754491,0.9958333333333333,0.8327526132404182
15,avg,0.75,0.967378640776699,0.7186440677966102,0.9953051643192489,0.8346456692913385
16,avg,0.8,0.9655339805825243,0.72265625,1.0,0.8390022675736961
17,avg,0.85,0.9644012944983819,0.7342995169082126,1.0,0.8467966573816156
18,avg,0.9,0.9611650485436893,0.7452229299363057,1.0,0.8540145985401459
19,avg,0.9500000000000001,0.9611650485436893,0.801980198019802,1.0,0.8901098901098901
20,median,0.0,0.9010487473295785,0.5485871812543074,0.6862068965517242,0.609728073535044
21,median,0.05,0.9150654129190515,0.573373676248109,0.7395121951219512,0.6459309757136771
22,median,0.1,0.9273923832128601,0.5988125530110263,0.7792494481236203,0.6772182254196643
23,median,0.15,0.9402558830249029,0.6224390243902439,0.8242894056847545,0.7092829349638688
24,median,0.2,0.9531496540842336,0.6397146254458977,0.8663446054750402,0.7359781121751026
25,median,0.25,0.9633609528741585,0.6562962962962963,0.8967611336032388,0.757912745936698
26,median,0.3,0.9730891940629768,0.6653225806451613,0.9217877094972067,0.7728337236533958
27,median,0.35000000000000003,0.981177173588288,0.6878612716763006,0.9296875,0.7906976744186046
28,median,0.4,0.9841398284512057,0.6544715447154471,0.9252873563218391,0.7666666666666667
29,median,0.45,0.987111581920904,0.6467391304347826,0.937007874015748,0.7652733118971061
30,median,0.5,0.9885414643620121,0.6462585034013606,0.9313725490196079,0.7630522088353414
31,median,0.55,0.9898597626752966,0.6410256410256411,0.9375,0.7614213197969543
32,median,0.6,0.991504854368932,0.6736842105263158,0.9411764705882353,0.7852760736196319
33,median,0.65,0.991123439667129,0.6419753086419753,0.9454545454545454,0.7647058823529411
34,median,0.7000000000000001,0.9935275080906149,0.6851851851851852,0.925,0.7872340425531915
35,median,0.75,0.9941747572815534,0.7,0.9032258064516129,0.7887323943661971
36,median,0.8,0.9936893203883496,0.6857142857142857,0.9230769230769231,0.7868852459016393
37,median,0.85,0.9954692556634305,0.7692307692307693,0.9523809523809523,0.851063829787234
38,median,0.9,0.9941747572815534,0.7368421052631579,0.9333333333333333,0.8235294117647058
39,median,0.9500000000000001,0.9941747572815534,0.8666666666666667,0.9285714285714286,0.896551724137931
40,min,0.0,0.9010487473295785,0.5485871812543074,0.6862068965517242,0.609728073535044
41,min,0.05,0.9001430907604252,0.5449927431059507,0.6821071752951862,0.6058894715611134
42,min,0.1,0.9003128708598555,0.5455246913580247,0.6785028790786948,0.6047904191616766
43,min,0.15,0.9000456933973041,0.5507717303005687,0.678,0.6077991931869117
44,min,0.2,0.900351984464134,0.5571672354948806,0.6837696335078534,0.614010343206394
45,min,0.25,0.9005696530295184,0.556672760511883,0.6827354260089686,0.6132930513595166
46,min,0.3,0.8995699819669857,0.5487329434697856,0.683252427184466,0.6086486486486486
47,min,0.35000000000000003,0.9005079175380938,0.5525210084033614,0.6866840731070496,0.6123399301513388
48,min,0.4,0.8999838161514808,0.5496009122006842,0.6836879432624113,0.6093552465233881
49,min,0.45,0.8983050847457628,0.5515970515970516,0.6803030303030303,0.6092265943012212
50,min,0.5,0.8984268790056321,0.5546448087431693,0.6733001658374793,0.6082397003745318
51,min,0.55,0.9007551240560949,0.558641975308642,0.6753731343283582,0.6114864864864865
52,min,0.6,0.900242718446602,0.5508771929824562,0.6695095948827292,0.6044273339749759
53,min,0.65,0.8995839112343966,0.5456389452332657,0.6609336609336609,0.5977777777777777
54,min,0.7000000000000001,0.8964401294498382,0.5336426914153132,0.6590257879656161,0.5897435897435898
55,min,0.75,0.8943689320388349,0.5388739946380697,0.6677740863787376,0.5964391691394659
56,min,0.8,0.8927184466019418,0.5427631578947368,0.6680161943319838,0.5989110707803993
57,min,0.85,0.8867313915857605,0.5439330543933054,0.6632653061224489,0.5977011494252874
58,min,0.9,0.8922330097087379,0.5555555555555556,0.6976744186046512,0.6185567010309279
59,min,0.9500000000000001,0.9009708737864077,0.6025641025641025,0.7014925373134329,0.6482758620689655
60,max,0.0,0.9010487473295785,0.5485871812543074,0.6862068965517242,0.609728073535044
61,max,0.05,0.9054578904333606,0.556989247311828,0.716789667896679,0.6268656716417911
62,max,0.1,0.9171431653900097,0.5763508222396241,0.7642782969885774,0.6571428571428571
63,max,0.15,0.9260909298606351,0.5943877551020408,0.8043728423475259,0.6836185819070905
64,max,0.2,0.9355504308775336,0.6090651558073654,0.8464566929133859,0.7084019769357496
65,max,0.25,0.944847229414811,0.6293103448275862,0.8768768768768769,0.7327478042659975
66,max,0.3,0.9532528783465113,0.6417910447761194,0.9132743362831859,0.7538349159970782
67,max,0.35000000000000003,0.962204959665372,0.6736526946107785,0.9278350515463918,0.7805724197745013
68,max,0.4,0.9676323029616443,0.6925795053003534,0.937799043062201,0.7967479674796748
69,max,0.45,0.973340395480226,0.7176220806794055,0.949438202247191,0.8174123337363967
70,max,0.5,0.9761118663818217,0.7305825242718447,0.9616613418530351,0.8303448275862069
71,max,0.55,0.9779935275080907,0.7401129943502824,0.9632352941176471,0.8370607028753994
72,max,0.6,0.9798543689320388,0.7474747474747475,0.9652173913043478,0.8425047438330171
73,max,0.65,0.9805825242718447,0.7519685039370079,0.9646464646464646,0.8451327433628318
74,max,0.7000000000000001,0.9818770226537217,0.7586206896551724,0.9565217391304348,0.8461538461538461
75,max,0.75,0.9825242718446602,0.7484276729559748,0.9596774193548387,0.8409893992932862
76,max,0.8,0.983495145631068,0.7413793103448276,0.9555555555555556,0.8349514563106796
77,max,0.85,0.9928802588996763,0.8043478260869565,0.9487179487179487,0.8705882352941177
78,max,0.9,0.9990291262135922,1.0,0.6666666666666666,0.8
79,max,0.9500000000000001,1.0,0.0,0.0,0.0
