,Model,Method,Rejection Rate,Accuracy,Precision,Recall,F1-Score,AU-ARC
0,Decision_Tree,min,0.0,0.8113207547169812,0.6857142857142857,0.8089887640449438,0.7422680412371134,0.7961607843372184
1,Decision_Tree,min,0.05,0.8095238095238095,0.6836734693877551,0.7976190476190477,0.7362637362637363,0.7961607843372184
2,Decision_Tree,min,0.1,0.803347280334728,0.6842105263157895,0.7926829268292683,0.7344632768361582,0.7961607843372184
3,Decision_Tree,min,0.15,0.8053097345132744,0.6853932584269663,0.7922077922077922,0.7349397590361446,0.7961607843372184
4,Decision_Tree,min,0.2,0.8018867924528302,0.6666666666666666,0.8,0.7272727272727273,0.7961607843372184
5,Decision_Tree,min,0.25,0.7989949748743719,0.6538461538461539,0.796875,0.7183098591549296,0.7961607843372184
6,Decision_Tree,min,0.3,0.8064516129032258,0.6575342465753424,0.8135593220338984,0.7272727272727273,0.7961607843372184
7,Decision_Tree,min,0.35000000000000003,0.7976878612716763,0.647887323943662,0.8214285714285714,0.7244094488188977,0.7961607843372184
8,Decision_Tree,min,0.4,0.8113207547169812,0.6825396825396826,0.8113207547169812,0.7413793103448276,0.7961607843372184
9,Decision_Tree,min,0.45,0.821917808219178,0.6779661016949152,0.851063829787234,0.7547169811320755,0.7961607843372184
10,Decision_Tree,min,0.5,0.8195488721804511,0.6727272727272727,0.8604651162790697,0.7551020408163265,0.7961607843372184
11,Decision_Tree,min,0.55,0.8583333333333333,0.7446808510638298,0.875,0.8045977011494253,0.7961607843372184
12,Decision_Tree,min,0.6,0.8584905660377359,0.725,0.8787878787878788,0.7945205479452054,0.7961607843372184
13,Decision_Tree,min,0.65,0.8494623655913979,0.7222222222222222,0.8666666666666667,0.7878787878787878,0.7961607843372184
14,Decision_Tree,min,0.7000000000000001,0.8625,0.7586206896551724,0.8461538461538461,0.8,0.7961607843372184
15,Decision_Tree,min,0.75,0.9253731343283582,0.8695652173913043,0.9090909090909091,0.8888888888888888,0.7961607843372184
16,Decision_Tree,min,0.8,0.9056603773584906,0.8333333333333334,0.8823529411764706,0.8571428571428571,0.7961607843372184
