,Method,Rejection Rate,Selection Threshold,Accuracy,Precision,Recall,F1-Score,AU-ARC
0,avg,0.0,0.0,0.8716981132075472,0.7722772277227723,0.8764044943820225,0.8210526315789474,0.8565515673493229
1,avg,0.0,0.25,0.8716981132075472,0.7722772277227723,0.8764044943820225,0.8210526315789474,0.8565515673493229
2,avg,0.0,0.5,0.8830188679245283,0.7959183673469388,0.8764044943820225,0.8342245989304813,0.8565515673493229
3,avg,0.0,0.75,0.8943396226415095,0.8279569892473119,0.8651685393258427,0.8461538461538461,0.8565515673493229
4,avg,0.1,0.0,0.895397489539749,0.797752808988764,0.9102564102564102,0.8502994011976048,0.8565515673493229
5,avg,0.1,0.25,0.895397489539749,0.797752808988764,0.9102564102564102,0.8502994011976048,0.8565515673493229
6,avg,0.1,0.5,0.899581589958159,0.8068181818181818,0.9102564102564102,0.8554216867469879,0.8565515673493229
7,avg,0.1,0.75,0.9079497907949791,0.8255813953488372,0.9102564102564102,0.8658536585365854,0.8565515673493229
8,avg,0.2,0.0,0.9198113207547169,0.84,0.9264705882352942,0.8811188811188811,0.8565515673493229
9,avg,0.2,0.25,0.9198113207547169,0.84,0.9264705882352942,0.8811188811188811,0.8565515673493229
10,avg,0.2,0.5,0.9198113207547169,0.84,0.9264705882352942,0.8811188811188811,0.8565515673493229
11,avg,0.2,0.75,0.9198113207547169,0.84,0.9264705882352942,0.8811188811188811,0.8565515673493229
12,avg,0.3,0.0,0.9516129032258065,0.890625,0.9661016949152542,0.926829268292683,0.8565515673493229
13,avg,0.3,0.25,0.9516129032258065,0.890625,0.9661016949152542,0.926829268292683,0.8565515673493229
14,avg,0.3,0.5,0.9516129032258065,0.890625,0.9661016949152542,0.926829268292683,0.8565515673493229
15,avg,0.3,0.75,0.9516129032258065,0.890625,0.9661016949152542,0.926829268292683,0.8565515673493229
16,avg,0.4,0.0,0.9622641509433962,0.9148936170212766,0.9555555555555556,0.9347826086956522,0.8565515673493229
17,avg,0.4,0.25,0.9622641509433962,0.9148936170212766,0.9555555555555556,0.9347826086956522,0.8565515673493229
18,avg,0.4,0.5,0.9622641509433962,0.9148936170212766,0.9555555555555556,0.9347826086956522,0.8565515673493229
19,avg,0.4,0.75,0.9622641509433962,0.9148936170212766,0.9555555555555556,0.9347826086956522,0.8565515673493229
20,avg,0.5,0.0,0.9548872180451128,0.8857142857142857,0.9393939393939394,0.9117647058823529,0.8565515673493229
21,avg,0.5,0.25,0.9548872180451128,0.8857142857142857,0.9393939393939394,0.9117647058823529,0.8565515673493229
22,avg,0.5,0.5,0.9548872180451128,0.8857142857142857,0.9393939393939394,0.9117647058823529,0.8565515673493229
23,avg,0.5,0.75,0.9548872180451128,0.8857142857142857,0.9393939393939394,0.9117647058823529,0.8565515673493229
24,avg,0.6,0.0,0.9622641509433962,0.8888888888888888,0.96,0.9230769230769231,0.8565515673493229
25,avg,0.6,0.25,0.9622641509433962,0.8888888888888888,0.96,0.9230769230769231,0.8565515673493229
26,avg,0.6,0.5,0.9622641509433962,0.8888888888888888,0.96,0.9230769230769231,0.8565515673493229
27,avg,0.6,0.75,0.9622641509433962,0.8888888888888888,0.96,0.9230769230769231,0.8565515673493229
28,avg,0.7000000000000001,0.0,0.975,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.8565515673493229
29,avg,0.7000000000000001,0.25,0.975,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.8565515673493229
30,avg,0.7000000000000001,0.5,0.975,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.8565515673493229
31,avg,0.7000000000000001,0.75,0.975,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.8565515673493229
32,avg,0.8,0.0,1.0,1.0,1.0,1.0,0.8565515673493229
33,avg,0.8,0.25,1.0,1.0,1.0,1.0,0.8565515673493229
34,avg,0.8,0.5,1.0,1.0,1.0,1.0,0.8565515673493229
35,avg,0.8,0.75,1.0,1.0,1.0,1.0,0.8565515673493229
36,avg,0.9,0.0,1.0,1.0,1.0,1.0,0.8565515673493229
37,avg,0.9,0.25,1.0,1.0,1.0,1.0,0.8565515673493229
38,avg,0.9,0.5,1.0,1.0,1.0,1.0,0.8565515673493229
39,avg,0.9,0.75,1.0,1.0,1.0,1.0,0.8565515673493229
40,median,0.0,0.0,0.8716981132075472,0.7722772277227723,0.8764044943820225,0.8210526315789474,0.8561990936028766
41,median,0.0,0.25,0.8716981132075472,0.7722772277227723,0.8764044943820225,0.8210526315789474,0.8561990936028766
42,median,0.0,0.5,0.8830188679245283,0.7959183673469388,0.8764044943820225,0.8342245989304813,0.8561990936028766
43,median,0.0,0.75,0.8943396226415095,0.8279569892473119,0.8651685393258427,0.8461538461538461,0.8561990936028766
44,median,0.1,0.0,0.891213389121339,0.8,0.9,0.8470588235294118,0.8561990936028766
45,median,0.1,0.25,0.891213389121339,0.8,0.9,0.8470588235294118,0.8561990936028766
46,median,0.1,0.5,0.895397489539749,0.8089887640449438,0.9,0.8520710059171598,0.8561990936028766
47,median,0.1,0.75,0.9037656903765691,0.8202247191011236,0.9125,0.863905325443787,0.8561990936028766
48,median,0.2,0.0,0.9245283018867925,0.8533333333333334,0.927536231884058,0.8888888888888888,0.8561990936028766
49,median,0.2,0.25,0.9245283018867925,0.8533333333333334,0.927536231884058,0.8888888888888888,0.8561990936028766
50,median,0.2,0.5,0.9245283018867925,0.8533333333333334,0.927536231884058,0.8888888888888888,0.8561990936028766
51,median,0.2,0.75,0.9245283018867925,0.8533333333333334,0.927536231884058,0.8888888888888888,0.8561990936028766
52,median,0.3,0.0,0.956989247311828,0.9166666666666666,0.9482758620689655,0.9322033898305084,0.8561990936028766
53,median,0.3,0.25,0.956989247311828,0.9166666666666666,0.9482758620689655,0.9322033898305084,0.8561990936028766
54,median,0.3,0.5,0.956989247311828,0.9166666666666666,0.9482758620689655,0.9322033898305084,0.8561990936028766
55,median,0.3,0.75,0.956989247311828,0.9166666666666666,0.9482758620689655,0.9322033898305084,0.8561990936028766
56,median,0.4,0.0,0.9622641509433962,0.9148936170212766,0.9555555555555556,0.9347826086956522,0.8561990936028766
57,median,0.4,0.25,0.9622641509433962,0.9148936170212766,0.9555555555555556,0.9347826086956522,0.8561990936028766
58,median,0.4,0.5,0.9622641509433962,0.9148936170212766,0.9555555555555556,0.9347826086956522,0.8561990936028766
59,median,0.4,0.75,0.9622641509433962,0.9148936170212766,0.9555555555555556,0.9347826086956522,0.8561990936028766
60,median,0.5,0.0,0.9548872180451128,0.8857142857142857,0.9393939393939394,0.9117647058823529,0.8561990936028766
61,median,0.5,0.25,0.9548872180451128,0.8857142857142857,0.9393939393939394,0.9117647058823529,0.8561990936028766
62,median,0.5,0.5,0.9548872180451128,0.8857142857142857,0.9393939393939394,0.9117647058823529,0.8561990936028766
63,median,0.5,0.75,0.9548872180451128,0.8857142857142857,0.9393939393939394,0.9117647058823529,0.8561990936028766
64,median,0.6,0.0,0.9528301886792453,0.84,0.9545454545454546,0.8936170212765957,0.8561990936028766
65,median,0.6,0.25,0.9528301886792453,0.84,0.9545454545454546,0.8936170212765957,0.8561990936028766
