,Method,Rejection Rate,Accuracy,Precision,Recall,F1-Score,AU-ARC
0,avg,0.0,0.8830188679245283,0.8152173913043478,0.8426966292134831,0.8287292817679558,0.9043362522757671
1,avg,0.05,0.8888888888888888,0.8111111111111111,0.8690476190476191,0.8390804597701149,0.9043362522757671
2,avg,0.1,0.891213389121339,0.8160919540229885,0.8765432098765432,0.8452380952380952,0.9043362522757671
3,avg,0.15,0.8982300884955752,0.813953488372093,0.9090909090909091,0.8588957055214724,0.9043362522757671
4,avg,0.2,0.9339622641509434,0.8701298701298701,0.9436619718309859,0.9054054054054054,0.9043362522757671
5,avg,0.25,0.9346733668341709,0.8591549295774648,0.953125,0.9037037037037037,0.9043362522757671
6,avg,0.3,0.9408602150537635,0.875,0.9491525423728814,0.9105691056910569,0.9043362522757671
7,avg,0.35000000000000003,0.953757225433526,0.9107142857142857,0.9444444444444444,0.9272727272727272,0.9043362522757671
8,avg,0.4,0.9622641509433962,0.9183673469387755,0.9574468085106383,0.9375,0.9043362522757671
9,avg,0.45,0.958904109589041,0.9090909090909091,0.9523809523809523,0.9302325581395349,0.9043362522757671
10,avg,0.5,0.9548872180451128,0.9,0.9473684210526315,0.9230769230769231,0.9043362522757671
11,avg,0.55,0.9666666666666667,0.9393939393939394,0.9393939393939394,0.9393939393939394,0.9043362522757671
12,avg,0.6,0.9811320754716981,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9043362522757671
13,avg,0.65,0.978494623655914,0.95,0.95,0.95,0.9043362522757671
14,avg,0.7000000000000001,0.975,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9043362522757671
15,avg,0.75,0.9701492537313433,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9043362522757671
16,avg,0.8,0.9811320754716981,0.9090909090909091,1.0,0.9523809523809523,0.9043362522757671
17,avg,0.85,0.975,0.875,1.0,0.9333333333333333,0.9043362522757671
18,avg,0.9,1.0,1.0,1.0,1.0,0.9043362522757671
19,avg,0.9500000000000001,1.0,0.0,0.0,0.0,0.9043362522757671
20,median,0.0,0.8830188679245283,0.8152173913043478,0.8426966292134831,0.8287292817679558,0.9034963952074622
21,median,0.05,0.8888888888888888,0.8111111111111111,0.8690476190476191,0.8390804597701149,0.9034963952074622
22,median,0.1,0.891213389121339,0.813953488372093,0.875,0.8433734939759037,0.9034963952074622
23,median,0.15,0.8982300884955752,0.8313253012048193,0.8846153846153846,0.8571428571428571,0.9034963952074622
24,median,0.2,0.9292452830188679,0.8701298701298701,0.9305555555555556,0.8993288590604027,0.9034963952074622
25,median,0.25,0.9346733668341709,0.8714285714285714,0.9384615384615385,0.9037037037037037,0.9034963952074622
26,median,0.3,0.946236559139785,0.890625,0.95,0.9193548387096774,0.9034963952074622
27,median,0.35000000000000003,0.953757225433526,0.9122807017543859,0.9454545454545454,0.9285714285714286,0.9034963952074622
28,median,0.4,0.949685534591195,0.9038461538461539,0.94,0.9215686274509803,0.9034963952074622
29,median,0.45,0.952054794520548,0.9111111111111111,0.9318181818181818,0.9213483146067416,0.9034963952074622
