,Method,Rejection Rate,Accuracy,Precision,Recall,F1-Score,AU-ARC
0,avg,0.0,0.8867924528301887,0.8041237113402062,0.8764044943820225,0.8387096774193549,0.8530470850818784
1,avg,0.1,0.895397489539749,0.7931034482758621,0.9078947368421053,0.8466257668711656,0.8530470850818784
2,avg,0.2,0.9198113207547169,0.8289473684210527,0.9402985074626866,0.8811188811188811,0.8530470850818784
3,avg,0.3,0.9301075268817204,0.8333333333333334,0.9649122807017544,0.8943089430894309,0.8530470850818784
4,avg,0.4,0.9371069182389937,0.8461538461538461,0.9565217391304348,0.8979591836734694,0.8530470850818784
5,avg,0.5,0.9548872180451128,0.8974358974358975,0.9459459459459459,0.9210526315789473,0.8530470850818784
6,avg,0.6,0.9622641509433962,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.8530470850818784
7,avg,0.7000000000000001,0.9875,0.9333333333333333,1.0,0.9655172413793104,0.8530470850818784
8,avg,0.8,1.0,1.0,1.0,1.0,0.8530470850818784
9,avg,0.9,1.0,1.0,1.0,1.0,0.8530470850818784
10,median,0.0,0.8867924528301887,0.8041237113402062,0.8764044943820225,0.8387096774193549,0.850937123629251
11,median,0.1,0.895397489539749,0.797752808988764,0.9102564102564102,0.8502994011976048,0.850937123629251
12,median,0.2,0.910377358490566,0.810126582278481,0.9411764705882353,0.8707482993197279,0.850937123629251
13,median,0.3,0.9247311827956989,0.8260869565217391,0.9661016949152542,0.890625,0.850937123629251
14,median,0.4,0.9308176100628931,0.8333333333333334,0.9574468085106383,0.8910891089108911,0.850937123629251
15,median,0.5,0.9548872180451128,0.8918918918918919,0.9428571428571428,0.9166666666666666,0.850937123629251
16,median,0.6,0.9622641509433962,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.850937123629251
17,median,0.7000000000000001,0.9875,0.9285714285714286,1.0,0.9629629629629629,0.850937123629251
18,median,0.8,1.0,1.0,1.0,1.0,0.850937123629251
19,median,0.9,1.0,0.0,0.0,0.0,0.850937123629251
20,min,0.0,0.8867924528301887,0.8041237113402062,0.8764044943820225,0.8387096774193549,0.8163226847504919
21,min,0.1,0.8870292887029289,0.8,0.8888888888888888,0.8421052631578947,0.8163226847504919
22,min,0.2,0.8773584905660378,0.7901234567901234,0.8767123287671232,0.8311688311688312,0.8163226847504919
23,min,0.3,0.8763440860215054,0.8082191780821918,0.8676470588235294,0.8368794326241135,0.8163226847504919
24,min,0.4,0.89937106918239,0.847457627118644,0.8771929824561403,0.8620689655172413,0.8163226847504919
25,min,0.5,0.9022556390977443,0.88,0.8627450980392157,0.8712871287128713,0.8163226847504919
26,min,0.6,0.9150943396226415,0.9210526315789473,0.8536585365853658,0.8860759493670886,0.8163226847504919
27,min,0.7000000000000001,0.9375,0.9629629629629629,0.8666666666666667,0.9122807017543859,0.8163226847504919
28,min,0.8,0.9433962264150944,1.0,0.8571428571428571,0.9230769230769231,0.8163226847504919
29,min,0.9,0.9629629629629629,1.0,0.9,0.9473684210526315,0.8163226847504919
30,max,0.0,0.8867924528301887,0.8041237113402062,0.8764044943820225,0.8387096774193549,0.8492966413856006
31,max,0.1,0.899581589958159,0.797752808988764,0.922077922077922,0.8554216867469879,0.8492966413856006
32,max,0.2,0.9150943396226415,0.825,0.9428571428571428,0.88,0.8492966413856006
33,max,0.3,0.9301075268817204,0.8428571428571429,0.9672131147540983,0.9007633587786259,0.8492966413856006
34,max,0.4,0.9371069182389937,0.8392857142857143,0.9791666666666666,0.9038461538461539,0.8492966413856006
35,max,0.5,0.9398496240601504,0.851063829787234,0.975609756097561,0.9090909090909091,0.8492966413856006
36,max,0.6,0.9528301886792453,0.875,0.9655172413793104,0.9180327868852459,0.8492966413856006
37,max,0.7000000000000001,0.975,0.875,1.0,0.9333333333333333,0.8492966413856006
38,max,0.8,1.0,1.0,1.0,1.0,0.8492966413856006
39,max,0.9,1.0,0.0,0.0,0.0,0.8492966413856006
