,Method,Rejection Rate,Rejection Threshold,Accuracy,Precision,Recall,F1-Score,AU-ARC
0,avg,0.0,0.0,0.8301886792452831,0.7156862745098039,0.8202247191011236,0.7643979057591623,0.8475024770927975
1,avg,0.0,0.25,0.8641509433962264,0.7623762376237624,0.8651685393258427,0.8105263157894737,0.8475024770927975
2,avg,0.0,0.5,0.8716981132075472,0.7722772277227723,0.8764044943820225,0.8210526315789474,0.8475024770927975
3,avg,0.0,0.75,0.8716981132075472,0.7722772277227723,0.8764044943820225,0.8210526315789474,0.8475024770927975
4,avg,0.1,0.0,0.8619246861924686,0.7529411764705882,0.8421052631578947,0.7950310559006211,0.8475024770927975
5,avg,0.1,0.25,0.895397489539749,0.7931034482758621,0.9078947368421053,0.8466257668711656,0.8475024770927975
6,avg,0.1,0.5,0.891213389121339,0.7840909090909091,0.9078947368421053,0.8414634146341463,0.8475024770927975
7,avg,0.1,0.75,0.891213389121339,0.7840909090909091,0.9078947368421053,0.8414634146341463,0.8475024770927975
8,avg,0.2,0.0,0.8820754716981132,0.7916666666666666,0.8507462686567164,0.8201438848920863,0.8475024770927975
9,avg,0.2,0.25,0.9198113207547169,0.8289473684210527,0.9402985074626866,0.8811188811188811,0.8475024770927975
10,avg,0.2,0.5,0.9198113207547169,0.8289473684210527,0.9402985074626866,0.8811188811188811,0.8475024770927975
11,avg,0.2,0.75,0.9198113207547169,0.8289473684210527,0.9402985074626866,0.8811188811188811,0.8475024770927975
12,avg,0.3,0.0,0.8978494623655914,0.8064516129032258,0.8771929824561403,0.8403361344537815,0.8475024770927975
13,avg,0.3,0.25,0.9301075268817204,0.8333333333333334,0.9649122807017544,0.8943089430894309,0.8475024770927975
14,avg,0.3,0.5,0.9301075268817204,0.8333333333333334,0.9649122807017544,0.8943089430894309,0.8475024770927975
15,avg,0.3,0.75,0.9301075268817204,0.8333333333333334,0.9649122807017544,0.8943089430894309,0.8475024770927975
16,avg,0.4,0.0,0.9119496855345912,0.82,0.8913043478260869,0.8541666666666666,0.8475024770927975
17,avg,0.4,0.25,0.9371069182389937,0.8461538461538461,0.9565217391304348,0.8979591836734694,0.8475024770927975
18,avg,0.4,0.5,0.9371069182389937,0.8461538461538461,0.9565217391304348,0.8979591836734694,0.8475024770927975
19,avg,0.4,0.75,0.9371069182389937,0.8461538461538461,0.9565217391304348,0.8979591836734694,0.8475024770927975
20,avg,0.5,0.0,0.924812030075188,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8475024770927975
21,avg,0.5,0.25,0.9548872180451128,0.8974358974358975,0.9459459459459459,0.9210526315789473,0.8475024770927975
22,avg,0.5,0.5,0.9548872180451128,0.8974358974358975,0.9459459459459459,0.9210526315789473,0.8475024770927975
23,avg,0.5,0.75,0.9548872180451128,0.8974358974358975,0.9459459459459459,0.9210526315789473,0.8475024770927975
24,avg,0.6,0.0,0.9622641509433962,0.9583333333333334,0.8846153846153846,0.92,0.8475024770927975
25,avg,0.6,0.25,0.9622641509433962,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.8475024770927975
26,avg,0.6,0.5,0.9622641509433962,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.8475024770927975
27,avg,0.6,0.75,0.9622641509433962,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.8475024770927975
28,avg,0.7000000000000001,0.0,0.9875,0.9333333333333333,1.0,0.9655172413793104,0.8475024770927975
29,avg,0.7000000000000001,0.25,0.9875,0.9333333333333333,1.0,0.9655172413793104,0.8475024770927975
30,avg,0.7000000000000001,0.5,0.9875,0.9333333333333333,1.0,0.9655172413793104,0.8475024770927975
31,avg,0.7000000000000001,0.75,0.9875,0.9333333333333333,1.0,0.9655172413793104,0.8475024770927975
32,avg,0.8,0.0,1.0,1.0,1.0,1.0,0.8475024770927975
33,avg,0.8,0.25,1.0,1.0,1.0,1.0,0.8475024770927975
34,avg,0.8,0.5,1.0,1.0,1.0,1.0,0.8475024770927975
35,avg,0.8,0.75,1.0,1.0,1.0,1.0,0.8475024770927975
36,avg,0.9,0.0,1.0,1.0,1.0,1.0,0.8475024770927975
37,avg,0.9,0.25,1.0,1.0,1.0,1.0,0.8475024770927975
38,avg,0.9,0.5,1.0,1.0,1.0,1.0,0.8475024770927975
39,avg,0.9,0.75,1.0,1.0,1.0,1.0,0.8475024770927975
40,median,0.0,0.0,0.8301886792452831,0.7156862745098039,0.8202247191011236,0.7643979057591623,0.8452935953205796
41,median,0.0,0.25,0.8641509433962264,0.7623762376237624,0.8651685393258427,0.8105263157894737,0.8452935953205796
42,median,0.0,0.5,0.8716981132075472,0.7722772277227723,0.8764044943820225,0.8210526315789474,0.8452935953205796
43,median,0.0,0.75,0.8716981132075472,0.7722772277227723,0.8764044943820225,0.8210526315789474,0.8452935953205796
44,median,0.1,0.0,0.8577405857740585,0.7558139534883721,0.8333333333333334,0.7926829268292683,0.8452935953205796
45,median,0.1,0.25,0.895397489539749,0.797752808988764,0.9102564102564102,0.8502994011976048,0.8452935953205796
46,median,0.1,0.5,0.891213389121339,0.7888888888888889,0.9102564102564102,0.8452380952380952,0.8452935953205796
47,median,0.1,0.75,0.891213389121339,0.7888888888888889,0.9102564102564102,0.8452380952380952,0.8452935953205796
48,median,0.2,0.0,0.8726415094339622,0.7733333333333333,0.8529411764705882,0.8111888111888111,0.8452935953205796
49,median,0.2,0.25,0.910377358490566,0.810126582278481,0.9411764705882353,0.8707482993197279,0.8452935953205796
50,median,0.2,0.5,0.910377358490566,0.810126582278481,0.9411764705882353,0.8707482993197279,0.8452935953205796
51,median,0.2,0.75,0.910377358490566,0.810126582278481,0.9411764705882353,0.8707482993197279,0.8452935953205796
52,median,0.3,0.0,0.8870967741935484,0.796875,0.864406779661017,0.8292682926829268,0.8452935953205796
53,median,0.3,0.25,0.9247311827956989,0.8260869565217391,0.9661016949152542,0.890625,0.8452935953205796
54,median,0.3,0.5,0.9247311827956989,0.8260869565217391,0.9661016949152542,0.890625,0.8452935953205796
55,median,0.3,0.75,0.9247311827956989,0.8260869565217391,0.9661016949152542,0.890625,0.8452935953205796
56,median,0.4,0.0,0.9056603773584906,0.82,0.8723404255319149,0.845360824742268,0.8452935953205796
57,median,0.4,0.25,0.9308176100628931,0.8333333333333334,0.9574468085106383,0.8910891089108911,0.8452935953205796
58,median,0.4,0.5,0.9308176100628931,0.8333333333333334,0.9574468085106383,0.8910891089108911,0.8452935953205796
59,median,0.4,0.75,0.9308176100628931,0.8333333333333334,0.9574468085106383,0.8910891089108911,0.8452935953205796
60,median,0.5,0.0,0.9398496240601504,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.8452935953205796
61,median,0.5,0.25,0.9548872180451128,0.8918918918918919,0.9428571428571428,0.9166666666666666,0.8452935953205796
62,median,0.5,0.5,0.9548872180451128,0.8918918918918919,0.9428571428571428,0.9166666666666666,0.8452935953205796
63,median,0.5,0.75,0.9548872180451128,0.8918918918918919,0.9428571428571428,0.9166666666666666,0.8452935953205796
64,median,0.6,0.0,0.9528301886792453,0.9230769230769231,0.8888888888888888,0.9056603773584906,0.8452935953205796
65,median,0.6,0.25,0.9622641509433962,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.8452935953205796
66,median,0.6,0.5,0.9622641509433962,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.8452935953205796
67,median,0.6,0.75,0.9622641509433962,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.8452935953205796
68,median,0.7000000000000001,0.0,0.9875,0.9285714285714286,1.0,0.9629629629629629,0.8452935953205796
69,median,0.7000000000000001,0.25,0.9875,0.9285714285714286,1.0,0.9629629629629629,0.8452935953205796
70,median,0.7000000000000001,0.5,0.9875,0.9285714285714286,1.0,0.9629629629629629,0.8452935953205796
