,Method,Rejection Rate,Accuracy,Precision,Recall,F1-Score,AU-ARC
0,avg,0.0,0.96,0.963758389261745,0.9560585885486018,0.9598930481283422,0.9441943141438885
1,avg,0.05,0.9778947368421053,0.9817543859649123,0.974233983286908,0.9779797273680532,0.9441943141438885
2,avg,0.1,0.987037037037037,0.9888558692421991,0.9851961509992598,0.9870226177233964,0.9441943141438885
3,avg,0.15,0.9894117647058823,0.9921875,0.9867909867909868,0.9894818854694195,0.9441943141438885
4,avg,0.2,0.9904166666666666,0.9916107382550335,0.9891213389121339,0.9903644742354419,0.9441943141438885
5,avg,0.25,0.992,0.9911426040744021,0.9929015084294588,0.9920212765957447,0.9441943141438885
6,avg,0.3,0.9928571428571429,0.993421052631579,0.9924882629107982,0.9929544387036168,0.9441943141438885
7,avg,0.35000000000000003,0.9953846153846154,0.9950298210735586,0.9960199004975124,0.9955246146195923,0.9441943141438885
8,avg,0.4,0.9955555555555555,0.9956331877729258,0.9956331877729258,0.9956331877729258,0.9441943141438885
9,avg,0.45,0.9951515151515151,0.995249406175772,0.995249406175772,0.995249406175772,0.9441943141438885
10,avg,0.5,0.9953333333333333,0.99609375,0.9947984395318595,0.9954456733897202,0.9441943141438885
11,avg,0.55,0.9962962962962963,0.9955947136563876,0.9970588235294118,0.9963262307127112,0.9441943141438885
12,avg,0.6,0.9975,0.9966499162479062,0.9983221476510067,0.9974853310980721,0.9441943141438885
13,avg,0.65,0.9990476190476191,1.0,0.997979797979798,0.9989888776541962,0.9441943141438885
14,avg,0.7000000000000001,1.0,1.0,1.0,1.0,0.9441943141438885
15,avg,0.75,1.0,1.0,1.0,1.0,0.9441943141438885
16,avg,0.8,1.0,1.0,1.0,1.0,0.9441943141438885
17,avg,0.85,1.0,1.0,1.0,1.0,0.9441943141438885
18,avg,0.9,1.0,1.0,1.0,1.0,0.9441943141438885
19,avg,0.9500000000000001,1.0,1.0,1.0,1.0,0.9441943141438885
20,median,0.0,0.96,0.963758389261745,0.9560585885486018,0.9598930481283422,0.9461080699958796
