,Method,Rejection Rate,Accuracy,Precision,Recall,F1-Score,AU-ARC
0,avg,0.0,0.9866666666666667,0.9870111259920783,0.9865315756255458,0.9867209939036942,0.9495086009192705
1,avg,0.05,0.9976617303195635,0.9978354978354979,0.9975845410628019,0.9977021024578029,0.9495086009192705
2,avg,0.1,0.9991769547325103,0.9992406985573273,0.9991474850809889,0.9991931131378994,0.9495086009192705
3,avg,0.15,1.0,1.0,1.0,1.0,0.9495086009192705
4,avg,0.2,1.0,1.0,1.0,1.0,0.9495086009192705
5,avg,0.25,1.0,1.0,1.0,1.0,0.9495086009192705
6,avg,0.3,1.0,1.0,1.0,1.0,0.9495086009192705
7,avg,0.35000000000000003,1.0,1.0,1.0,1.0,0.9495086009192705
8,avg,0.4,1.0,1.0,1.0,1.0,0.9495086009192705
9,avg,0.45,1.0,1.0,1.0,1.0,0.9495086009192705
10,avg,0.5,1.0,1.0,1.0,1.0,0.9495086009192705
11,avg,0.55,1.0,1.0,1.0,1.0,0.9495086009192705
12,avg,0.6,1.0,1.0,1.0,1.0,0.9495086009192705
13,avg,0.65,1.0,1.0,1.0,1.0,0.9495086009192705
14,avg,0.7000000000000001,1.0,1.0,1.0,1.0,0.9495086009192705
15,avg,0.75,1.0,1.0,1.0,1.0,0.9495086009192705
16,avg,0.8,1.0,1.0,1.0,1.0,0.9495086009192705
17,avg,0.85,1.0,1.0,1.0,1.0,0.9495086009192705
18,avg,0.9,1.0,1.0,1.0,1.0,0.9495086009192705
19,avg,0.9500000000000001,1.0,1.0,1.0,1.0,0.9495086009192705
20,median,0.0,0.9866666666666667,0.9870111259920783,0.9865315756255458,0.9867209939036942,0.9495497531826449
21,median,0.05,0.9976617303195635,0.9978354978354979,0.9976019184652278,0.9977108542355076,0.9495497531826449
22,median,0.1,1.0,1.0,1.0,1.0,0.9495497531826449
23,median,0.15,1.0,1.0,1.0,1.0,0.9495497531826449
24,median,0.2,1.0,1.0,1.0,1.0,0.9495497531826449
25,median,0.25,1.0,1.0,1.0,1.0,0.9495497531826449
26,median,0.3,1.0,1.0,1.0,1.0,0.9495497531826449
27,median,0.35000000000000003,1.0,1.0,1.0,1.0,0.9495497531826449
28,median,0.4,1.0,1.0,1.0,1.0,0.9495497531826449
29,median,0.45,1.0,1.0,1.0,1.0,0.9495497531826449
30,median,0.5,1.0,1.0,1.0,1.0,0.9495497531826449
31,median,0.55,1.0,1.0,1.0,1.0,0.9495497531826449
32,median,0.6,1.0,1.0,1.0,1.0,0.9495497531826449
33,median,0.65,1.0,1.0,1.0,1.0,0.9495497531826449
34,median,0.7000000000000001,1.0,1.0,1.0,1.0,0.9495497531826449
35,median,0.75,1.0,1.0,1.0,1.0,0.9495497531826449
36,median,0.8,1.0,1.0,1.0,1.0,0.9495497531826449
37,median,0.85,1.0,1.0,1.0,1.0,0.9495497531826449
38,median,0.9,1.0,1.0,1.0,1.0,0.9495497531826449
39,median,0.9500000000000001,1.0,1.0,1.0,1.0,0.9495497531826449
40,min,0.0,0.9866666666666667,0.9870111259920783,0.9865315756255458,0.9867209939036942,0.9477164177805908
41,min,0.05,0.995323460639127,0.995579488262415,0.9951651736159968,0.995354227788042,0.9477164177805908
42,min,0.1,0.9967078189300411,0.9968739987027094,0.9965635738831615,0.996712165807879,0.9477164177805908
43,min,0.15,0.9973867595818815,0.9976076555023923,0.9972972972972972,0.9974426677048024,0.9477164177805908
44,min,0.2,0.9972222222222222,0.9974358974358974,0.9971346704871061,0.9972741497921355,0.9477164177805908
45,min,0.25,0.9970384995064165,0.9972677595628415,0.9969418960244649,0.9970921595772252,0.9477164177805908
46,min,0.3,0.9968253968253968,0.9970760233918128,0.9967320261437909,0.9968895350940011,0.9477164177805908
47,min,0.35000000000000003,0.9977220956719818,0.9979166666666667,0.9976190476190476,0.9977603247903581,0.9477164177805908
48,min,0.4,0.9975308641975309,0.9977401129943503,0.9974160206718347,0.9975691962907082,0.9477164177805908
49,min,0.45,0.9973082099596231,0.9975490196078431,0.9972222222222222,0.997375287560407,0.9477164177805908
50,min,0.5,0.997037037037037,0.9973226238286479,0.9968992248062015,0.9970982815797408,0.9477164177805908
51,min,0.55,0.9967105263157895,0.997037037037037,0.9966159052453468,0.9968112244897959,0.9477164177805908
52,min,0.6,0.9962962962962963,0.9966159052453468,0.9962962962962963,0.9964371223349676,0.9477164177805908
53,min,0.65,0.9978858350951374,0.998015873015873,0.9978632478632479,0.9979331637631778,0.9477164177805908
54,min,0.7000000000000001,1.0,1.0,1.0,1.0,0.9477164177805908
55,min,0.75,1.0,1.0,1.0,1.0,0.9477164177805908
56,min,0.8,1.0,1.0,1.0,1.0,0.9477164177805908
57,min,0.85,1.0,1.0,1.0,1.0,0.9477164177805908
58,min,0.9,1.0,1.0,1.0,1.0,0.9477164177805908
59,min,0.9500000000000001,1.0,1.0,1.0,1.0,0.9477164177805908
60,max,0.0,0.9866666666666667,0.9870111259920783,0.9865315756255458,0.9867209939036942,0.9491250994563417
61,max,0.05,0.9961028838659393,0.9961033267295164,0.9961608154221769,0.9961294106491815,0.9491250994563417
62,max,0.1,0.9975308641975309,0.9973753280839895,0.9977220956719818,0.9975396198004893,0.9491250994563417
63,max,0.15,0.9973867595818815,0.9972677595628415,0.9977116704805492,0.9974801522617995,0.9491250994563417
64,max,0.2,0.9981481481481481,0.9981060606060606,0.998272884283247,0.9981845315178649,0.9491250994563417
65,max,0.25,1.0,1.0,1.0,1.0,0.9491250994563417
66,max,0.3,1.0,1.0,1.0,1.0,0.9491250994563417
67,max,0.35000000000000003,1.0,1.0,1.0,1.0,0.9491250994563417
68,max,0.4,1.0,1.0,1.0,1.0,0.9491250994563417
69,max,0.45,1.0,1.0,1.0,1.0,0.9491250994563417
70,max,0.5,1.0,1.0,1.0,1.0,0.9491250994563417
71,max,0.55,1.0,1.0,1.0,1.0,0.9491250994563417
72,max,0.6,1.0,1.0,1.0,1.0,0.9491250994563417
73,max,0.65,1.0,1.0,1.0,1.0,0.9491250994563417
74,max,0.7000000000000001,1.0,1.0,1.0,1.0,0.9491250994563417
75,max,0.75,1.0,1.0,1.0,1.0,0.9491250994563417
76,max,0.8,1.0,1.0,1.0,1.0,0.9491250994563417
