,Method,Rejection Rate,Accuracy,Precision,Recall,F1-Score,AU-ARC
0,avg,0.0,0.9874074074074074,0.9877773360046508,0.9872978591504501,0.9874794167765536,0.9495271194377889
1,avg,0.05,0.9976617303195635,0.9978213507625272,0.9976133651551313,0.9977094990347175,0.9495271194377889
2,avg,0.1,0.9991769547325103,0.9992301770592764,0.9991749174917492,0.9992015910876173,0.9495271194377889
3,avg,0.15,1.0,1.0,1.0,1.0,0.9495271194377889
4,avg,0.2,1.0,1.0,1.0,1.0,0.9495271194377889
5,avg,0.25,1.0,1.0,1.0,1.0,0.9495271194377889
6,avg,0.3,1.0,1.0,1.0,1.0,0.9495271194377889
7,avg,0.35000000000000003,1.0,1.0,1.0,1.0,0.9495271194377889
8,avg,0.4,1.0,1.0,1.0,1.0,0.9495271194377889
9,avg,0.45,1.0,1.0,1.0,1.0,0.9495271194377889
10,avg,0.5,1.0,1.0,1.0,1.0,0.9495271194377889
11,avg,0.55,1.0,1.0,1.0,1.0,0.9495271194377889
12,avg,0.6,1.0,1.0,1.0,1.0,0.9495271194377889
13,avg,0.65,1.0,1.0,1.0,1.0,0.9495271194377889
14,avg,0.7000000000000001,1.0,1.0,1.0,1.0,0.9495271194377889
15,avg,0.75,1.0,1.0,1.0,1.0,0.9495271194377889
16,avg,0.8,1.0,1.0,1.0,1.0,0.9495271194377889
17,avg,0.85,1.0,1.0,1.0,1.0,0.9495271194377889
18,avg,0.9,1.0,1.0,1.0,1.0,0.9495271194377889
19,avg,0.9500000000000001,1.0,1.0,1.0,1.0,0.9495271194377889
20,median,0.0,0.9874074074074074,0.9877773360046508,0.9872978591504501,0.9874794167765536,0.9495682717011634
21,median,0.05,0.9976617303195635,0.9978213507625272,0.9976076555023923,0.9977066236330598,0.9495682717011634
22,median,0.1,1.0,1.0,1.0,1.0,0.9495682717011634
23,median,0.15,1.0,1.0,1.0,1.0,0.9495682717011634
24,median,0.2,1.0,1.0,1.0,1.0,0.9495682717011634
25,median,0.25,1.0,1.0,1.0,1.0,0.9495682717011634
26,median,0.3,1.0,1.0,1.0,1.0,0.9495682717011634
27,median,0.35000000000000003,1.0,1.0,1.0,1.0,0.9495682717011634
28,median,0.4,1.0,1.0,1.0,1.0,0.9495682717011634
29,median,0.45,1.0,1.0,1.0,1.0,0.9495682717011634
30,median,0.5,1.0,1.0,1.0,1.0,0.9495682717011634
31,median,0.55,1.0,1.0,1.0,1.0,0.9495682717011634
32,median,0.6,1.0,1.0,1.0,1.0,0.9495682717011634
33,median,0.65,1.0,1.0,1.0,1.0,0.9495682717011634
34,median,0.7000000000000001,1.0,1.0,1.0,1.0,0.9495682717011634
35,median,0.75,1.0,1.0,1.0,1.0,0.9495682717011634
36,median,0.8,1.0,1.0,1.0,1.0,0.9495682717011634
37,median,0.85,1.0,1.0,1.0,1.0,0.9495682717011634
38,median,0.9,1.0,1.0,1.0,1.0,0.9495682717011634
39,median,0.9500000000000001,1.0,1.0,1.0,1.0,0.9495682717011634
40,min,0.0,0.9874074074074074,0.9877773360046508,0.9872978591504501,0.9874794167765536,0.9477349362991093
41,min,0.05,0.995323460639127,0.9954813577785789,0.9951748742542987,0.9953140269295822,0.9477349362991093
42,min,0.1,0.9967078189300411,0.9968525639513396,0.9965833825168864,0.9967112950723087,0.9477349362991093
43,min,0.15,0.9973867595818815,0.9975786924939468,0.9973045822102425,0.997431753198388,0.9477349362991093
44,min,0.2,0.9972222222222222,0.9974226804123711,0.9971264367816092,0.9972633374961966,0.9477349362991093
45,min,0.25,0.9970384995064165,0.997245179063361,0.9969604863221884,0.9970901565782944,0.9477349362991093
46,min,0.3,0.9968253968253968,0.9970674486803519,0.996742671009772,0.9968905847387971,0.9477349362991093
47,min,0.35000000000000003,0.9977220956719818,0.9979101358411704,0.9976275207591933,0.9977613057801737,0.9477349362991093
48,min,0.4,0.9975308641975309,0.997716894977169,0.9974358974358974,0.9975675233407193,0.9477349362991093
49,min,0.45,0.9973082099596231,0.9975490196078431,0.9972222222222222,0.997375287560407,0.9477349362991093
50,min,0.5,0.997037037037037,0.9973226238286479,0.9968992248062015,0.9970982815797408,0.9477349362991093
51,min,0.55,0.9967105263157895,0.9970238095238096,0.9966329966329966,0.9968131843117617,0.9477349362991093
52,min,0.6,0.9962962962962963,0.9965986394557823,0.9963167587476981,0.9964387464387464,0.9477349362991093
53,min,0.65,0.9978858350951374,0.9980276134122287,0.9978494623655915,0.9979321316649541,0.9477349362991093
54,min,0.7000000000000001,1.0,1.0,1.0,1.0,0.9477349362991093
55,min,0.75,1.0,1.0,1.0,1.0,0.9477349362991093
56,min,0.8,1.0,1.0,1.0,1.0,0.9477349362991093
57,min,0.85,1.0,1.0,1.0,1.0,0.9477349362991093
58,min,0.9,1.0,1.0,1.0,1.0,0.9477349362991093
59,min,0.9500000000000001,1.0,1.0,1.0,1.0,0.9477349362991093
